Transformed X,Transformed Y
-25.273911,318.366689
-31.112970,325.162793
-41.597467,327.420993
-28.768744,319.119422
-11.880638,316.866599
-40.425354,324.399307
-38.102635,326.668260
-33.435689,322.893841
-21.171516,307.790788
-29.354800,320.630265
-34.586295,317.603202
-12.445188,310.065117
-31.091463,316.850469
-42.748073,322.130354
-15.375470,317.619332
-11.880638,316.866599
-22.929685,312.323317
-18.848796,310.059741
-9.536412,310.823227
-5.455523,308.559651
-7.192186,304.779855
3.270805,310.833981
-18.284246,316.861222
-12.466695,318.377442
-30.505407,315.339626
-6.041580,310.070494
-19.413346,303.258259
-24.666348,308.543521
-8.342792,299.489217
-21.757572,309.301631
-19.999403,304.769102
-6.606129,303.269012
-16.504570,304.016369
-25.252405,310.054364
-28.182687,317.608579
-30.526913,323.651951
-28.204194,325.920903
-17.719697,323.662704
-24.123305,323.657327
-16.547583,320.641018
-35.193859,327.426370
-28.790250,327.431746
-14.224864,322.909971
-28.204194,325.920903
-35.779915,328.937212
-20.042416,321.393751
-32.285083,328.184479
-21.800585,325.926280
-39.860804,331.200789
-34.021746,324.404684
-27.618137,324.410060
-21.800585,325.926280
-29.354800,320.630265
-33.457196,331.206165
-43.355637,331.953522
-41.032917,334.222474
-36.365972,330.448055
-25.881474,328.189856
-27.032081,322.899217
-22.386642,327.437123
-31.112970,325.162793
-25.295418,326.679013
-29.962363,330.453432
-39.860804,331.200789
-31.112970,325.162793
-38.102635,326.668260
-29.376307,328.942589
-38.710198,336.491427
-25.295418,326.679013
-29.376307,328.942589
-28.204194,325.920903
-28.790250,327.431746
-24.709361,325.168170
35.853396,317.662345
24.782842,321.431388
50.418782,313.140570
46.337894,315.404146
52.741502,315.409523
95.851604,303.355039
145.972878,281.482765
169.893662,261.099827
194.378995,247.518370
215.412510,218.064998
256.871976,168.981421
259.237708,154.625724
279.099110,128.194038
273.324571,110.053169
288.519027,87.395902
289.734154,67.749567
297.917438,54.910090
298.003465,21.660792
298.589521,20.149949
286.411375,2.003704
300.955254,5.794253
294.551646,5.788876
299.804648,0.503614
292.228926,3.519924
292.814983,2.009081
284.067149,8.047076
298.046478,5.036143
294.573153,-2.523448
292.793476,10.321405
307.380369,-2.512695
291.621363,13.343091
287.561981,7.294343
292.793476,10.321405
277.077484,9.552542
288.734094,4.272657
288.712587,12.584981
278.228090,14.843181
316.692753,-1.749208
289.298644,11.074138
283.481092,9.557919
284.653205,6.536233
299.197085,10.326782
295.137702,4.278033
297.460422,6.546986
299.783141,8.815939
286.389868,10.316028
286.975924,8.805185
285.217755,13.337714
296.288309,9.568672
284.631698,14.848557
288.712587,12.584981
298.024972,13.348468
277.642034,16.354024
285.217755,13.337714
296.309815,1.256347
275.319314,14.085071
270.652369,17.859490
287.540474,15.606667
295.702252,11.079515
290.492264,-0.259872
289.363164,-13.862835
310.375172,-35.003883
291.771910,-44.843181
278.421650,-59.967740
264.485334,-73.581456
272.690125,-94.733258
270.996475,-115.137702
244.252942,-128.762172
