Mag X,Mag Y,Mag Z
3,322.5,-249
1.5,315,-244.5
6,312,-243
3,315,-243
1.5,318,-243
3,319.5,-241.5
3,321,-243
3,316.5,-243
0,318,-243
7.5,322.5,-240
6,313.5,-244.5
0,,-237
3,,-240
1.5,313.5,-247.5
,322.5,-244.5
-6,330,-238.5
-331.5,328.5,-237
-61.5,325.5,-232.5
-100.5,328.5,-222
-138,324,-202.5
-193.5,325.5,-374
-225,331.5,-142.5
-240,327,-106.5
-265.5,334.5,-75
-265.5,,-152.5
-270,321,-36
-280.5,330,-156
-282,328.5,12
-277.5,324,342
-276,331.5,70.5
-268.5,330,88.5
-268.5,327,108
-259.5,330,121.5
-247.5,330,147
-234,331.5,169.3
-229.5,327,389
-204,328.5,196.5
-193.5,324,211.5
-183,328.5,225
-162,331.5,244.5
-142.5,322.5,244.5
-124.5,330,253.5
-114,,265.5
-102,,268.5
-111,327,265.5
-103.5,330,267
-99,316.5,261
-105,324,265.5
-181,322.5,276
-48,316.5,277.5
-16.5,324,282
10.5,,283.5
15,318,274.5
52.5,319.5,273
81,319.5,262.5
127.5,,244.5
160.5,322.5,226.5
181.5,313.5,205.5
204,319.5,186
217.5,315,154.5
228,316.5,129
240,,115.5
249,316.5,102
243,319.5,103.5
241.5,310.5,105
252,321,
258,318,36
261,316.5,7.5
250.5,,
238.5,318,-63
234,316.5,-79.5
214.5,322.5,-106.5
204,318,-132
184.5,324,-157.5
130.5,321,-196.5
85.5,,-214.5
60,,-228
39,,-229.5
16.5,327,-228
-1.5,,-229.5
-458,331.5,439
-15,330,-235.5
1.5,325.5,-238.5
25.5,,-231
55.5,316.5,-228
87,324,-213
129,321,-199.5
150,322.5,-186
177,318,-168
210,321,-130.5
229.5,315,-105
238.5,318,-66
249,318,-24
-400,,821
255,313.5,52.5
249,312,69
249,316.5,82.5
241.5,318,111
232.5,307.5,135
211.5,313.5,166.5
199.5,313.5,178.5
174,321,204
162,312,220.5
139.5,,232.5
106.5,315,250.5
96,318,259.5
54,322.5,264
19.5,318,280.5
-12,322.5,277.5
-48,324,274.5
-85.5,328.5,267
-114,327,256.5
-141,330,244.5
-145.5,324,243
-165,331.5,235.5
-187.5,331.5,211.5
-205.5,334.5,199.5
-223.5,327,189
-244.5,,159
-258,,124.5
-268.5,333,85.5
-279,331.5,36
-282,325.5,-28.5
-264,330,-64.5
-241.5,327,-114
-216,331.5,-147
-186,330,-178.5
-165,327,-198
-156,330,-207
465,321,12
-156,318,-201
-153,324,-204
-142.5,325.5,-208.5
-133.5,325.5,-216
-117,328.5,-223.5
-94.5,325.5,-228
-67.5,321,-237
-57,319.5,-241.5
-37.5,322.5,-234
-37.5,318,-238.5
-25.5,312,-238.5
-15,316.5,-241.5
-1.5,325.5,-237
6,324,-235.5
21,324,-235.5
36,322.5,-237
19.5,310.5,-234
-12,313.5,-244.5
-43.5,321,-244.5
-67.5,324,-244.5
-93,322.5,-232.5
-139.5,325.5,-216
-178.5,324,-198
-216,325.5,-151.5
-232.5,324,-130.5
-244.5,325.5,-120
-259.5,,-76.5
-271.5,327,-45
-267,330,-39
-283.5,331.5,-3
-279,328.5,28.5
-276,,51
-276,336,67.5
-273,330,91.5
-264,334.5,114
-253.5,330,132
-247.5,,145.5
-226.5,,163.5
-211.5,331.5,186
-205.5,334.5,204
-187.5,,
-169.5,,225
-148.5,331.5,238.5
-126,333,249
-85.5,331.5,261
-43.5,,267
-6,,270
25.5,331.5,268.5
51,334.5,255
73.5,,252
97.5,333,244.5
108,,244.5
99,330,246
118.5,330,240
142.5,324,228
153,327,214.5
168,322.5,199.5
183,322.5,192
192,319.5,178.5
213,315,150
232.5,312,124.5
238.5,319.5,97.5
247.5,322.5,79.5
247.5,315,70.5
258,310.5,48
255,321,13.5
250.5,316.5,9
258,316.5,-21
249,309,-45
250.5,318,-60
238.5,313.5,-75
237,313.5,-87
237,313.5,-102
228,307.5,-112.5
214.5,307.5,-124.5
211.5,307.5,-136.5
201,303,-142.5
187.5,307.5,-168
183,304.5,-180
162,313.5,-190.5
141,313.5,-201
114,306,-219
96,,-220.5
76.5,306,-229.5
64.5,315,-232.5
42,316.5,-238.5
9,313.5,-246
6,315,-252
-1.5,312,-249
3,306,-241.5
40.5,318,-238.5
67.5,309,-237
111,318,-222
139.5,,-207
147,309,-196.5
175.5,310.5,-181.5
192,312,-156
199.5,318,-144
234,310.5,-105
238.5,312,-78
243,313.5,-60
249,309,-19.5
255,312,-1.5
256.5,318,16.5
255,312,46.5
244.5,316.5,82.5
235.5,316.5,109.5
229.5,321,129
222,321,150
202.5,318,172.5
184.5,321,198
151.5,325.5,217.5
136.5,318,226.5
105,330,246
66,324,258
28.5,334.5,271.5
4.5,327,270
-19.5,325.5,274.5
-37.5,327,274.5
-69,328.5,270
-96,333,259.5
-114,327,256.5
-162,331.5,232.5
-184.5,336,213
-216,336,181.5
-234,336,153
-247.5,333,127.5
-264,334.5,94.5
-276,331.5,57
-283.5,325.5,22.5
-279,328.5,-22.5
-267,331.5,-78
-258,327,-84
-258,,-85.5
-255,325.5,-87
-250.5,,-108
-249,324,-126
-240,,-120
-238.5,327,-127.5
-207,325.5,-159
-193.5,325.5,-181.5
-157.5,322.5,-202.5
-145.5,328.5,-208.5
-127.5,313.5,-220.5
-112.5,322.5,-226.5
-111,319.5,-225
-97.5,324,-232.5
-91.5,319.5,-234
-75,319.5,-241.5
-72,315,-235.5
