-283.5,0,238.5
-52.5,201,333
-394.5,88.5,202.5
-190.5,57,-289.5
-142.5,-460.5,310.5
177,18,-274.5
178.5,240,117
82.5,217.5,-220.5
28.5,255,-198
30,250.5,-201
37.5,256.5,-192
60,249,-198
69,252,-199.5
81,252,-193.5
64.5,247.5,-198
30,210,-220.5
102,204,-198
139.5,222,-204
96,273,-171
124.5,252,-195
127.5,261,-181.5
124.5,256.5,-192
-49.5,268.5,-222
-117,267,-201
-253.5,271.5,-100.5
-279,267,78
-180,255,234
-45,250.5,292.5
253.5,241.5,-1.5
64.5,265.5,-219
-144,271.5,-192
-273,258,129
-90,246,271.5
208.5,241.5,181.5
241.5,241.5,-60
60,262.5,-210
-162,279,-177
-222,252,204
16.5,246,292.5
237,238.5,123
144,256.5,-181.5
-96,267,-211.5
-172.5,252,244.5
259.5,234,64.5
117,261,-201
-106.5,264,-211.5
-259.5,255,150
18,240,295.5
258,235.5,-16.5
102,262.5,-193.5
-144,274.5,-205.5
-144,244.5,265.5
189,243,196.5
136.5,253.5,-195
-39,267,-223.5
-294,271.5,42
-90,240,280.5
258,244.5,52.5
-30,265.5,-219
-256.5,267,-106.5
-264,265.5,156
51,243,285
246,244.5,-34.5
-97.5,271.5,-207
-286.5,270,0
55.5,243,276
232.5,240,132
157.5,250.5,-178.5
-118.5,271.5,-207
-249,259.5,163.5
28.5,244.5,279
201,237,178.5
232.5,249,-84
186,256.5,-133.5
124.5,253.5,-186
-112.5,264,-211.5
-282,270,-36
-133.5,250.5,261
235.5,235.5,118.5
163.5,252,-174
-139.5,268.5,-196.5
-246,270,-115.5
-274.5,262.5,112.5
67.5,241.5,274.5
186,244.5,196.5
252,241.5,94.5
259.5,247.5,6
211.5,247.5,-121.5
198,255,-127.5
126,259.5,-193.5
-31.5,267,-228
-112.5,267,-208.5
-231,273,-138
-265.5,270,-72
-286.5,265.5,48
-265.5,261,147
-181.5,255,240
75,240,277.5
235.5,237,126
246,246,-60
109.5,261,-196.5
43.5,267,-219
-19.5,268.5,-226.5
-24,267,-232.5
-289.5,261,49.5
-159,247.5,253.5
-21,240,294
208.5,240,178.5
255,243,-16.5
114,258,-199.5
-138,270,-195
-289.5,267,42
-150,253.5,261
40.5,241.5,285
216,241.5,157.5
208.5,252,-108
51,262.5,-220.5
-154.5,273,-181.5
-283.5,267,114
9,243,294
258,238.5,18
91.5,255,-217.5
-186,270,-174
-232.5,256.5,183
97.5,246,271.5
252,244.5,-6
126,259.5,-198
42,261,-219
-81,265.5,-225
-228,256.5,208.5
241.5,235.5,126
232.5,249,-76.5
168,258,-160.5
-249,268.5,-111
-225,258,207
231,234,147
198,249,-136.5
-139.5,271.5,-195
-217.5,255,216
244.5,246,-34.5
163.5,256.5,-157.5
-285,264,117
207,229.5,169.5
228,247.5,-90
66,259.5,-211.5
-163.5,270,-193.5
-270,255,142.5
-12,238.5,291
151.5,238.5,238.5
258,246,-3
124.5,259.5,-192
-220.5,273,-148.5
-249,253.5,178.5
90,237,270
249,244.5,30
160.5,258,-168
-235.5,268.5,-126
-231,258,204
25.5,238.5,289.5
205.5,234,171
183,226.5,211.5
-67.5,336,69
-166.5,343.5,42
-63,303,192
-201,174,219
-1017,-226.5,324
-196.5,223.5,64.5
-7.5,321,213
145.5,283.5,186
63,339,133.5
-28.5,346.5,126
