Mag X,Mag Y,Mag Z
36,,553.5
33,,556.5
34.5,736.5,561
36,744,555
40.5,738,555
36,738,561
28.5,736.5,559.5
40.5,741,558
39,745.5,555
37.5,747,558
34.5,747,571.5
36,745.5,559.5
39,739.5,564
30,750,567
37.5,750,564
42,747,561
30,741,559.5
28.5,744,559.5
34.5,748.5,567
33,748.5,568.5
28.5,747,565.5
27,748.5,567
28.5,750,571.5
22.5,747,562.5
31.5,747,561
28.5,750,558
37.5,750,565.5
27,753,565.5
34.5,751.5,576
36,754.5,571.5
30,750,577.5
34.5,756,570
34.5,753,574.5
36,750,
28.5,751.5,573
33,753,574.5
36,748.5,570
36,747,562.5
36,748.5,556.5
34.5,745.5,553.5
30,745.5,553.5
33,741,555
30,748.5,556.5
37.5,745.5,553.5
34.5,747,552
30,,
28.5,748.5,553.5
34.5,744,553.5
37.5,739.5,552
31.5,739.5,556.5
36,744,552
31.5,745.5,552
39,744,550.5
37.5,744,556.5
34.5,744,555
31.5,742.5,552
36,,
36,,552
36,747,559.5
36,750,549
40.5,741,550.5
34.5,,550.5
39,748.5,547.5
37.5,741,550.5
33,741,550.5
34.5,742.5,556.5
31.5,744,550.5
36,738,555
33,744,552
34.5,741,549
39,745.5,550.5
36,742.5,555
39,739.5,555
34.5,739.5,550.5
37.5,733.5,544.5
33,747,552
34.5,747,550.5
34.5,745.5,553.5
34.5,748.5,552
33,742.5,553.5
6,750,547.5
10.5,750,546
0,742.5,549
-1.5,,
1.5,745.5,547.5
-1.5,747,546
-9,,
-19.5,747,549
-39,747,561
-46.5,750,577.5
-55.5,748.5,586.5
-60,756,613.5
-61.5,,643.5
-70.5,751.5,657
-69,751.5,672
-73.5,753,696
-67.5,747,717
-70.5,754.5,738
-67.5,750,759
-69,748.5,771
-63,754.5,807
-63,751.5,808.5
-54,747,831
-61.5,756,823.5
-58.5,750,825
-60,748.5,829.5
-57,754.5,828
-57,754.5,829.5
-54,747,825
-60,760.5,825
-57,750,834
-58.5,750,820.5
-63,750,831
-58.5,750,817.5
-55.5,751.5,825
-58.5,,822
-57,,825
-58.5,,819
-58.5,748.5,820.5
-51,754.5,825
-55.5,751.5,828
-57,751.5,819
-52.5,754.5,819
-67.5,753,828
-57,754.5,820.5
-54,750,823.5
-54,754.5,826.5
-61.5,750,819
-58.5,754.5,826.5
-60,757.5,823.5
-61.5,760.5,820.5
-55.5,750,822
-55.5,759,823.5
-55.5,748.5,819
-60,747,820.5
-55.5,750,817.5
-57,759,819
-61.5,757.5,816
-52.5,748.5,817.5
-55.5,,817.5
-55.5,756,819
-58.5,745.5,829.5
-51,753,820.5
-49.5,754.5,817.5
-57,754.5,816
-60,756,819
-55.5,753,832.5
-52.5,750,847.5
-58.5,754.5,865.5
-48,754.5,880.5
-39,751.5,900
-30,753,918
-30,751.5,939
-25.5,756,961.5
-10.5,745.5,982.5
-12,751.5,993
-7.5,744,1011
-3,748.5,1024.5
1.5,750,1041
21,742.5,1078.5
39,,1096.5
40.5,747,1123.5
52.5,735,1123.5
52.5,738,1128
63,741,1146
61.5,738,1143
64.5,738,1146
85.5,738,1162.5
94.5,739.5,1174.5
100.5,733.5,1185
120,735,1200
123,736.5,1195.5
135,727.5,1207.5
132,735,1207.5
141,729,1209
141,733.5,1225.5
135,730.5,1218
141,736.5,1209
130.5,,1212
139.5,,1209
144,727.5,1213.5
139.5,732,1210.5
138,732,1212
139.5,732,1215
139.5,727.5,1215
144,726,1215
135,738,1218
138,730.5,1216.5
142.5,732,1212
147,735,1213.5
135,736.5,1213.5
136.5,732,1210.5
132,730.5,1210.5
138,732,1209
141,735,1212
138,730.5,1216.5
138,730.5,1210.5
135,733.5,1216.5
135,,
136.5,735,1213.5
135,726,1213.5
133.5,733.5,1213.5
133.5,738,1209
139.5,733.5,1215
141,732,1213.5
138,730.5,1216.5
147,726,1212
136.5,730.5,1215
135,732,1216.5
139.5,730.5,1218
135,729,1216.5
139.5,,1219.5
138,732,
138,732,1212
139.5,735,1216.5
139.5,726,1212
135,729,1210.5
133.5,729,1212
142.5,729,1219.5
145.5,730.5,1216.5
136.5,732,1215
135,729,1212
138,736.5,1212
138,733.5,1210.5
138,,1213.5
136.5,726,1210.5
139.5,,1215
138,738,1216.5
142.5,732,1216.5
156,726,1224
160.5,733.5,1224
165,727.5,1224
175.5,733.5,1227
183,733.5,1231.5
195,726,1231.5
204,726,1222.5
214.5,726,1210.5
225,729,1212
232.5,727.5,1197
234,721.5,1186.5
241.5,,1173
247.5,724.5,1155
252,,1138.5
250.5,726,1126.5
262.5,726,1104
255,730.5,1068
268.5,,1042.5
259.5,726,1021.5
253.5,,1009.5
255,732,993
255,727.5,985.5
250.5,730.5,976.5
252,729,978
250.5,721.5,963
247.5,732,972
252,724.5,973.5
256.5,727.5,972
253.5,733.5,982.5
259.5,724.5,981
253.5,724.5,982.5
253.5,,
250.5,727.5,985.5
255,726,981
247.5,,982.5
250.5,732,981
249,724.5,987
243,730.5,990
247.5,732,991.5
246,732,988.5
