Mag X,Mag Y,Mag Z
172.50,610.50,-181.50
174.00,619.50,-175.50
171.00,613.50,-169.50
165.00,616.50,-178.50
166.50,618.00,-177.00
163.50,616.50,-169.50
166.50,616.50,-178.50
169.50,610.50,-171.00
163.50,613.50,-168.00
153.00,624.00,-169.50
147.00,615.00,-169.50
139.50,622.50,-162.00
126.00,628.50,-168.00
115.50,628.50,-165.00
115.50,628.50,-166.50
111.00,627.00,-166.50
120.00,628.50,-166.50
109.50,630.00,-166.50
96.00,628.50,-165.00
97.50,630.00,-166.50
99.00,636.00,-163.50
97.50,630.00,-165.00
96.00,627.00,-166.50
100.50,624.00,-162.00
93.00,630.00,-171.00
96.00,630.00,-166.50
87.00,633.00,-163.50
85.50,631.50,-162.00
96.00,636.00,-168.00
87.00,631.50,-163.50
87.00,627.00,-165.00
79.50,627.00,-177.00
73.50,628.50,-181.50
78.00,630.00,-202.50
63.00,633.00,-205.50
57.00,628.50,-222.00
46.50,633.00,-231.00
37.50,630.00,-241.50
30.00,622.50,-253.50
21.00,633.00,-271.50
19.50,624.00,-279.00
10.50,628.50,-289.50
-7.50,625.50,-298.50
-12.00,618.00,-336.00
-24.00,625.50,-352.50
-45.00,621.00,-360.00
-39.00,622.50,-361.50
-66.00,624.00,-378.00
-63.00,622.50,-385.50
-75.00,616.50,-391.50
-79.50,619.50,-396.00
-93.00,619.50,-414.00
-115.50,622.50,-421.50
-129.00,618.00,-427.50
-144.00,622.50,-430.50
-150.00,618.00,-447.00
-165.00,628.50,-439.50
-178.50,625.50,-441.00
-189.00,621.00,-436.50
-198.00,619.50,-435.00
-204.00,627.00,-441.00
-201.00,622.50,-439.50
-205.50,619.50,-433.50
-199.50,624.00,-441.00
-202.50,627.00,-435.00
-208.50,630.00,-436.50
-205.50,619.50,-439.50
-201.00,619.50,-441.00
-208.50,624.00,-438.00
-213.00,624.00,-441.00
-208.50,622.50,-441.00
-210.00,630.00,-432.00
-205.50,628.50,-436.50
-204.00,633.00,-435.00
-213.00,628.50,-438.00
-208.50,619.50,-438.00
-205.50,624.00,-439.50
-199.50,628.50,-445.50
-198.00,621.00,-441.00
-205.50,622.50,-448.50
-196.50,628.50,-436.50
-199.50,625.50,-445.50
-193.50,634.50,-442.50
-187.50,633.00,-438.00
-181.50,625.50,-444.00
-189.00,630.00,-436.50
-180.00,622.50,-435.00
-175.50,639.00,-420.00
-171.00,631.50,-415.50
-171.00,640.50,-420.00
