Mag X	Mag Y	Mag Z	orange->green	blue = latest
-58.5	657	27		
-36	658.5	10.5		
-4.5	661.5	1.5		
12	660	-10.5		
30	661.5	-6		
37.5	660	-10.5		
31.5	661.5	-21		
24	669	-19.5		
-22.5	669	-15		
-64.5	676.5	-7.5		
-84	675	-1.5		
-93	666	3		
-91.5	676.5	3		
-106.5	667.5	13.5		
-111	676.5	12		
-114	669	19.5		
-117	670.5	16.5		
-117	675	16.5		
-117	669	13.5		
-114	672	12		
-112.5	670.5	18		
-112.5	670.5	13.5		
-114	672	12		
-114	660	12		
-114	673.5	22.5		
-118.5	664.5	25.5		
-120	663	13.5		
-121.5	670.5	16.5		
-124.5	667.5	16.5		
-126	667.5	19.5		
-120	672	19.5		
-130.5	670.5	16.5		
-124.5	667.5	27		
-126	676.5	24		
-124.5	673.5	21		
-114	669	21		
-106.5	663	24		
-93	673.5	33		
-73.5	660	33		
-72	670.5	42		
-66	669	39		
-40.5	663	37.5		
-22.5	655.5	39		
-9	664.5	34.5		
7.5	664.5	27		
25.5	661.5	13.5		
33	658.5	9		
54	651	12		
60	651	10.5		
64.5	642	6		
70.5	657	3		
73.5	649.5	-10.5		
87	648	-22.5		
72	645	-25.5		
79.5	648	-37.5		
91.5		-57		
88.5	649.5	-66		
84	648	-82.5		
90	654	-106.5		
87	651	-121.5		
81	654	-133.5		
70.5	655.5	-151.5		
61.5	654	-159		
52.5	661.5	-166.5		
48	652.5	-177		
43.5	657	-193.5		
57	660	-198		
55.5	651	-192		
63	661.5	-198		
60	658.5	-208.5		
61.5	658.5	-202.5		
58.5	661.5	-207		
63	651	-201		
78	652.5	-196.5		
75	651	-199.5		
73.5	654	-205.5		
75	657	-211.5		
76.5	658.5	-205.5		
75	657	-195		
79.5	646.5	-195		
88.5	652.5	-196.5		
79.5	661.5	-199.5		
84	646.5	-195		
90	657	-195		
94.5	649.5	-199.5		
100.5	649.5	-201		
109.5	649.5	-210		
105	646.5	-199.5		
111	645	-205.5		
108	649.5	-213		
111	643.5	-217.5		
114	642	-222		
103.5	642	-222		
111	646.5	-223.5		
108	642	-243		
118.5	648	-253.5		
129	643.5	-274.5		
174	637.5	-316.5		
228	624	-334.5		
