Mag X	Mag Y	Mag Z	o->g->lb->p->b
-49.5	639	34.5	
-60	642	39	
-52.5	643.5	42	
-51	640.5	37.5	
-43.5	628.5	40.5	
-49.5	637.5	40.5	
-52.5	639	30	
-52.5	636	43.5	
-55.5	639	40.5	
-49.5	636	39	
-60	636	40.5	
-54	636	40.5	
-48	636	37.5	
-48	631.5	39	
-52.5	639	48	
-55.5	636	37.5	
-52.5	630	28.5	
-55.5	640.5	28.5	
-52.5	636	24	
-61.5	631.5	3	
-63	642	4.5	
-64.5	643.5	6	
-63	640.5	7.5	
-64.5	642	9	
-58.5	643.5	7.5	
-58.5	633	6	
-63	640.5	12	
-66	639	18	
-60	636	12	
-72	642	22.5	
-67.5	633	39	
-69	631.5	48	
-70.5	630	70.5	
-48	627	96	
-45	628.5	108	
-30	621	126	
-3	618	126	
4.5	612	127.5	
27	604.5	126	
37.5	600	127.5	
49.5	604.5	124.5	
58.5	598.5	108	
66	604.5	103.5	
63	595.5	102	
58.5	597	100.5	
69	603	94.5	
73.5	597	105	
70.5	597	99	
78	594	108	
72	592.5	103.5	
69	594	111	
72	592.5	108	
67.5	594	100.5	
70.5	591	106.5	
73.5	592.5	108	
72	592.5	102	
63	588	100.5	
81	595.5	109.5	
75	604.5	108	
70.5	589.5	109.5	
76.5	591	111	
70.5	600	106.5	
72	594	106.5	
66	600	108	
72	592.5	109.5	
73.5	594	112.5	
67.5	598.5	109.5	
78	601.5	99	
70.5	603	109.5	
72	594	105	
81	594	102	
73.5	597	102	
79.5	592.5	105	
75	595.5	111	
75	595.5	108	
69	597	106.5	
69	594	112.5	
72	595.5	102	
