Mag X,Mag Y,Mag Z
69.00,624.00,115.50
76.50,636.00,120.00
70.50,633.00,118.50
75.00,621.00,123.00
66.00,630.00,127.50
72.00,633.00,115.50
73.50,625.50,118.50
75.00,622.50,117.00
70.50,637.50,124.50
72.00,631.50,126.00
72.00,624.00,117.00
69.00,630.00,115.50
75.00,634.50,123.00
67.50,625.50,118.50
67.50,634.50,123.00
72.00,624.00,124.50
67.50,627.00,123.00
63.00,627.00,120.00
70.50,628.50,115.50
75.00,625.50,120.00
64.50,627.00,121.50
72.00,633.00,124.50
73.50,622.50,121.50
76.50,624.00,121.50
63.00,634.50,117.00
69.00,631.50,118.50
67.50,627.00,121.50
73.50,630.00,120.00
75.00,630.00,117.00
69.00,628.50,120.00
73.50,633.00,114.00
85.50,637.50,97.50
99.00,633.00,70.50
106.50,642.00,43.50
99.00,646.50,27.00
73.50,642.00,1.50
54.00,636.00,-12.00
13.50,643.50,-7.50
-1.50,649.50,-7.50
-16.50,634.50,-6.00
-36.00,639.00,4.50
-52.50,643.50,9.00
-55.50,634.50,13.50
-64.50,637.50,33.00
-66.00,633.00,39.00
-70.50,634.50,45.00
-61.50,631.50,49.50
-63.00,634.50,63.00
-69.00,630.00,57.00
-67.50,628.50,64.50
-72.00,633.00,67.50
-67.50,631.50,73.50
-67.50,628.50,63.00
-66.00,627.00,70.50
-67.50,636.00,72.00
-66.00,630.00,69.00
-72.00,631.50,64.50
-60.00,634.50,69.00
-72.00,625.50,66.00
-64.50,624.00,64.50
-67.50,634.50,70.50
-67.50,627.00,64.50
-61.50,630.00,75.00
-73.50,627.00,69.00
-69.00,634.50,
-69.00,624.00,67.50
-67.50,628.50,70.50
-76.50,630.00,72.00
-69.00,628.50,60.00
-57.00,628.50,70.50
-69.00,630.00,72.00
-61.50,618.00,69.00
-66.00,627.00,73.50
-70.50,631.50,67.50
-70.50,630.00,72.00
-67.50,628.50,58.50
-67.50,628.50,75.00
-70.50,634.50,64.50
-66.00,622.50,67.50
-66.00,624.00,73.50
-60.00,631.50,64.50
-69.00,628.50,67.50
