Mag X,Mag Y,Mag Z
-117.00,658.50,-472.50
-112.50,663.00,-474.00
-115.50,661.50,-462.00
-109.50,664.50,-469.50
-112.50,660.00,-469.50
-108.00,661.50,-465.00
-108.00,660.00,-469.50
-108.00,651.00,-469.50
-118.50,654.00,-468.00
-127.50,649.50,-472.50
-153.00,652.50,-459.00
-174.00,648.00,-451.50
-174.00,649.50,-444.00
-175.50,645.00,-448.50
-175.50,648.00,-444.00
-177.00,640.50,-442.50
-181.50,646.50,-451.50
-193.50,648.00,-463.50
-181.50,645.00,-463.50
-180.00,642.00,-468.00
-187.50,648.00,-465.00
-183.00,642.00,-465.00
-192.00,651.00,-459.00
-189.00,649.50,-465.00
-193.50,643.50,-466.50
-186.00,645.00,-462.00
-192.00,645.00,-466.50
-190.50,643.50,-459.00
-189.00,642.00,-466.50
-198.00,639.00,-466.50
-190.50,642.00,-457.50
-195.00,652.50,-462.00
-198.00,648.00,-454.50
-207.00,649.50,-463.50
-214.50,649.50,-451.50
-211.50,646.50,-453.00
-222.00,648.00,-445.50
-231.00,645.00,
-246.00,654.00,-433.50
-259.50,649.50,-424.50
-268.50,645.00,-411.00
-291.00,646.50,-399.00
-300.00,643.50,-390.00
-300.00,649.50,-384.00
-315.00,654.00,-381.00
-319.50,654.00,-364.50
-325.50,652.50,-348.00
-345.00,654.00,-331.50
-355.50,655.50,-322.50
-367.50,663.00,-303.00
-382.50,663.00,-288.00
-381.00,658.50,-280.50
-391.50,663.00,-268.50
-387.00,664.50,-250.50
-393.00,682.50,-240.00
-384.00,673.50,-237.00
-372.00,672.00,-246.00
-382.50,682.50,-235.50
-378.00,675.00,-222.00
-384.00,672.00,-225.00
-390.00,681.00,-219.00
-378.00,669.00,-226.50
-381.00,672.00,-223.50
-378.00,678.00,-226.50
-375.00,672.00,-222.00
-381.00,679.50,-216.00
-373.50,678.00,-219.00
-369.00,672.00,-220.50
-376.50,681.00,-222.00
-376.50,672.00,-216.00
-384.00,673.50,-220.50
-379.50,679.50,-217.50
-381.00,676.50,-217.50
-381.00,673.50,-220.50
-376.50,681.00,-223.50
-372.00,678.00,-226.50
-375.00,675.00,-217.50
-382.50,676.50,-220.50
-373.50,673.50,-222.00
-379.50,676.50,-223.50
-378.00,682.50,-220.50
-381.00,676.50,-220.50
-376.50,675.00,-219.00
-375.00,673.50,-222.00
-376.50,679.50,-217.50
-372.00,684.00,-225.00
-382.50,684.00,-226.50
-376.50,673.50,-225.00
-366.00,681.00,-234.00
-361.50,684.00,-234.00
-376.50,672.00,-250.50
-381.00,663.00,-253.50
-384.00,657.00,-265.50
-384.00,667.50,-273.00
-390.00,657.00,-283.50
-391.50,646.50,-288.00
-396.00,648.00,-292.50
