Mag X	Mag Y	Mag Z		
294	300	55.5	277	-1.5
288	294	52.5	271	-4.5
292.5	292.5	55.5	275.5	-1.5
286.5	286.5	60	269.5	3
291	294	54	274	-3
288	294	57	271	0
291	295.5	57	274	0
286.5	294	55.5	269.5	-1.5
291	295.5	55.5	274	-1.5
294	288	55.5	277	-1.5
285	292.5	57	268	0
292.5	288	61.5	275.5	4.5
295.5	292.5	63	278.5	6
289.5	285	58.5	272.5	1.5
286.5	291	66	269.5	9
288	288	60	271	3
295.5	298.5	61.5	278.5	4.5
295.5	288	60	278.5	3
286.5	291	60	269.5	3
291	295.5	63	274	6
297	298.5	66	280	9
292.5	289.5	69	275.5	12
286.5	289.5	58.5	269.5	1.5
291	300	63	274	6
292.5	289.5	66	275.5	9
295.5	294	55.5	278.5	-1.5
286.5			269.5	-57
-264	307.5	42	-281	-15
-265.5	313.5	43.5	-282.5	-13.5
-273	309	42	-290	-15
-271.5	313.5	37.5	-288.5	-19.5
-264	318	43.5	-281	-13.5
-271.5	315	39	-288.5	-18
-268.5	307.5	39	-285.5	-18
-268.5	315	36	-285.5	-21
-267	312	39	-284	-18
-268.5	316.5	33	-285.5	-24
-273	316.5	34.5	-290	-22.5
-270	312	33	-287	-24
-268.5	313.5	34.5	-285.5	-22.5
-265.5	309	42	-282.5	-15
-271.5	315	34.5	-288.5	-22.5
-270	312	39	-287	-18
-273	310.5	30	-290	-27
-265.5	310.5	37.5	-282.5	-19.5
-262.5	319.5	36	-279.5	-21
-259.5	309	33	-276.5	-24
-267	310.5	36	-284	-21
-265.5	310.5	37.5	-282.5	-19.5
-264	316.5	39	-281	-18
-268.5	307.5	37.5	-285.5	-19.5
-264	315	40.5	-281	-16.5
-270	316.5	39	-287	-18
-265.5	312	40.5	-282.5	-16.5
-262.5	316.5	43.5	-279.5	-13.5
-264	315	34.5	-281	-22.5
-273	318	36	-290	-21
-259.5	313.5	39	-276.5	-18
-267	309	36	-284	-21
-271.5	315	36	-288.5	-21
-268.5	316.5	36	-285.5	-21
-264	316.5	39	-281	-18
-258	321	33	-275	-24
-268.5	316.5	33	-285.5	-24
-265.5	312	37.5	-282.5	-19.5
-264	321	34.5	-281	-22.5
-267	313.5	37.5	-284	-19.5
-264	316.5	39	-281	-18
-264	309	39	-281	-18
-267	313.5	37.5	-284	-19.5
-267	315	33	-284	-24
-265.5	312	31.5	-282.5	-25.5
-264	310.5	36	-281	-21
-268.5	313.5	33	-285.5	-24
-261	312	36	-278	-21
-265.5	309	34.5	-282.5	-22.5
-265.5	312	15	-282.5	-42
-259.5	310.5	13.5	-276.5	-43.5
-255	313.5	-1.5	-272	-58.5
-253.5	312	-7.5	-270.5	-64.5
-252	315	-19.5	-269	-76.5
-244.5	309	-21	-261.5	-78
-246	318	-36	-263	-93
-240	318	-49.5	-257	-106.5
-231	316.5	-63	-248	-120
-217.5	316.5	-66	-234.5	-123
-220.5	310.5	-76.5	-237.5	-133.5
-219	313.5	-81	-236	-138
-201	319.5	-94.5	-218	-151.5
-201	318	-105	-218	-162
-186	318	-121.5	-203	-178.5
-180	315	-127.5	-197	-184.5
-171	318	-138	-188	-195
-165	315	-138	-182	-195
-154.5	316.5	-142.5	-171.5	-199.5
-144	316.5	-147	-161	-204
-136.5	315	-156	-153.5	-213
-129	312	-157.5	-146	-214.5
-124.5	316.5	-163.5	-141.5	-220.5
-133.5	315	-160.5	-150.5	-217.5
-130.5	315	-157.5	-147.5	-214.5
-129	324	-160.5	-146	-217.5
-136.5	312	-157.5	-153.5	-214.5
-127.5	316.5	-156	-144.5	-213
-135	318	-163.5	-152	-220.5
-127.5	313.5	-160.5	-144.5	-217.5
-129	321	-162	-146	-219
-133.5	319.5	-165	-150.5	-222
-109.5	316.5	-166.5	-126.5	-223.5
-115.5	318	-174	-132.5	-231
-99	315	-178.5	-116	-235.5
-87	315	-181.5	-104	-238.5
-75	313.5	-184.5	-92	-241.5
-61.5	315	-193.5	-78.5	-250.5
-58.5				
-40.5	321	-196.5	-57.5	-253.5
-31.5	318	-193.5	-48.5	-250.5
-30	324	-195	-47	-252
-16.5	316.5	-198	-33.5	-255
-9	313.5	-193.5	-26	-250.5
-1.5	316.5	-198	-18.5	-255
7.5	319.5	-204	-9.5	-261
19.5	316.5	-195	2.5	-252
30	312	-190.5	13	-247.5
42	312	-207	25	-264
49.5	316.5	-193.5	32.5	-250.5
57	321	-193.5	40	-250.5
58.5	310.5	-190.5	41.5	-247.5
55.5	313.5	-187.5	38.5	-244.5
63	312	-196.5	46	-253.5
58.5	313.5	-193.5	41.5	-250.5
66	316.5	-195	49	-252
81	310.5	-189	64	-246
105	316.5	-186	88	-243
114	310.5	-181.5	97	-238.5
121.5	306	-169.5	104.5	-226.5
135	309	-168	118	-225
144	309	-165	127	-222
156	304.5	-156	139	-213
165	315	-151.5	148	-208.5
175.5	310.5	-142.5	158.5	-199.5
192	313.5	-136.5	175	-193.5
204	310.5	-126	187	-183
205.5	307.5	-120	188.5	-177
222	310.5	-108	205	-165
222	310.5	-105	205	-162
225	310.5	-100.5	208	-157.5
229.5	309	-108	212.5	-165
229.5	309	-93	212.5	-150
237	307.5	-81	220	-138
246	312	-70.5	229	-127.5
249	306	-52.5	232	-109.5
264	304.5	-33	247	-90
267	313.5	-31.5	250	-88.5
276	310.5	-6	259	-63
277.5	294	12	260.5	-45
277.5	304.5	19.5	260.5	-37.5
283.5	300	31.5	266.5	-25.5
285	298.5	43.5	268	-13.5
283.5	295.5	42	266.5	-15
285	298.5	40.5	268	-16.5
279	304.5	39	262	-18
282	294	51	265	-6
283.5	301.5	60	266.5	3
279	297	78	262	21
282	298.5	108	265	51
276	297	121.5	259	64.5
274.5	291	138	257.5	81
268.5	292.5	151.5	251.5	94.5
265.5	303	169.5	248.5	112.5
261	292.5	181.5	244	124.5
261	298.5	195	244	138
252	291	208.5	235	151.5
243	297	214.5	226	157.5
229.5	292.5	228	212.5	171
225	294	235.5	208	178.5
210	292.5	256.5	193	199.5
201	291	265.5	184	208.5
178.5	289.5	274.5	161.5	217.5
168	297	291	151	234
147	294	294	130	237
138	291	306	121	249
132	295.5	306	115	249
130.5	292.5			
135	292.5	307.5	118	250.5
126	285	312	109	255
126	297	312	109	255
129	288	310.5	112	253.5
