Mag X,Mag Y,Mag Z
-351.00,703.50,-273.00
-256.50,714.00,-283.50
-189.00,708.00,-292.50
-217.50,709.50,-307.50
-256.50,709.50,-319.50
-288.00,726.00,-313.50
-292.50,726.00,-322.50
-301.50,721.50,-313.50
-300.00,,
-295.50,726.00,-309.00
-306.00,726.00,-318.00
-303.00,738.00,-325.50
-327.00,724.50,-315.00
-330.00,732.00,-321.00
-327.00,738.00,-315.00
-319.50,733.50,-319.50
-327.00,735.00,-315.00
-328.50,736.50,-316.50
-322.50,726.00,-319.50
-327.00,723.00,-322.50
-327.00,739.50,-313.50
-321.00,735.00,-321.00
-331.50,738.00,-318.00
-325.50,733.50,-316.50
-336.00,726.00,-313.50
-331.50,742.50,-318.00
-337.50,733.50,-318.00
-322.50,733.50,-315.00
-328.50,729.00,-322.50
-327.00,736.50,-312.00
-321.00,730.50,-282.00
-328.50,736.50,-253.50
-328.50,733.50,-225.00
-322.50,723.00,-195.00
-331.50,729.00,-184.50
-328.50,718.50,-168.00
-330.00,717.00,-145.50
-327.00,714.00,-132.00
-330.00,708.00,-103.50
-330.00,703.50,-81.00
-327.00,705.00,-70.50
-322.50,694.50,-52.50
-322.50,696.00,-34.50
-309.00,691.50,-25.50
-295.50,690.00,1.50
-288.00,690.00,18.00
-276.00,688.50,37.50
-265.50,682.50,40.50
-250.50,688.50,46.50
-241.50,687.00,46.50
-225.00,681.00,54.00
-201.00,685.50,12.00
-184.50,684.00,-1.50
-195.00,684.00,6.00
-192.00,682.50,-1.50
-196.50,681.00,-4.50
-208.50,676.50,-7.50
-211.50,685.50,-1.50
-205.50,685.50,-6.00
-207.00,676.50,1.50
-202.50,691.50,4.50
-201.00,678.00,-4.50
-202.50,684.00,-3.00
-205.50,688.50,6.00
-195.00,684.00,-3.00
-208.50,679.50,3.00
-201.00,679.50,-6.00
-202.50,685.50,-3.00
-205.50,682.50,-1.50
-204.00,682.50,1.50
-202.50,679.50,-4.50
-202.50,682.50,3.00
-201.00,693.00,1.50
-202.50,676.50,-4.50
-196.50,684.00,1.50
-198.00,684.00,-4.50
-195.00,688.50,1.50
-204.00,684.00,1.50
-195.00,684.00,-3.00
-208.50,681.00,3.00
-208.50,684.00,6.00
-207.00,679.50,1.50
-208.50,690.00,7.50
-205.50,679.50,6.00
-207.00,679.50,4.50
-205.50,688.50,
-207.00,682.50,7.50
-190.50,684.00,7.50
-205.50,688.50,7.50
-216.00,681.00,1.50
-178.50,685.50,-6.00
-130.50,685.50,-9.00
-99.00,690.00,-3.00
-111.00,679.50,1.50
-93.00,690.00,3.00
