Mag X,Mag Y,Mag Z
69.00,348.00,348.00
67.50,348.00,342.00
76.50,336.00,342.00
60.00,349.50,348.00
70.50,352.50,346.50
67.50,346.50,345.00
58.50,346.50,351.00
78.00,337.50,345.00
73.50,345.00,346.50
58.50,337.50,351.00
72.00,339.00,345.00
72.00,340.50,351.00
60.00,345.00,348.00
72.00,334.50,349.50
64.50,348.00,351.00
63.00,345.00,349.50
72.00,334.50,340.50
63.00,343.50,352.50
76.50,339.00,348.00
76.50,342.00,351.00
66.00,348.00,349.50
73.50,337.50,345.00
70.50,343.50,351.00
66.00,351.00,351.00
76.50,331.50,354.00
64.50,342.00,354.00
67.50,346.50,352.50
78.00,342.00,346.50
67.50,345.00,354.00
67.50,349.50,355.50
84.00,339.00,343.50
96.00,346.50,340.50
111.00,342.00,336.00
126.00,345.00,331.50
136.50,349.50,318.00
160.50,346.50,304.50
172.50,355.50,298.50
198.00,355.50,283.50
222.00,349.50,264.00
228.00,354.00,238.50
238.50,361.50,222.00
258.00,339.00,178.50
265.50,366.00,148.50
276.00,357.00,102.00
274.50,352.50,87.00
262.50,357.00,69.00
268.50,346.50,39.00
262.50,349.50,33.00
267.00,360.00,36.00
253.50,345.00,28.50
259.50,345.00,39.00
273.00,360.00,36.00
261.00,348.00,25.50
267.00,355.50,37.50
262.50,360.00,43.50
252.00,354.00,28.50
258.00,366.00,36.00
256.50,349.50,27.00
259.50,354.00,30.00
264.00,355.50,43.50
258.00,354.00,25.50
262.50,354.00,37.50
262.50,355.50,40.50
249.00,349.50,28.50
264.00,354.00,39.00
255.00,358.50,39.00
258.00,351.00,27.00
270.00,366.00,40.50
256.50,345.00,31.50
262.50,351.00,33.00
261.00,357.00,42.00
253.50,351.00,28.50
262.50,351.00,40.50
264.00,358.50,45.00
258.00,351.00,24.00
252.00,351.00,31.50
259.50,363.00,36.00
