348,118.5,145.5
249,-27,280.5
301.5,-52.5,120
258,-193.5,-202.5
139.5,-184.5,277.5
-207,-91.5,307.5
-177,252,234
-37.5,333,187.5
31.5,294,-345
-82.5,268.5,28.5
-87,244.5,309
-33,247.5,306
7.5,427.5,310.5
121.5,189,277.5
169.5,55.5,318
298.5,43.5,249
214.5,120,270
241.5,118.5,298.5
231,133.5,342
220.5,55.5,388.5
-76.5,-141,435
-189,-39,448.5
-18,-52.5,475.5
-120,-183,418.5
-13.5,-217.5,412.5
64.5,-253.5,364.5
93,-126,423
229.5,138,363
133.5,-22.5,430.5
75,-144,432
214.5,-133.5,388.5
169.5,-162,366
-76.5,-109.5,433.5
40.5,-187.5,570
288,54,282
222,207,261
-156,325.5,268.5
63,297,292.5
42,252,319.5
46.5,234,337.5
64.5,217.5,340.5
90,205.5,358.5
115.5,213,343.5
73.5,277.5,328.5
213,-45,354
228,-24,348
216,72,355.5
219,73.5,351
223.5,40.5,354
210,-27,360
202.5,-63,360
196.5,-81,358.5
174,-97.5,361.5
172.5,-112.5,364.5
165,-114,364.5
150,-124.5,367.5
139.5,-132,372
105,-165,369
75,-168,372
37.5,-186,370.5
30,-181.5,376.5
6,-190.5,372
-27,-189,375
-66,-181.5,379.5
-112.5,-163.5,385.5
-141,-162,381
-172.5,-132,379.5
-214.5,-90,387
-244.5,-34.5,382.5
-261,43.5,373.5
-255,67.5,382.5
-253.5,72,378
-246,108,373.5
-238.5,127.5,372
-229.5,141,372
-202.5,181.5,369
-165,219,364.5
-78,253.5,360
-48,264,357
-18,267,355.5
45,264,349.5
91.5,244.5,352.5
178.5,163.5,349.5
229.5,37.5,357
219,-18,360
115.5,-148.5,375
16.5,-184.5,373.5
-130.5,-153,378
-211.5,-93,381
-253.5,102,366
-75,258,360
76.5,240,346.5
157.5,181.5,351
177,-97.5,360
153,-117,364.5
162,-118.5,361.5
184.5,-114,363
268.5,-72,349.5
232.5,60,424.5
193.5,-64.5,463.5
153,-126,477
114,-151.5,469.5
111,-145.5,481.5
54,-177,486
9,-184.5,490.5
-84,-186,492
-171,-147,489
-216,-108,490.5
-250.5,-57,483
-276,18,471
-277.5,85.5,471
-268.5,111,466.5
-256.5,147,462
-240,163.5,459
-226.5,192,454.5
-217.5,204,459
-192,222,451.5
-142.5,256.5,445.5
-90,273,445.5
-40.5,280.5,442.5
-22.5,283.5,433.5
42,271.5,438
81,255,433.5
115.5,237,439.5
192,159,442.5
205.5,130.5,445.5
220.5,52.5,448.5
187.5,-70.5,465
154.5,-121.5,474
67.5,-166.5,486
-66,-187.5,490.5
-178.5,-133.5,493.5
-241.5,-78,483
-259.5,-31.5,478.5
-276,73.5,463.5
-267,111,471
-241.5,163.5,460.5
-169.5,246,450
-130.5,261,448.5
27,283.5,438
106.5,249,438
181.5,178.5,439.5
202.5,136.5,442.5
226.5,33,454.5
222,-3,460.5
189,-88.5,465
144,-123,475.5
58.5,-177,487.5
-102,-177,492
-204,-114,492
-255,-49.5,486
-280.5,33,468
-277.5,61.5,466.5
-268.5,109.5,466.5
-210,207,456
-196.5,216,445.5
-28.5,273,436.5
81,258,436.5
172.5,187.5,439.5
214.5,105,445.5
223.5,42,450
214.5,-21,457.5
156,-114,466.5
97.5,-156,480
27,-186,489
-207,-114,490.5
-279,94.5,468
-255,147,462
-153,243,429
-255,129,415.5
-310.5,-12,471
-295.5,-162,541.5
-535.5,-460.5,406.5
-534,-346.5,489
-555,-508.5,423
-448.5,-145.5,547.5
-387,-151.5,538.5
-385.5,-157.5,546
-370.5,-193.5,540
-364.5,-150,552
-300,-12,564
-285,-22.5,564
-271.5,-51,550.5
-253.5,-42,555
-153,-1.5,559.5
-106.5,-39,552
-84,-24,543
-75,-22.5,547.5
-78,-19.5,543
-93,-88.5,550.5
-108,-93,549
-103.5,-109.5,541.5
-63,-157.5,519
-105,-228,513
-121.5,-229.5,508.5
-144,-289.5,496.5
-357,-388.5,508.5
-378,-430.5,526.5
-382.5,-432,528
-375,-439.5,526.5
-421.5,-406.5,526.5
-463.5,-454.5,604.5
-454.5,-451.5,601.5
-451.5,-411,585
-499.5,-409.5,582
-640.5,-414,613.5
-652.5,-400.5,625.5
-648,-382.5,630
-493.5,-406.5,589.5
-366,-271.5,582
-354,-190.5,600
-268.5,-111,630
-259.5,-28.5,609
-184.5,-16.5,615
-72,1.5,642
-69,-15,631.5
-40.5,-42,610.5
-114,-156,621
-123,-157.5,615
-18,-219,516
-78,-189,493.5
-25.5,-387,522
-97.5,-247.5,492
-286.5,-546,595.5
-294,-526.5,595.5
-301.5,-489,564
-390,-540,642
-325.5,-501,624
-441,-450,627
-577.5,-439.5,730.5
-645,-438,705
-658.5,-436.5,694.5
-633,-384,681
-367.5,-156,646.5
-360,-118.5,627
-237,12,624
-258,-34.5,622.5
-274.5,-45,618
-157.5,-499.5,127.5
-115.5,-531,115.5
-216,-418.5,180
103.5,87,187.5
106.5,85.5,183
102,99,190.5
105,100.5,187.5
103.5,105,193.5
100.5,102,195
103.5,102,184.5
102,87,193.5
109.5,87,184.5
96,145.5,168
49.5,274.5,-30
