
Command: IIS2MDC Calibrate






















IIS2MDC Calibrating: Rotate TDC slowly 3x times about its center axis, pausing at exactly NSEW


Mag X: -108.00
Mag Y: 205.50
Mag Z: -321.00


Mag X: -106.50
Mag Y: 211.50
Mag Z: -315.00


Mag X: -114.00
Mag Y: 217.50
Mag Z: -316.50


Mag X: -109.50
Mag Y: 211.50
Mag Z: -315.00


Mag X: -111.00
Mag Y: 213.00
Mag Z: -322.50


Mag X: -99.00
Mag Y: 208.50
Mag Z: -316.50


Mag X: -106.50
Mag Y: 214.50
Mag Z: -318.00


Mag X: -111.00
Mag Y: 216.00
Mag Z: -319.50


Mag X: -109.50
Mag Y: 208.50
Mag Z: -313.50


Mag X: -88.50
Mag Y: 220.50
Mag Z: -322.50


Mag X: -90.00
Mag Y: 210.00
Mag Z: -318.00


Mag X: -93.00
Mag Y: 214.50
Mag Z: -324.00


Mag X: -88.50
Mag Y: 205.50
Mag Z: -319.50


Mag X: -90.00
Mag Y: 210.00
Mag Z: -324.00


Mag X: -93.00
Mag Y: 213.00
Mag Z: -322.50


Mag X: -87.00
Mag Y: 210.00
Mag Z: -322.50


Mag X: -93.00
Mag Y: 207.00
Mag Z: -321.00


Mag X: -96.00
Mag Y: 213.00
Mag Z: -321.00


Mag X: -94.50
Mag Y: 210.00
Mag Z: -322.50


Mag X: -99.00
Mag Y: 208.50
Mag Z: -322.50


Mag X: -105.00
Mag Y: 210.00
Mag Z: -319.50


Mag X: -108.00
Mag Y: 216.00
Mag Z: -325.50


Mag X: -105.00
Mag Y: 214.50
Mag Z: -318.00


Mag X: -105.00
Mag Y: 211.50
Mag Z: -330.00


Mag X: -100.50
Mag Y: 210.00
Mag Z: -322.50


Mag X: -108.00
Mag Y: 211.50
Mag Z: -322.50


Mag X: -99.00
Mag Y: 204.00
Mag Z: -321.00


Mag X: -106.50
Mag Y: 211.50
Mag Z: -322.50


Mag X: -103.50
Mag Y: 211.50
Mag Z: -321.00


Mag X: -103.50
Mag Y: 213.00
Mag Z: -327.00


Mag X: -103.50
Mag Y: 205.50
Mag Z: -325.50


Mag X: -108.00
Mag Y: 208.50
Mag Z: -319.50


Mag X: -118.50
Mag Y: 210.00
Mag Z: -322.50


Mag X: -135.00
Mag Y: 210.00
Mag Z: -321.00


Mag X: -166.50
Mag Y: 210.00
Mag Z: -315.00


Mag X: -177.00
Mag Y: 205.50
Mag Z: -307.50


Mag X: -208.50
Mag Y: 213.00
Mag Z: -280.50


Mag X: -228.00
Mag Y: 211.50
Mag Z: -265.50


Mag X: -247.50
Mag Y: 216.00
Mag Z: -252.00


Mag X: -258.00
Mag Y: 217.50
Mag Z: -222.00


Mag X: -262.50
Mag Y: 213.00
Mag Z: -195.00


Mag X: -270.00
Mag Y: 216.00
Mag Z: -169.50


Mag X: -280.50
Mag Y: 214.50
Mag Z: -144.00


Mag X: -282.00
Mag Y: 216.00
Mag Z: -108.00


Mag X: -277.50
Mag Y: 213.00
