Mag X,Mag Y,Mag Z
48.00,181.50,-238.50
45.00,177.00,-243.00
46.50,172.50,-240.00
54.00,174.00,-243.00
52.50,178.50,-247.50
49.50,181.50,-243.00
49.50,177.00,-243.00
48.00,180.00,-247.50
52.50,178.50,-244.50
51.00,177.00,-244.50
55.50,174.00,-244.50
37.50,,-247.50
4.50,,-246.00
-33.00,172.50,-243.00
-72.00,189.00,-237.00
-100.50,181.50,-223.50
-145.50,177.00,-213.00
-159.00,175.50,-204.00
-172.50,168.00,-199.50
-189.00,180.00,-175.50
-217.50,172.50,-154.50
-241.50,162.00,-133.50
-267.00,150.00,-106.50
-289.50,153.00,-58.50
-307.50,151.50,-21.00
-315.00,142.50,19.50
-318.00,132.00,70.50
-315.00,120.00,132.00
-304.50,111.00,171.00
-294.00,106.50,216.00
-276.00,106.50,253.50
-259.50,96.00,276.00
-250.50,97.50,288.00
-253.50,100.50,283.50
-255.00,96.00,285.00
-252.00,94.50,280.50
-246.00,96.00,294.00
-217.50,96.00,327.00
-154.50,84.00,367.50
-114.00,84.00,385.50
-82.50,84.00,405.00
-31.50,85.50,411.00
4.50,78.00,405.00
54.00,81.00,417.00
117.00,84.00,402.00
145.50,84.00,393.00
187.50,81.00,370.50
234.00,88.50,355.50
271.50,88.50,325.50
289.50,96.00,294.00
319.50,94.50,259.50
336.00,100.50,229.50
345.00,103.50,214.50
352.50,108.00,163.50
366.00,112.50,121.50
370.50,118.50,82.50
364.50,117.00,15.00
366.00,115.50,1.50
355.50,108.00,-40.50
340.50,115.50,-78.00
307.50,112.50,-132.00
282.00,115.50,-160.50
276.00,111.00,-184.50
238.50,109.50,-208.50
208.50,118.50,-222.00
195.00,114.00,-240.00
153.00,112.50,-256.50
112.50,111.00,-261.00
73.50,117.00,-268.50
19.50,115.50,-274.50
27.00,115.50,-274.50
66.00,117.00,-268.50
90.00,109.50,-271.50
121.50,108.00,-262.50
150.00,105.00,-256.50
172.50,105.00,-247.50
205.50,106.50,-229.50
214.50,100.50,-220.50
235.50,109.50,-211.50
250.50,105.00,-192.00
283.50,112.50,-166.50
301.50,109.50,-144.00
336.00,105.00,-90.00
346.50,100.50,-45.00
361.50,103.50,-3.00
364.50,102.00,30.00
366.00,103.50,72.00
366.00,108.00,117.00
354.00,100.50,144.00
349.50,103.50,180.00
346.50,100.50,186.00
340.50,103.50,177.00
348.00,102.00,174.00
340.50,102.00,202.50
336.00,108.00,202.50
337.50,105.00,196.50
342.00,105.00,205.50
334.50,112.50,202.50
316.50,108.00,237.00
286.50,111.00,279.00
255.00,109.50,313.50
226.50,114.00,328.50
204.00,111.00,349.50
162.00,114.00,364.50
88.50,108.00,393.00
45.00,121.50,390.00
4.50,121.50,394.50
-43.50,124.50,393.00
-90.00,126.00,381.00
-130.50,123.00,361.50
-193.50,121.50,325.50
-234.00,,
-271.50,123.00,232.50
-309.00,120.00,159.00
-315.00,118.50,103.50
-318.00,121.50,25.50
-309.00,124.50,
-285.00,120.00,-63.00
-259.50,117.00,-123.00
-250.50,121.50,-139.50
-207.00,114.00,-186.00
-156.00,109.50,-225.00
-142.50,112.50,-229.50
-147.00,108.00,-225.00
-136.50,120.00,-226.50
-76.50,114.00,-252.00
-30.00,108.00,-267.00
3.00,106.50,-264.00
34.50,106.50,-267.00
60.00,109.50,-264.00
69.00,105.00,-262.50
64.50,105.00,-264.00
67.50,102.00,-261.00
67.50,100.50,-267.00
72.00,106.50,-268.50
64.50,102.00,-265.50
64.50,103.50,-264.00
64.50,103.50,-265.50
