Mag X	Mag Y	Mag Z			
-180	280.5	-247.5		-35	-135.5
-162	268.5	-253.5		-17	-141.5
-121.5	297	-246		23.5	-134
-96	319.5	-232.5		49	-120.5
-81	325.5	-234		64	-122
-78	316.5	-243		67	-131
-102	310.5	-256.5		43	-144.5
-141	280.5	-271.5		4	-159.5
-177		-292.5		-32	-180.5
-198	252	-315		-53	-203
-192	240	-333		-47	-221
-196.5	244.5	-333		-51.5	-221
-201	240	-333		-56	-221
-202.5		-334.5		-57.5	-222.5
-199.5	235.5	-331.5		-54.5	-219.5
-198	235.5	-328.5		-53	-216.5
-202.5	244.5	-322.5		-57.5	-210.5
-204	240	-321		-59	-209
-201	246	-318		-56	-206
-205.5	243	-318		-60.5	-206
-193.5	243	-310.5		-48.5	-198.5
-196.5	247.5	-309		-51.5	-197
-190.5	243	-310.5		-45.5	-198.5
-189	249	-306		-44	-194
-189	244.5	-304.5		-44	-192.5
-190.5	243	-306		-45.5	-194
-192	243	-310.5		-47	-198.5
-189		-307.5		-44	-195.5
-193.5				-48.5	112
-201	252	-307.5		-56	-195.5
-187.5	250.5	-304.5		-42.5	-192.5
-195	249			-50	112
-189	247.5	-298.5		-44	-186.5
-189	250.5	-303		-44	-191
-190.5	241.5	-300		-45.5	-188
-195	246	-310.5		-50	-198.5
-193.5	243	-300		-48.5	-188
-189	243	-306		-44	-194
-193.5		-303		-48.5	-191
-190.5	241.5	-310.5		-45.5	-198.5
-195	250.5	-301.5		-50	-189.5
-192	243	-301.5		-47	-189.5
-190.5	246	-300		-45.5	-188
-186	249	-298.5		-41	-186.5
-181.5	250.5	-294		-36.5	-182
-180	244.5	-297		-35	-185
-186	244.5	-295.5		-41	-183.5
-186	249	-291		-41	-179
-184.5	250.5	-294		-39.5	-182
-189	250.5	-297		-44	-185
-175.5	252	-289.5		-30.5	-177.5
-163.5	261	-280.5		-18.5	-168.5
-147	255	-268.5		-2	-156.5
-148.5	258	-274.5		-3.5	-162.5
-144	250.5	-282		1	-170
-141	259.5	-279		4	-167
-148.5	255	-268.5		-3.5	-156.5
-150	258	-267		-5	-155
-171		-280.5		-26	-168.5
-159	255	-262.5		-14	-150.5
-165	247.5	-270		-20	-158
-166.5	249	-279		-21.5	-167
-172.5	249	-279		-27.5	-167
-132	267	-271.5		13	-159.5
-150	253.5	-318		-5	-206
-148.5	250.5	-345		-3.5	-233
-150	249	-309		-5	-197
-141	247.5	-294		4	-182
-123	249	-295.5		22	-183.5
-97.5				47.5	112
-72	255	-291		73	-179
-52.5	255	-276		92.5	-164
-25.5	261	-252		119.5	-140
15	250.5	-231		160	-119
42		-213		187	-101
85.5		-184.5		230.5	-72.5
109.5	255	-148.5		254.5	-36.5
120		-130.5		265	-18.5
135	256.5	-106.5		280	5.5
144	252	-93		289	19
151.5	252	-69		296.5	43
145.5		-57		290.5	55
156	256.5	-46.5		301	65.5
147	250.5	-33		292	79
147	258	-31.5		292	80.5
130.5		-31.5		275.5	80.5
127.5	259.5	-31.5		272.5	80.5
124.5	252	-33		269.5	79
127.5	261	-30		272.5	82
129	259.5	-30		274	82
126	262.5	-34.5		271	77.5
123	256.5	-36		268	76
124.5	270	-36		269.5	76
120	261	-36		265	76
118.5	268.5	-36		263.5	76
120	268.5	-34.5		265	77.5
117	256.5	-33		262	79
115.5	265.5	-30		260.5	82
118.5	261	-28.5		263.5	83.5
121.5	267	-30		266.5	82
109.5	265.5	-37.5		254.5	74.5
121.5		-39		266.5	73
121.5	267	-39		266.5	73
117	264	-37.5		262	74.5
118.5	267	-30		263.5	82
123	259.5	-39		268	73
120	271.5	-36		265	76
121.5	265.5			266.5	112
127.5	262.5	-39		272.5	73
117	262.5	-33		262	79
120	271.5	-36		265	76
121.5	265.5	-36		266.5	76
115.5	262.5	-37.5		260.5	74.5
126	262.5	-28.5		271	83.5
123	264	-30		268	82
120	262.5	-31.5		265	80.5
124.5	265.5	-31.5		269.5	80.5
124.5	262.5	-27		269.5	85
124.5				269.5	112
121.5		-27		266.5	85
126	265.5	-24		271	88
138	267	-15		283	97
130.5	264	-1.5		275.5	110.5
132	271.5	18		277	130
129	273	18		274	130
127.5	276	27		272.5	139
132	274.5	27		277	139
124.5	274.5	40.5		269.5	152.5
120	274.5	49.5		265	161.5
120	280.5	64.5		265	176.5
108	282	76.5		253	188.5
108	277.5	85.5		253	197.5
103.5		105		248.5	217
87				232	112
79.5	286.5	129		224.5	241
67.5	288	130.5		212.5	242.5
63	294	132		208	244
46.5	289.5	141		191.5	253
37.5		142.5		182.5	254.5
27		156		172	268
18	292.5	145.5		163	257.5
19.5		141		164.5	253
7.5	295.5	138		152.5	250
-6	289.5	133.5		139	245.5
-3	295.5	124.5		142	236.5
-13.5	286.5	111		131.5	223
-16.5	276	103.5		128.5	215.5
-22.5	280.5	93		122.5	205
-18	274.5	93		127	205
-25.5	276	91.5		119.5	203.5
-15	274.5	97.5		130	209.5
-22.5	283.5	102		122.5	214
-15		105		130	217
-27	279	108		118	220
-28.5	279	111		116.5	223
-27	276	108		118	220
-40.5	279	109.5		104.5	221.5
-37.5	277.5	114		107.5	226
-63	273	114		82	226
-72	282	126		73	238
-73.5	282	132		71.5	244
-76.5	280.5	132		68.5	244
-82.5	283.5	136.5		62.5	248.5
-75	280.5	145.5		70	257.5
-79.5	286.5	145.5		65.5	257.5
-85.5	283.5	144		59.5	256
-82.5	279	150		62.5	262
-87	279	157.5		58	269.5
-99		162		46	274
-99	274.5	175.5		46	287.5
-99	268.5	175.5		46	287.5
-91.5	270	156		53.5	268
-88.5	267	156		56.5	268
-96	270	159		49	271
-85.5				59.5	112
-81	265.5	154.5		64	266.5
-79.5	268.5	154.5		65.5	266.5
-70.5		142.5		74.5	254.5
-64.5	259.5	138		80.5	250
-67.5	270	147		77.5	259
-64.5	261	142.5		80.5	254.5
-66	264	144		79	256
-70.5	265.5	142.5		74.5	254.5
-72	262.5	145.5		73	257.5
-79.5	274.5	148.5		65.5	260.5
-88.5	274.5	151.5		56.5	263.5
-85.5		151.5		59.5	263.5
-84	265.5	148.5		61	260.5
-79.5		153		65.5	265
-90		157.5		55	269.5
-87	265.5	162		58	274
-99	261	162		46	274
-97.5	267	156		47.5	268
-112.5		147		32.5	259
-127.5	265.5	156		17.5	268
-136.5	273	163.5		8.5	275.5
-156	273	154.5		-11	266.5
-160.5	265.5	142.5		-15.5	254.5
-178.5	274.5	127.5		-33.5	239.5
-195	279	120		-50	232
-214.5	286.5	106.5		-69.5	218.5
-225	283.5	93		-80	205
-250.5		54		-105.5	166
-273	285	28.5		-128	140.5
-304.5	259.5	-22.5		-159.5	89.5
-334.5	250.5	-36		-189.5	76
-348	261	-66		-203	46
-355.5		-106.5		-210.5	5.5
-366	244.5	-151.5		-221	-39.5
-388.5	246	-165		-243.5	-53
-402	240	-192		-257	-80
-412.5	238.5	-208.5		-267.5	-96.5
-423		-214.5		-278	-102.5
-441	250.5	-204		-296	-92
-436.5	240	-216		-291.5	-104
-429	243	-216		-284	-104
-426	235.5	-219		-281	-107
-421.5		-225		-276.5	-113
-418.5	243	-226.5		-273.5	-114.5
-415.5	246	-238.5		-270.5	-126.5
-411	246	-234		-266	-122
-408	244.5	-240		-263	-128
-411	247.5	-232.5		-266	-120.5
-409.5	241.5	-225		-264.5	-113
-412.5	246	-231		-267.5	-119
-406.5	246	-225		-261.5	-113
-417	241.5	-231		-272	-119
-415.5	246	-219		-270.5	-107
-420	247.5	-223.5		-275	-111.5
-414	250.5	-216		-269	-104
-411	250.5	-220.5		-266	-108.5
-412.5	243	-220.5		-267.5	-108.5
-420	243	-219		-275	-107
-415.5	243	-222		-270.5	-110
-414	243	-226.5		-269	-114.5
-417	240	-220.5		-272	-108.5
-423	243	-214.5		-278	-102.5
-426	244.5	-208.5		-281	-96.5
-417	250.5	-214.5		-272	-102.5
-426	250.5	-198		-281	-86
-426	243	-187.5		-281	-75.5
-436.5	252	-175.5		-291.5	-63.5
-439.5	247.5	-177		-294.5	-65
-435	253.5	-169.5		-290	-57.5
-435	250.5	-174		-290	-62
-441	250.5	-171		-296	-59
-436.5	253.5	-174		-291.5	-62
-442.5	244.5	-172.5		-297.5	-60.5
-439.5	244.5	-166.5		-294.5	-54.5
-447	253.5	-147		-302	-35
-435	258	-153		-290	-41
-442.5	252	-147		-297.5	-35
-438	255	-145.5		-293	-33.5
-430.5	261	-145.5		-285.5	-33.5
-423	267	-148.5		-278	-36.5
-412.5	271.5	-178.5		-267.5	-66.5
-387				-242	112
-373.5	276	-201		-228.5	-89
-358.5	279	-214.5		-213.5	-102.5
-340.5	280.5	-232.5		-195.5	-120.5
-316.5	277.5	-246		-171.5	-134
-298.5	285	-268.5		-153.5	-156.5
-279	280.5	-277.5		-134	-165.5
-262.5	276	-292.5		-117.5	-180.5
-237	267	-310.5		-92	-198.5
-225	244.5	-337.5		-80	-225.5
-210	244.5	-343.5		-65	-231.5
-201	238.5	-345		-56	-233
-187.5	246	-343.5		-42.5	-231.5
