Mag X	Mag Y	Mag Z		
12	478.5	-100.5	47	-140.5
7.5	472.5	-94.5	42.5	-134.5
15	474	-100.5	50	-140.5
13.5	478.5	-99	48.5	-139
13.5	474	-94.5	48.5	-134.5
12	484.5	-96	47	-136
9	474	-97.5	44	-137.5
16.5	474	-91.5	51.5	-131.5
10.5	484.5	-102	45.5	-142
15	478.5	-96	50	-136
16.5	472.5	-97.5	51.5	-137.5
12	477	-93	47	-133
12	469.5	-99	47	-139
7.5	477	-99	42.5	-139
15	484.5	-96	50	-136
10.5	469.5	-100.5	45.5	-140.5
9	478.5	-96	44	-136
12	478.5	-99	47	-139
12	472.5	-94.5	47	-134.5
10.5	478.5	-96	45.5	-136
6	471	-94.5	41	-134.5
10.5	478.5	-102	45.5	-142
15	475.5	-117	50	-157
9	471	-99	44	-139
9	474	-103.5	44	-143.5
15	487.5	-94.5	50	-134.5
10.5	474	-94.5	45.5	-134.5
12	475.5	-94.5	47	-134.5
	487.5	-90		-130
-168	475.5	-73.5	-133	-113.5
-205.5	477	-30	-170.5	-70
-232.5	465	12	-197.5	-28
-231	472.5	-9	-196	-49
-238.5	477	-27	-203.5	-67
-225	475.5	-36	-190	-76
-237	474	-27	-202	-67
-234	469.5	-37.5	-199	-77.5
-231	462	-40.5	-196	-80.5
-232.5	477	-31.5	-197.5	-71.5
-226.5	469.5	-27	-191.5	-67
-234	474	-31.5	-199	-71.5
-226.5	472.5	-31.5	-191.5	-71.5
-229.5	466.5	-33	-194.5	-73
-232.5	474	-34.5	-197.5	-74.5
-232.5	468	-28.5	-197.5	-68.5
-228	469.5	-33	-193	-73
-226.5	475.5	-31.5	-191.5	-71.5
-228	469.5	-33	-193	-73
-232.5	469.5	-28.5	-197.5	-68.5
-231	477	-30	-196	-70
-232.5	462	-28.5	-197.5	-68.5
-228	466.5	-30	-193	-70
-234	468	-24	-199	-64
-232.5	465	-25.5	-197.5	-65.5
-232.5	474	-27	-197.5	-67
-226.5	459	-30	-191.5	-70
-231	475.5	-30	-196	-70
-231	477	-30	-196	-70
-231	472.5	-34.5	-196	-74.5
-229.5	469.5	-25.5	-194.5	-65.5
-234	474	-28.5	-199	-68.5
-232.5	469.5	-28.5	-197.5	-68.5
-237	466.5	-28.5	-202	-68.5
-235.5	468	-30	-200.5	-70
-234	466.5	-25.5	-199	-65.5
-241.5	484.5	49.5	-206.5	9.5
-195		133.5	-160	93.5
-150	475.5	175.5	-115	135.5
-91.5	472.5	201	-56.5	161
-75	460.5	199.5	-40	159.5
-79.5	481.5	196.5	-44.5	156.5
-76.5	480	196.5	-41.5	156.5
-81	462	222	-46	182
-78	462	229.5	-43	189.5
-72	454.5	226.5	-37	186.5
-66	465	214.5	-31	174.5
-79.5	478.5	211.5	-44.5	171.5
-81	469.5	202.5	-46	162.5
-73.5	475.5	202.5	-38.5	162.5
-72	478.5	196.5	-37	156.5
-79.5	469.5	193.5	-44.5	153.5
-70.5	486	193.5	-35.5	153.5
