
Command:
Command: IIS2MDC Calibrate





















IIS2MDC Calibrating: Rotate TDC slowly 3x times about its center axis, pausing at exactly NSEW
16------------4

Mag X: -105.00
Mag Y: 249.00
Mag Z: 103.50


Mag X: -102.00
Mag Y: 241.50
Mag Z: 103.50


Mag X: -105.00
Mag Y: 235.50
Mag Z: 106.50


Mag X: -100.50
Mag Y: 241.50
Mag Z: 105.00


Mag X: -109.50
Mag Y: 244.50
Mag Z: 100.50


Mag X: -103.50
Mag Y: 241.50
Mag Z: 102.00


Mag X: -106.50
Mag Y: 243.00
Mag Z: 105.00


Mag X: -103.50
Mag Y: 244.50
Mag Z: 105.00


Mag X: -103.50
Mag Y: 241.50
Mag Z: 99.00


Mag X: -109.50
Mag Y: 243.00
Mag Z: 102.00


Mag X: -99.00
Mag Y: 243.00
Mag Z: 100.50


Mag X: -108.00
Mag Y: 240.00
Mag Z: 108.00


Mag X: -108.00
Mag Y: 249.00
Mag Z: 100.50


Mag X: -103.50
Mag Y: 246.00
Mag Z: 100.50


Mag X: -100.50
Mag Y: 244.50
Mag Z: 103.50


Mag X: -105.00
Mag Y: 244.50
Mag Z: 99.00


Mag X: -100.50
Mag Y: 244.50
Mag Z: 100.50
Bad GPS CRC


Mag X: -103.50
Mag Y: 247.50
Mag Z: 103.50


Mag X: -102.00
Mag Y: 246.00
Mag Z: 105.00


Mag X: -105.00
Mag Y: 250.50
Mag Z: 105.00


Mag X: -102.00
Mag Y: 238.50
Mag Z: 102.00


Mag X: -100.50
Mag Y: 244.50
Mag Z: 105.00


Mag X: -103.50
Mag Y: 247.50


Mag X: -106.50
Mag Y: 243.00
Mag Z: 108.00


Mag X: -103.50
Mag Y: 249.00
Mag Z: 109.50


Mag X: -97.50
Mag Y: 240.00
Mag Z: 132.00


Mag X: -93.00
Mag Y: 244.50
Mag Z: 147.00


Mag X: -88.50
Mag Y: 253.50
Mag Z: 145.50


Mag X: -87.00
Mag Y: 250.50
Mag Z: 157.50


Mag X: -75.00
Mag Y: 246.00
Mag Z: 157.50


Mag X: -72.00
Mag Y: 256.50
Mag Z: 163.50


Mag X: -67.50
Mag Y: 246.00
Mag Z: 169.50


Mag X: -52.50
Mag Y: 244.50
Mag Z: 171.00


Mag X: -54.00


Mag X: -33.00
Mag Y: 250.50
Mag Z: 168.00


Mag X: -33.00
Mag Y: 249.00
Mag Z: 174.00


Mag X: -7.50
Mag Y: 267.00
Mag Z: 178.50


Mag X: 12.00
Mag Y: 259.50
Mag Z: 177.00


Mag X: 18.00
Mag Y: 261.00
Mag Z: 180.00


Mag X: 24.00
Mag Y: 270.00
Mag Z: 168.00


Mag X: 36.00
Mag Y: 262.50
Mag Z: 169.50


Mag X: 45.00
Mag Y: 262.50
Mag Z: 160.50


Mag X: 52.50
Mag Y: 271.50
Mag Z: 145.50


Mag X: 58.50
Mag Y: 267.00
Mag Z: 141.00


Mag X: 61.50
Mag Y: 270.00
Mag Z: 133.50


Mag X: 55.50
