Mag X	Mag Y	Mag Z
-105	249	103.5
-102	241.5	103.5
-105	235.5	106.5
-100.5	241.5	105
-109.5	244.5	100.5
-103.5	241.5	102
-106.5	243	105
-103.5	244.5	105
-103.5	241.5	99
-109.5	243	102
-99	243	100.5
-108	240	108
-108	249	100.5
-103.5	246	100.5
-100.5	244.5	103.5
-105	244.5	99
-100.5	244.5	100.5
-103.5	247.5	103.5
-102	246	105
-105	250.5	105
-102	238.5	102
-100.5	244.5	105
-103.5	247.5	
-106.5	243	108
-103.5	249	109.5
-97.5	240	132
-93	244.5	147
-88.5	253.5	145.5
-87	250.5	157.5
-75	246	157.5
-72	256.5	163.5
-67.5	246	169.5
-52.5	244.5	171
-54		
-33	250.5	168
-33	249	174
-7.5	267	178.5
12	259.5	177
18	261	180
24	270	168
36	262.5	169.5
45	262.5	160.5
52.5	271.5	145.5
58.5	267	141
61.5	270	133.5
55.5	273	127.5
64.5	262.5	117
60	261	121.5
58.5	268.5	115.5
66	258	123
58.5	262.5	120
55.5		120
67.5	259.5	121.5
58.5	271.5	117
58.5	267	114
58.5	258	111
58.5	268.5	117
63	265.5	120
60	259.5	114
61.5	265.5	120
60	265.5	120
61.5	261	117
60	264	118.5
58.5	267	117
63	256.5	117
60	268.5	115.5
55.5	267	109.5
63	258	109.5
57	264	114
60	267	123
69	261	114
60	264	120
60	265.5	117
64.5	267	112.5
64.5	270	111
60	264	109.5
67.5	264	109.5
63	268.5	109.5
63	265.5	117
64.5	259.5	117
55.5	268.5	112.5
61.5	271.5	111
66	264	108
55.5	267	109.5
58.5	264	111
61.5	259.5	112.5
63	268.5	118.5
64.5	267	109.5
66	265.5	114
54	267	117
64.5	267	120
60	250.5	115.5
54	268.5	120
61.5	262.5	117
60	261	112.5
58.5	274.5	114
63	267	103.5
66	262.5	99
55.5	273	100.5
64.5	262.5	91.5
70.5	261	85.5
73.5	273	82.5
69	265.5	67.5
70.5	270	64.5
64.5	280.5	46.5
52.5	273	31.5
58.5	285	19.5
45	288	16.5
51	280.5	4.5
42	277.5	1.5
30	285	-9
24	279	-27
15	282	-24
12	292.5	-33
13.5	274.5	-39
3	286.5	-60
4.5	277.5	-70.5
7.5	271.5	-82.5
-1.5	283.5	-73.5
4.5	282	-84
7.5	268.5	-84
3	277.5	-81
7.5	280.5	-78
6	274.5	-84
1.5	283.5	-82.5
3	286.5	-78
3	273	-88.5
4.5	280.5	-79.5
3		-78
4.5	280.5	-88.5
1.5		
1.5	283.5	-78
-6	273	-82.5
9	280.5	-69
-12	285	-51
-13.5	282	-49.5
-12	279	-66
-15	289.5	-81
-18	270	-82.5
-4.5	288	-82.5
-15	270	-85.5
-10.5	279	-81
-12	285	-79.5
-15	279	-87
-6	277.5	-84
-12	283.5	-72
-13.5	285	-85.5
-9	276	-84
-13.5	285	-70.5
-18	280.5	-82.5
-16.5	271.5	-82.5
-16.5	283.5	-79.5
-10.5	276	-84
-9	273	-82.5
-7.5	282	-78
-15	276	-87
-16.5	280.5	-84
-12	285	-81
-10.5	279	-87
-6	279	-88.5
-16.5	286.5	-82.5
-9	279	-88.5
-12	280.5	-81
-12	285	-76.5
-7.5	279	-87
-15	277.5	-73.5
-18	286.5	-79.5
-10.5	274.5	-84
-6	280.5	-75
-13.5	289.5	-61.5
-13.5	271.5	-51
-22.5	279	-36
-22.5	276	-33
-24	262.5	-28.5
-37.5	273	-13.5
-34.5	277.5	-6
-30	262.5	-6
-40.5	271.5	-1.5
-37.5	261	3
-37.5	262.5	-3
-30	261	4.5
-39	262.5	4.5
-34.5	258	6
-36	261	10.5
-31.5	262.5	6
-37.5	250.5	1.5
-31.5	256.5	10.5
-30	265.5	3
-33	244.5	-6
-28.5	259.5	-6
-39	262.5	-7.5
-37.5	256.5	-3
-34.5	265.5	-7.5
-27	255	-6
-31.5	247.5	-3
-31.5	258	-7.5
-33	250.5	-7.5
-34.5	252	-12
-34.5	262.5	-3
-36	253.5	-3
-33	256.5	-13.5
-28.5	261	-12
-37.5	259.5	-12
-34.5	253.5	-10.5
-34.5	258	-1.5
-27	255	-9
-40.5	252	-10.5
-31.5	264	-4.5
-31.5	253.5	-9
-34.5	255	-7.5
-34.5	267	-16.5
-27	252	-10.5
-34.5	259.5	-10.5
-37.5	256.5	-6
-42	250.5	-15
-58.5	246	-13.5
-63	262.5	-9
-63	255	16.5
-81	259.5	33
-84	265.5	49.5
-78	264	64.5
-81	270	79.5
-72	274.5	96
-78	270	117
-70.5	268.5	117
-69	282	114
-70.5	264	130.5
-73.5	262.5	148.5
-70.5	267	136.5
-79.5	270	144
-69	280.5	151.5
-67.5	267	160.5
-63		
-61.5	276	160.5
-61.5	276	163.5
-66	267	165
-61.5	268.5	165
-73.5		
-58.5	262.5	163.5
-64.5	270	160.5
-63	274.5	160.5
-67.5	262.5	162
-66	276	159
-64.5	267	160.5
-63	259.5	166.5
-69	276	154.5
-66	270	159
-70.5	264	165
-66	274.5	162
-64.5	276	165
-67.5	261	159
-64.5	270	159
-63	271.5	148.5
-66	267	153
-67.5	271.5	151.5
-69	276	151.5
-66	265.5	154.5
-67.5	276	154.5
-70.5	271.5	162
-69	267	174
-66	268.5	166.5
-63	270	157.5
-66	268.5	163.5
-61.5	268.5	156
-69	267	159
-58.5	261	166.5
-67.5	265.5	156
-75	270	162
-64.5	261	154.5
-63	271.5	159
-69	268.5	151.5
-69	262.5	154.5
-67.5	279	163.5
-66	268.5	153
-67.5	270	163.5
-76.5	274.5	153
-66	276	159
