Mag X,Mag Y,Mag Z
-58.50,457.50,252.00
-58.50,466.50,252.00
-57.00,468.00,252.00
-40.50,450.00,252.00
-34.50,468.00,258.00
-31.50,469.50,250.50
-30.00,468.00,250.50
-25.50,471.00,258.00
-25.50,466.50,255.00
-27.00,460.50,256.50
-25.50,463.50,250.50
-31.50,457.50,256.50
-30.00,456.00,256.50
-28.50,468.00,258.00
-25.50,463.50,249.00
-25.50,459.00,255.00
-31.50,474.00,252.00
-31.50,471.00,261.00
-24.00,457.50,252.00
-31.50,472.50,256.50
-21.00,466.50,247.50
-31.50,459.00,252.00
-30.00,468.00,255.00
-25.50,466.50,250.50
-33.00,456.00,259.50
-25.50,472.50,250.50
-25.50,468.00,253.50
-25.50,456.00,250.50
-22.50,465.00,256.50
-22.50,468.00,246.00
-28.50,460.50,250.50
-27.00,469.50,250.50
-24.00,465.00,247.50
-25.50,462.00,253.50
-28.50,463.50,
-25.50,462.00,246.00
-18.00,457.50,241.50
-21.00,472.50,247.50
-6.00,462.00,249.00
-4.50,456.00,258.00
10.50,472.50,265.50
22.50,468.00,256.50
34.50,466.50,249.00
49.50,466.50,250.50
70.50,469.50,238.50
82.50,466.50,238.50
102.00,469.50,229.50
115.50,459.00,225.00
129.00,465.00,208.50
138.00,469.50,205.50
142.50,459.00,189.00
133.50,459.00,187.50
129.00,451.50,184.50
136.50,444.00,169.50
133.50,445.50,168.00
142.50,454.50,157.50
139.50,444.00,141.00
148.50,451.50,138.00
150.00,450.00,135.00
150.00,442.50,127.50
157.50,448.50,121.50
160.50,445.50,112.50
159.00,454.50,105.00
166.50,448.50,102.00
171.00,448.50,93.00
165.00,448.50,88.50
168.00,451.50,84.00
172.50,456.00,78.00
166.50,448.50,75.00
174.00,448.50,67.50
172.50,456.00,73.50
180.00,453.00,82.50
202.50,460.50,85.50
198.00,460.50,81.00
198.00,462.00,87.00
205.50,468.00,84.00
195.00,475.50,87.00
205.50,462.00,84.00
189.00,460.50,87.00
169.50,490.50,102.00
175.50,492.00,103.50
174.00,490.50,100.50
180.00,492.00,93.00
178.50,483.00,102.00
177.00,492.00,99.00
174.00,483.00,94.50
177.00,460.50,100.50
199.50,460.50,82.50
195.00,463.50,87.00
205.50,457.50,87.00
210.00,460.50,87.00
199.50,465.00,81.00
198.00,456.00,90.00
205.50,468.00,88.50
202.50,468.00,87.00
199.50,460.50,90.00
201.00,468.00,85.50
207.00,463.50,85.50
199.50,460.50,87.00
205.50,475.50,82.50
205.50,466.50,81.00
195.00,460.50,82.50
201.00,462.00,82.50
199.50,465.00,75.00
196.50,460.50,85.50
199.50,468.00,85.50
201.00,462.00,82.50
205.50,460.50,88.50
195.00,468.00,87.00
195.00,463.50,82.50
207.00,468.00,78.00
201.00,469.50,84.00
199.50,459.00,87.00
205.50,460.50,85.50
210.00,469.50,82.50
198.00,468.00,87.00
198.00,460.50,91.50
199.50,469.50,88.50
195.00,462.00,87.00
201.00,463.50,87.00
201.00,465.00,88.50
199.50,460.50,93.00
199.50,456.00,88.50
196.50,462.00,85.50
195.00,462.00,87.00
201.00,465.00,85.50
