Mag X,Mag Y,Mag Z
-112.50,654.00,-18.00
-105.00,661.50,-22.50
-112.50,654.00,-21.00
-109.50,654.00,-18.00
-102.00,664.50,-28.50
-79.50,649.50,-45.00
-75.00,652.50,-30.00
-66.00,654.00,-25.50
-66.00,651.00,-30.00
-73.50,652.50,-31.50
-72.00,651.00,-46.50
-81.00,649.50,-52.50
-90.00,654.00,-46.50
-85.50,645.00,-49.50
-87.00,645.00,-49.50
-84.00,651.00,-51.00
-106.50,648.00,-55.50
-138.00,639.00,-48.00
-166.50,642.00,-42.00
-169.50,636.00,-40.50
-165.00,642.00,-24.00
-148.50,645.00,-3.00
-121.50,639.00,30.00
-103.50,642.00,45.00
-88.50,636.00,49.50
-66.00,633.00,43.50
-51.00,637.50,49.50
-42.00,637.50,31.50
-36.00,628.50,-3.00
-42.00,637.50,-42.00
-46.50,631.50,-79.50
-69.00,622.50,-103.50
-73.50,622.50,-100.50
-84.00,619.50,-105.00
-85.50,627.00,-111.00
-85.50,619.50,-108.00
-88.50,625.50,-109.50
-81.00,627.00,-108.00
-69.00,622.50,-97.50
-78.00,615.00,-97.50
-76.50,619.50,-105.00
-79.50,630.00,-99.00
-79.50,630.00,-105.00
-64.50,628.50,-102.00
-79.50,624.00,-103.50
-75.00,630.00,-102.00
-72.00,630.00,-108.00
-75.00,627.00,-102.00
-78.00,622.50,-109.50
-72.00,633.00,-108.00
-63.00,624.00,-132.00
-60.00,628.50,-160.50
-60.00,633.00,-157.50
-90.00,633.00,-187.50
-117.00,637.50,-249.00
-193.50,637.50,-316.50
-267.00,643.50,-441.00
-325.50,657.00,-550.50
-382.50,648.00,-546.00
-418.50,646.50,-523.50
-448.50,643.50,-510.00
-450.00,646.50,-508.50
-456.00,651.00,-516.00
-450.00,655.50,-511.50
-451.50,652.50,-510.00
-453.00,642.00,-511.50
-451.50,648.00,-507.00
-456.00,649.50,-517.50
-459.00,649.50,-517.50
-453.00,658.50,-517.50
-456.00,649.50,-516.00
-448.50,648.00,-517.50
-454.50,651.00,-514.50
-454.50,655.50,-510.00
-453.00,651.00,-519.00
-436.50,655.50,-541.50
-408.00,660.00,-534.00
-408.00,655.50,-496.50
-391.50,658.50,-507.00
-424.50,654.00,-460.50
-444.00,658.50,-396.00
-457.50,654.00,-387.00
-456.00,670.50,-447.00
-483.00,670.50,-417.00
-511.50,667.50,-370.50
-525.00,664.50,-351.00
-526.50,658.50,-340.50
-523.50,657.00,-348.00
-523.50,663.00,-340.50
-520.50,652.50,-345.00
-525.00,655.50,-348.00
-528.00,661.50,-342.00
-517.50,663.00,-345.00
-525.00,658.50,-339.00
-520.50,663.00,-345.00
-525.00,660.00,-348.00
-526.50,661.50,-340.50
-528.00,660.00,-348.00
-513.00,663.00,-343.50
-516.00,661.50,-342.00
-525.00,666.00,-346.50
-522.00,660.00,-340.50
-504.00,655.50,-307.50
-468.00,663.00,-259.50
-436.50,651.00,-234.00
-412.50,655.50,-153.00
-388.50,652.50,-58.50
-355.50,639.00,12.00
-294.00,652.50,6.00
-271.50,651.00,19.50
-252.00,640.50,52.50
-226.50,636.00,82.50
-223.50,642.00,73.50
-220.50,625.50,78.00
-222.00,633.00,78.00
-219.00,631.50,40.50
-195.00,639.00,33.00
-199.50,642.00,36.00
-202.50,637.50,39.00
-198.00,633.00,40.50
-195.00,637.50,45.00
-190.50,636.00,40.50
-187.50,652.50,48.00
-183.00,648.00,49.50
-186.00,642.00,51.00
-180.00,636.00,28.50
-123.00,645.00,-13.50
