
Command: IIS2MDC Calibrate






















IIS2MDC Calibrating: Rotate TDC slowly 3x times about its center axis, pausing at exactly NSEW
16------------4

Mag X: -220.50
Mag Y: 658.50
Mag Z: -24.00


Mag X: -216.00
Mag Z: -19.50


Mag X: -219.00
Mag Z: -25.50


Mag X: -217.50
Mag Z: -19.50


Mag X: -216.00
Mag Z: -18.00


Mag X: -235.50
Mag Z: -30.00


Mag X: -240.00
Mag Z: -22.50


Mag X: -243.00
Mag Z: -27.00


Mag X: -237.00
Mag Z: -31.50


Mag X: -238.50
Mag Z: -19.50


Mag X: -238.50
Mag Z: -33.00


Mag X: -228.00
Mag Z: -18.00


Mag X: -235.50
Mag Z: -25.50


Mag X: -231.00
Mag Z: -21.00


Mag X: -228.00
Mag Z: -22.50


Mag X: -237.00
Mag Z: -25.50


Mag X: -229.50
Mag Z: -24.00


Mag X: -240.00
Mag Z: -24.00


Mag X: -234.00
Mag Z: -19.50


Mag X: -235.50
Mag Y: 658.50
Mag Z: -24.00


Mag X: -231.00
Mag Z: -25.50


Mag X: -232.50
Mag Z: -24.00


Mag X: -232.50
Mag Z: -22.50


Mag X: -229.50
Mag Z: -19.50


Mag X: -234.00
Mag Z: -21.00


Mag X: -226.50
Mag Y: 655.50
Mag Z: -18.00


Mag X: -225.00
Mag Y: 657.00
Mag Z: -22.50


Mag X: -226.50
Mag Z: -19.50


Mag X: -228.00
Mag Z: -18.00


Mag X: -232.50
Mag Z: -22.50


Mag X: -226.50
Mag Z: -19.50


Mag X: -220.50
Mag Z: -25.50


Mag X: -225.00
Mag Z: -28.50


Mag X: -225.00
Mag Z: -34.50


Mag X: -225.00
Mag Z: -28.50


Mag X: -225.00
Mag Z: -24.00


Mag X: -228.00
Mag Z: -25.50


Mag X: -222.00
Mag Y: 654.00
Mag Z: -24.00


Mag X: -223.50
Mag Z: -25.50


Mag X: -226.50
Mag Z: -24.00


Mag X: -223.50
Mag Z: -21.00


Mag X: -216.00
Mag Z: -19.50


Mag X: -225.00
Mag Z: -33.00


Mag X: -222.00
Mag Z: -19.50


Mag X: -225.00
Mag Z: -27.00


Mag X: -210.00
Mag Z: -27.00


Mag X: -211.50
Mag Z: -21.00


Mag X: -213.00
Mag Z: -24.00


Mag X: -214.50
Mag Z: -28.50


Mag X: -220.50
Mag Z: -25.50


Mag X: -222.00
Mag Z: -30.00


Mag X: -219.00
Mag Y: 649.50
Mag Z: -39.00


Mag X: -220.50
Mag Z: -25.50


Mag X: -220.50
Mag Y: 654.00
Mag Z: -27.00


Mag X: -210.00


Mag X: -180.00
Mag Z: 12.00


Mag X: -109.50
Mag Z: 22.50


Mag X: -34.50
Mag Y: 648.00
Mag Z: 28.50


Mag X: -18.00
Mag Z: -81.00


Mag X: -64.50
Mag Z: -124.50


Mag X: -78.00
Mag Y: 648.00
Mag Z: -174.00


Mag X: -85.50
Mag Z: -172.50


