Mag X	Mag Y	Mag Z		
-196.5	639	-6	81.5	327
-204	634.5	-15	74	318
-204	628.5	-7.5	74	325.5
-202.5	628.5	-6	75.5	327
-201	634.5	-9	77	324
-219	639	-7.5	59	325.5
-210	639	-9	68	324
-211.5	636	-13.5	66.5	319.5
-207	625.5	6	71	339
-204	616.5	-6	74	327
-202.5	619.5	6	75.5	339
-196.5	616.5	-6	81.5	327
-229.5	625.5	-36	48.5	297
-225	636	-48	53	285
-231	646.5	-31.5	47	301.5
-234	637.5	-40.5	44	292.5
-223.5	636	-34.5	54.5	298.5
-225	643.5	-43.5	53	289.5
-225	637.5	-39	53	294
-228	652.5	-31.5	50	301.5
-226.5	648	-33	51.5	300
-223.5	637.5	-39	54.5	294
-220.5	646.5	-33	57.5	300
-229.5	643.5	-33	48.5	300
-225	639	-42	53	291
-225	642	-33	53	300
-223.5	640.5	-36	54.5	297
-223.5	634.5	-21	54.5	312
-211.5	645	3	66.5	336
-210	642	-9	68	324
-208.5	640.5	-7.5	69.5	325.5
-220.5	636	-10.5	57.5	322.5
-213	640.5	-12	65	321
-217.5	645	-10.5	60.5	322.5
-217.5	643.5	-24	60.5	309
-232.5	637.5	-34.5	45.5	298.5
-235.5	639	-43.5	42.5	289.5
-237	642	-51	41	282
-240	636	-48	38	285
-235.5	643.5	-15	42.5	318
-223.5	645	-7.5	54.5	325.5
-226.5	640.5	-24	51.5	309
-211.5	651	-3	66.5	330
-202.5	643.5	-6	75.5	327
-201	643.5	-1.5	77	331.5
-208.5	640.5	-4.5	69.5	328.5
-208.5	642	-4.5	69.5	328.5
-205.5	645	-6	72.5	327
-214.5	640.5	-4.5	63.5	328.5
-207	643.5	-6	71	327
-207	646.5	1.5	71	334.5
-213	649.5	3	65	336
-213	639	-18	65	315
-198	640.5	-15	80	318
-180	640.5	-27	98	306
-109.5	643.5	-6	168.5	327
-66	645	-10.5	212	322.5
-70.5	651	-28.5	207.5	304.5
-43.5	651	-40.5	234.5	292.5
-69	651	-102	209	231
-91.5			186.5	333
-114	652.5	-151.5	164	181.5
-109.5	651	-150	168.5	183
-109.5	643.5	-150	168.5	183
-103.5	654	-150	174.5	183
-124.5	655.5	-172.5	153.5	160.5
-133.5	636	-175.5	144.5	157.5
-132	649.5	-174	146	159
