Mag X	Mag Y	Mag Z			
-135	586.5	-63		142	246
-133.5	573	-67.5		143.5	241.5
-136.5	583.5	-63		140.5	246
-135	577.5	-67.5		142	241.5
-129	577.5	-66		148	243
-136.5	588	-61.5		140.5	247.5
-126	579	-63		151	246
-127.5	583.5	-61.5		149.5	247.5
-138	576	-67.5		139	241.5
-133.5	570	-64.5		143.5	244.5
-168	582	-48		109	261
-160.5	583.5	-40.5		116.5	268.5
-150	598.5	-25.5		127	283.5
-157.5	591	-25.5		119.5	283.5
-163.5	591	-34.5		113.5	274.5
-163.5	592.5	-31.5		113.5	277.5
-160.5	580.5	-36		116.5	273
-169.5	585	-30		107.5	279
-165	603	-4.5		112	304.5
-162	603	-1.5		115	307.5
-168	610.5	1.5		109	310.5
-168	609	-7.5		109	301.5
-168	604.5	1.5		109	310.5
-169.5	609	4.5		107.5	313.5
-153	604.5	6		124	315
-147	622.5	25.5		130	334.5
-139.5	621	22.5		137.5	331.5
-127.5	613.5	40.5		149.5	349.5
-117	618	36		160	345
-105	621	43.5		172	352.5
-82.5	615	25.5		194.5	334.5
-76.5	615	13.5		200.5	322.5
-75	613.5	24		202	333
-60	624	31.5		217	340.5
-60	615	22.5		217	331.5
-45	616.5	25.5		232	334.5
-57	613.5	30		220	339
-43.5	609	15		233.5	324
-43.5	622.5	9		233.5	318
-27		25.5		250	334.5
-15	618	13.5		262	322.5
-25.5	627	-1.5		251.5	307.5
-34.5	612	-24		242.5	285
-36	610.5	-48		241	261
-40.5	628.5	-63		236.5	246
-46.5	615	-96		230.5	213
-48	618	-100.5		229	208.5
-55.5	622.5	-115.5		221.5	193.5
-58.5	618	-112.5		218.5	196.5
-69	625.5	-133.5		208	175.5
-87	618	-142.5		190	166.5
-72	618	-139.5		205	169.5
-49.5	622.5	-136.5		227.5	172.5
-66	618	-157.5		211	151.5
-55.5	619.5	-159		221.5	150
-70.5	619.5	-162		206.5	147
-73.5	615	-166.5		203.5	142.5
-70.5	619.5	-156		206.5	153
-79.5	613.5	-157.5		197.5	151.5
-70.5	627	-157.5		206.5	151.5
-78	612	-162		199	147
-88.5	618	-156		188.5	153
-93	621	-162		184	147
-93	610.5	-160.5		184	148.5
-88.5	612	-160.5		188.5	148.5
-91.5	622.5	-160.5		185.5	148.5
-94.5	606	-160.5		182.5	148.5
-88.5	615	-162		188.5	147
-85.5	616.5	-157.5		191.5	151.5
-96	615	-159		181	150
-90	616.5	-160.5		187	148.5
-93	613.5	-162		184	147
-102	621	-157.5		175	151.5
-93	610.5	-160.5		184	148.5
-93	616.5	-163.5		184	145.5
-87	619.5	-159		190	150
-93	613.5	-157.5		184	151.5
-85.5	616.5	-159		191.5	150
-94.5	616.5	-162		182.5	147
-90	613.5	-157.5		187	151.5
-87	621	-162		190	147
-93	615	-162		184	147
-85.5	612	-157.5		191.5	151.5
-87	618	-154.5		190	154.5
-96	610.5	-160.5		181	148.5
-88.5	616.5	-160.5		188.5	148.5
-88.5	615	-157.5		188.5	151.5
-94.5	619.5	-159		182.5	150
-87	619.5	-156		190	153
-99		-160.5		178	148.5
-90	619.5	-160.5		187	148.5
-91.5	618	-160.5		185.5	148.5
-99	610.5	-160.5		178	148.5
-90	619.5	-156		187	153
-91.5	618	-154.5		185.5	154.5
-90	621	-159		187	150
-90	625.5	-156		187	153
-99	613.5	-159		178	150
-97.5	618	-157.5		179.5	151.5
-93	615	-163.5		184	145.5
-96	615	-162		181	147
-91.5	621	-162		185.5	147
-78	624	-153		199	156
-76.5	621	-160.5		200.5	148.5
-81		-168		196	141
-91.5	627	-181.5		185.5	127.5
-91.5	619.5	-183		185.5	126
-94.5	627	-235.5		182.5	73.5
-103.5	631.5	-246		173.5	63
-96	634.5	-252		181	57
-108	636	-258		169	51
-103.5	630	-259.5		173.5	49.5
-109.5	642	-277.5		167.5	31.5
-117	630	-294		160	15
-127.5	639	-324		149.5	-15
-138	636	-342		139	-33
-147	643.5	-355.5		130	-46.5
-145.5	640.5	-345		131.5	-36
-154.5	642	-357		122.5	-48
-159	639	-355.5		118	-46.5
-168	640.5	-360		109	-51
-172.5	637.5	-357		104.5	-48
-172.5	639	-360		104.5	-51
-174	639	-361.5		103	-52.5
-180	643.5	-357		97	-48
-180	643.5	-361.5		97	-52.5
-192	639	-357		85	-48
-189	639	-355.5		88	-46.5
-204	649.5	-363		73	-54
-207	646.5	-372		70	-63
-213	643.5	-361.5		64	-52.5
-220.5	645	-364.5		56.5	-55.5
-229.5	642	-366		47.5	-57
-226.5	652.5	-373.5		50.5	-64.5
-237	645	-381		40	-72
-258	649.5	-400.5		19	-91.5
-262.5	648	-402		14.5	-93
-273	640.5	-402		4	-93
-280.5	640.5	-406.5		-3.5	-97.5
-303	643.5	-417		-26	-108
-310.5	639	-418.5		-33.5	-109.5
-325.5	643.5	-412.5		-48.5	-103.5
-325.5	640.5	-418.5		-48.5	-109.5
-355.5	643.5	-427.5		-78.5	-118.5
-379.5	640.5	-427.5		-102.5	-118.5
-376.5	640.5	-430.5		-99.5	-121.5
-403.5	643.5	-433.5		-126.5	-124.5
-421.5	639	-450		-144.5	-141
-451.5				-174.5	309
-459	624	-520.5		-182	-211.5
-459	621	-525		-182	-216
-474	633	-525		-197	-216
-471	627	-525		-194	-216
