
Command:
Command: IIS2MDC Calibrate





















IIS2MDC Calibrating: Rotate TDC slowly 3x times about its center axis, pausing at exactly NSEW
16------------4

Mag X: -153.00
Mag Y: 643.50
Mag Z: 135.00


Mag X: -142.50
Mag Y: 646.50
Mag Z: 133.50


Mag X: -145.50
Mag Y: 645.00
Mag Z: 129.00


Mag X: -139.50
Mag Y: 645.00
Mag Z: 127.50


Mag X: -136.50
Mag Y: 657.00


Mag X: -130.50
Mag Y: 646.50
Mag Z: 127.50


Mag X: -127.50
Mag Y: 651.00
Mag Z: 129.00


Mag X: -127.50
Mag Y: 651.00
Mag Z: 130.50


Mag X: -135.00
Mag Y: 648.00
Mag Z: 136.50


Mag X: -156.00
Mag Y: 645.00
Mag Z: 132.00


Mag X: -139.50
Mag Y: 649.50
Mag Z: 133.50


Mag X: -139.50
Mag Y: 646.50
Mag Z: 126.00


Mag X: -181.50
Mag Y: 643.50
Mag Z: 120.00


Mag X: -214.50
Mag Y: 637.50
Mag Z: 100.50


Mag X: -199.50
Mag Y: 639.00
Mag Z: 102.00


Mag X: -202.50
Mag Y: 651.00
Mag Z: 100.50


Mag X: -211.50
Mag Y: 636.00
Mag Z: 79.50


Mag X: -205.50
Mag Y: 640.50
Mag Z: 88.50


Mag X: -205.50
Mag Y: 640.50
Mag Z: 72.00


Mag X: -192.00
Mag Y: 642.00
Mag Z: 58.50


Mag X: -189.00
Mag Y: 643.50
Mag Z: 63.00


Mag X: -190.50
Mag Y: 648.00
Mag Z: 64.50


Mag X: -187.50
Mag Y: 640.50
Mag Z: 58.50


Mag X: -186.00
Mag Y: 643.50
Mag Z: 58.50


Mag X: -193.50
Mag Y: 651.00
Mag Z: 54.00


Mag X: -184.50
Mag Y: 642.00
Mag Z: 60.00


Mag X: -196.50
Mag Y: 646.50
Mag Z: 55.50


Mag X: -183.00
Mag Z: 51.00


Mag X: -177.00
Mag Y: 640.50
Mag Z: 54.00


Mag X: -175.50
Mag Y: 652.50
Mag Z: 55.50


Mag X: -180.00
Mag Y: 640.50
Mag Z: 55.50


Mag X: -162.00
Mag Y: 637.50
Mag Z: 55.50


Mag X: -139.50
Mag Y: 645.00
Mag Z: 49.50


Mag X: -130.50
Mag Y: 639.00
Mag Z: 48.00


Mag X: -123.00
Mag Y: 637.50
Mag Z: 58.50


Mag X: -127.50
Mag Y: 639.00
Mag Z: 52.50


Mag X: -121.50
Mag Y: 636.00
Mag Z: 61.50


Mag X: -121.50
Mag Y: 642.00
Mag Z: 58.50


Mag X: -112.50
Mag Y: 639.00
Mag Z: 58.50


Mag X: -99.00
Mag Y: 631.50
Mag Z: 61.50


Mag X: -84.00
Mag Y: 636.00
Mag Z: 64.50


Mag X: -78.00
Mag Y: 631.50
Mag Z: 60.00


Mag X: -79.50


Mag X: -75.00
Mag Y: 636.00
Mag Z: 70.50


Mag X: -73.50
Mag Y: 628.50
Mag Z: 63.00


Mag X: -73.50
Mag Y: 627.00
Mag Z: 63.00
