Mag X,Mag Y,Mag Z
-153,643.5,135
-142.5,646.5,133.5
-145.5,645,129
-139.5,645,127.5
-136.5,657,
-130.5,646.5,127.5
-127.5,651,129
-127.5,651,130.5
-135,648,136.5
-156,645,132
-139.5,649.5,133.5
-139.5,646.5,126
-181.5,643.5,120
-214.5,637.5,100.5
-199.5,639,102
-202.5,651,100.5
-211.5,636,79.5
-205.5,640.5,88.5
-205.5,640.5,72
-192,642,58.5
-189,643.5,63
-190.5,648,64.5
-187.5,640.5,58.5
-186,643.5,58.5
-193.5,651,54
-184.5,642,60
-196.5,646.5,55.5
-183,,51
-177,640.5,54
-175.5,652.5,55.5
-180,640.5,55.5
-162,637.5,55.5
-139.5,645,49.5
-130.5,639,48
-123,637.5,58.5
-127.5,639,52.5
-121.5,636,61.5
-121.5,642,58.5
-112.5,639,58.5
-99,631.5,61.5
-84,636,64.5
-78,631.5,60
-79.5,,
-75,636,70.5
-73.5,628.5,63
-73.5,627,63
-61.5,628.5,75
-70.5,627,70.5
-60,631.5,73.5
-55.5,633,72
-52.5,624,70.5
-45,637.5,82.5
-37.5,639,72
-15,627,81
3,633,78
1.5,627,72
3,622.5,64.5
-1.5,627,52.5
-15,621,52.5
4.5,627,51
7.5,622.5,51
3,622.5,36
10.5,627,40.5
6,628.5,34.5
-3,622.5,25.5
3,619.5,18
4.5,624,16.5
-4.5,621,10.5
-3,630,18
-1.5,621,10.5
-1.5,621,-6
-6,624,-3
-10.5,621,-7.5
-12,627,-16.5
-15,621,-19.5
-10.5,613.5,-19.5
-15,616.5,-30
-18,627,-31.5
-25.5,622.5,-39
-21,625.5,-46.5
-27,619.5,-52.5
-34.5,616.5,-61.5
-34.5,625.5,-64.5
-43.5,616.5,-70.5
-46.5,624,-67.5
-40.5,624,-70.5
-45,613.5,-70.5
-43.5,616.5,-70.5
-39,625.5,-76.5
-51,621,-76.5
-39,627,-75
-37.5,,-69
-40.5,615,-70.5
-39,619.5,-75
-40.5,615,-82.5
-40.5,619.5,-72
-43.5,622.5,-76.5
-27,618,-76.5
-27,619.5,-73.5
-27,613.5,-76.5
-36,613.5,-78
-22.5,618,-72
-31.5,616.5,-73.5
-22.5,619.5,-72
-24,621,-75
-18,624,-85.5
-22.5,619.5,-78
-24,627,-72
-28.5,618,-84
-21,618,-75
-22.5,624,-79.5
-25.5,615,-76.5
-25.5,618,-76.5
-22.5,616.5,-78
-28.5,612,-82.5
-30,621,-82.5
-30,621,-82.5
-25.5,618,-85.5
-22.5,618,-79.5
-28.5,619.5,-78
-25.5,616.5,-81
-22.5,627,-84
-31.5,616.5,-85.5
-27,625.5,-82.5
-22.5,625.5,-78
-33,615,-91.5
-24,619.5,-78
-27,624,-82.5
-28.5,618,-81
-22.5,616.5,-78
-25.5,621,-78
-31.5,618,-88.5
-25.5,613.5,-81
-31.5,616.5,-78
-28.5,616.5,-78
-24,619.5,-78
-33,625.5,-82.5
-28.5,615,-85.5
-24,625.5,-84
-27,619.5,-78
-19.5,615,-73.5
-22.5,630,-76.5
-28.5,625.5,-84
-28.5,615,-82.5
-19.5,619.5,-88.5
-24,627,-91.5
-31.5,625.5,-94.5
-30,631.5,-99
-25.5,624,-109.5
-30,633,-111
-27,630,-118.5
-34.5,627,-135
-42,636,-142.5
-46.5,633,-159
-51,627,-165
-55.5,639,-172.5
-70.5,634.5,-186
-72,628.5,-190.5
-66,640.5,-204
-82.5,637.5,-214.5
