Bad GPS CRC

Command:
Command: IIS2MDC Calibrate




















IIS2MDC Calibrating: Rotate TDC slowly 3x times about its center axis, pausing at exactly NSEW


Mag X: 15.00
Mag Y: 765.00
Mag Z: 543.00


Mag X: 13.50
Mag Y: 768.00
Mag Z: 535.50


Mag X: 12.00
Mag Y: 763.50
Mag Z: 547.50


Mag X: 19.50
Mag Y: 765.00
Mag Z: 541.50


Mag X: 18.00
Mag Y: 766.50
Mag Z: 534.00


Mag X: 15.00
Mag Y: 762.00
Mag Z: 543.00


Mag X: 18.00
Mag Y: 768.00
Mag Z: 537.00


Mag X: 18.00
Mag Y: 765.00
Mag Z: 544.50


Mag X: 18.00
Mag Y: 766.50
Mag Z: 540.00


Mag X: 15.00
Mag Y: 766.50
Mag Z: 540.00


Mag X: 16.50
Mag Y: 760.50
Mag Z: 541.50


Mag X: 15.00
Mag Y: 768.00
Mag Z: 543.00


Mag X: 16.50
Mag Y: 762.00
Mag Z: 537.00


Mag X: 10.50
Mag Y: 766.50
Mag Z: 543.00


Mag X: 13.50


Mag X: 13.50
Mag Y: 763.50
Mag Z: 538.50


Mag X: 15.00
Mag Y: 762.00
Mag Z: 547.50


Mag X: 10.50
Mag Z: 540.00


Mag X: 15.00
Mag Y: 760.50
Mag Z: 543.00


Mag X: 12.00
Mag Y: 768.00
Mag Z: 537.00


Mag X: 19.50
Mag Z: 535.50


Mag X: 18.00
Mag Y: 771.00
Mag Z: 541.50


Mag X: 13.50
Mag Y: 768.00
Mag Z: 538.50


Mag X: 4.50
Mag Y: 769.50
Mag Z: 540.00


Mag X: 7.50
Mag Y: 765.00
Mag Z: 534.00


Mag X: -4.50
Mag Y: 760.50
Mag Z: 532.50


Mag X: -1.50
Mag Y: 766.50
Mag Z: 531.00


Mag X: -3.00
Mag Y: 768.00
Mag Z: 528.00


Mag X: -13.50
Mag Y: 771.00
Mag Z: 526.50


Mag X: -21.00
Mag Y: 768.00
Mag Z: 535.50


Mag X: -24.00
Mag Y: 766.50


Mag X: -36.00
Mag Y: 771.00
Mag Z: 538.50


Mag X: -40.50
Mag Y: 772.50
Mag Z: 526.50


Mag X: -45.00


Mag X: -52.50
Mag Y: 772.50
Mag Z: 546.00


Mag X: -58.50
Mag Z: 541.50


Mag X: -57.00
Mag Y: 775.50
Mag Z: 547.50


Mag X: -67.50
Mag Y: 777.00
Mag Z: 550.50


Mag X: -73.50
Mag Y: 771.00
Mag Z: 555.00


Mag X: -70.50
Mag Y: 769.50
Mag Z: 565.50


Mag X: -75.00
Mag Z: 573.00


Mag X: -82.50
Mag Y: 774.00
Mag Z: 576.00


Mag X: -82.50
Mag Y: 769.50
Mag Z: 582.00


Mag X: -85.50
Mag Y: 772.50
Mag Z: 591.00


Mag X: -93.00
Mag Y: 769.50
Mag Z: 601.50


Mag X: -93.00
Mag Y: 777.00
Mag Z: 621.00


Mag X: -97.50
Mag Y: 775.50
Mag Z: 630.00


Mag X: -94.50
Mag Y: 771.00
Mag Z: 648.00


Mag X: -103.50
Mag Y: 780.00
Mag Z: 657.00


Mag X: -97.50
Mag Y: 775.50
Mag Z: 681.00


Mag X: -103.50
Mag Y: 786.00
Mag Z: 691.50


Mag X: -102.00
Mag Y: 777.00
Mag Z: 706.50


Mag X: -94.50
Mag Y: 774.00
Mag Z: 721.50


Mag X: -100.50
Mag Y: 772.50
Mag Z: 732.00


Mag X: -100.50
Mag Y: 775.50
Mag Z: 745.50


Mag X: -97.50
Mag Y: 784.50
Mag Z: 756.00


Mag X: -99.00
Mag Y: 775.50
Mag Z: 771.00


Mag X: -93.00
Mag Y: 780.00
Mag Z: 775.50


Mag X: -97.50
Mag Y: 774.00
Mag Z: 792.00


Mag X: -91.50
Mag Z: 798.00


Mag X: -94.50
Mag Z: 811.50


Mag X: -90.00
Mag Y: 778.50
Mag Z: 819.00


Mag X: -91.50
Mag Y: 778.50
Mag Z: 817.50


Mag X: -90.00
Mag Y: 780.00
Mag Z: 823.50


Mag X: -93.00
Mag Y: 775.50
Mag Z: 829.50


Mag X: -93.00
Mag Y: 778.50
Mag Z: 828.00


Mag X: -87.00
Mag Y: 777.00
Mag Z: 829.50


Mag X: -96.00
Mag Y: 784.50
Mag Z: 823.50


Mag X: -90.00
Mag Y: 772.50
Mag Z: 829.50


Mag X: -88.50
Mag Y: 780.00
Mag Z: 831.00


Mag X: -88.50
Mag Y: 783.00
Mag Z: 829.50


Mag X: -90.00
Mag Y: 780.00
Mag Z: 829.50


Mag X: -93.00
Mag Y: 777.00
Mag Z: 834.00


Mag X: -93.00
Mag Y: 774.00
Mag Z: 826.50


Mag X: -91.50
Mag Y: 775.50
Mag Z: 834.00


Mag X: -94.50
Mag Y: 774.00
Mag Z: 826.50


Mag X: -93.00
Mag Y: 775.50
Mag Z: 825.00


Mag X: -91.50
Mag Y: 777.00
Mag Z: 825.00


Mag X: -91.50
Mag Y: 774.00
