Mag X	Mag Y	Mag Z
15	765	543
13.5	768	535.5
12	763.5	547.5
19.5	765	541.5
18	766.5	534
15	762	543
18	768	537
18	765	544.5
18	766.5	540
15	766.5	540
16.5	760.5	541.5
15	768	543
16.5	762	537
10.5	766.5	543
13.5		
13.5	763.5	538.5
15	762	547.5
10.5		540
15	760.5	543
12	768	537
19.5		535.5
18	771	541.5
13.5	768	538.5
4.5	769.5	540
7.5	765	534
-4.5	760.5	532.5
-1.5	766.5	531
-3	768	528
-13.5	771	526.5
-21	768	535.5
-24	766.5	
-36	771	538.5
-40.5	772.5	526.5
-45		
-52.5	772.5	546
-58.5		541.5
-57	775.5	547.5
-67.5	777	550.5
-73.5	771	555
-70.5	769.5	565.5
-75		573
-82.5	774	576
-82.5	769.5	582
-85.5	772.5	591
-93	769.5	601.5
-93	777	621
-97.5	775.5	630
-94.5	771	648
-103.5	780	657
-97.5	775.5	681
-103.5	786	691.5
-102	777	706.5
-94.5	774	721.5
-100.5	772.5	732
-100.5	775.5	745.5
-97.5	784.5	756
-99	775.5	771
-93	780	775.5
-97.5	774	792
-91.5		798
-94.5		811.5
-90	778.5	819
-91.5	778.5	817.5
-90	780	823.5
-93	775.5	829.5
-93	778.5	828
-87	777	829.5
-96	784.5	823.5
-90	772.5	829.5
-88.5	780	831
-88.5	783	829.5
-90	780	829.5
-93	777	834
-93	774	826.5
-91.5	775.5	834
-94.5	774	826.5
-93	775.5	825
-91.5	777	825
-91.5	774	826.5
-81	777	834
-93	784.5	831
-87		832.5
-93	778.5	828
-88.5	775.5	825
-84	774	829.5
-85.5	780	859.5
-82.5		880.5
-67.5	775.5	904.5
-66	774	930
-61.5	780	951
-52.5	787.5	969
-46.5	777	972
-34.5	775.5	1002
-24	771	1035
-15	777	1068
-12		1068
-10.5	780	1095
4.5	777	1101
18		1120.5
22.5	772.5	1132.5
27	771	1144.5
37.5	774	1164
54		1177.5
61.5	774	1186.5
76.5	772.5	1203
79.5	769.5	1213.5
111	760.5	1221
118.5		1231.5
127.5	771	1237.5
133.5	766.5	1239
144	756	1239
150	763.5	1243.5
147	766.5	1236
157.5	765	1242
163.5	769.5	1240.5
162	760.5	1236
166.5	760.5	1233
165	765	1237.5
159	768	1240.5
163.5	757.5	1233
168	763.5	1239
160.5	766.5	1239
157.5	762	1242
151.5	763.5	1258.5
138	754.5	1252.5
135	760.5	1248
124.5		1236
130.5	768	1233
132	762	1237.5
133.5	769.5	1236
129	760.5	1234.5
133.5	766.5	1230
132		1233
136.5	771	1234.5
126	769.5	1234.5
130.5	766.5	1231.5
135	765	1236
132	769.5	1233
133.5	765	1240.5
133.5	763.5	1231.5
136.5	769.5	1234.5
126	768	1245
136.5	771	1230
135	762	1237.5
133.5	765	1239
135	765	1236
130.5	759	1239
133.5	766.5	1239
133.5	768	1237.5
138	762	1231.5
133.5	762	1242
141		1239
133.5	765	1240.5
136.5	765	1236
130.5	766.5	1240.5
135	768	1240.5
130.5	760.5	1237.5
133.5	771	1242
130.5	768	1242
126	765	1240.5
135	759	1234.5
126	760.5	1237.5
130.5	765	1234.5
132	771	1239
141	768	1239
127.5	769.5	1237.5
124.5	769.5	1237.5
130.5	763.5	1233
136.5	765	1239
144	768	1237.5
141	766.5	1237.5
132	765	1234.5
136.5	769.5	1236
126	772.5	1242
135	768	1231.5
135	768	1237.5
126	768	1234.5
127.5	769.5	1237.5
136.5	768	1243.5
132	765	1240.5
124.5	766.5	1233
132	768	1237.5
135	757.5	1236
138	769.5	1233
129	769.5	1236
133.5	765	1242
132	765	1233
129	759	1228.5
133.5	760.5	1237.5
127.5	756	1230
126	762	1230
127.5	766.5	1236
132	768	1236
126		1236
124.5	765	1231.5
127.5	762	1240.5
130.5		1236
129	765	1240.5
135	765	1243.5
133.5	768	1240.5
136.5	763.5	1240.5
133.5	766.5	1236
133.5	774	1239
141	766.5	1245
141	763.5	1248
135		
136.5		1245
132	762	1237.5
132		
132	769.5	1249.5
145.5	763.5	1248
138	763.5	1260
136.5		1258.5
139.5	766.5	1254
136.5	754.5	1242
136.5	769.5	1251
142.5	765	1240.5
138	759	1248
139.5	766.5	1248
136.5	766.5	1245
135	765	1243.5
141	763.5	1243.5
135	766.5	1240.5
133.5	765	1246.5
132	769.5	1239
129	763.5	1242
138	766.5	1245
139.5	762	1248
138	763.5	1245
141	760.5	1243.5
135	763.5	1245
132	765	1242
139.5	769.5	1236
135		1242
133.5	765	1242
139.5	759	1237.5
135	771	1239
138	769.5	1242
138	771	1243.5
136.5	760.5	1233
133.5	765	1242
141		1240.5
136.5	762	1246.5
138	769.5	1242
139.5		1240.5
139.5	760.5	1243.5
130.5	762	1234.5
136.5		1239
138	765	1236
133.5	766.5	1236
138	763.5	1236
133.5	766.5	1245
133.5	763.5	1234.5
142.5	769.5	1242
135	766.5	1233
135	762	1233
135	768	1234.5
138	771	1236
135	772.5	1236
126	766.5	1231.5
132	768	1242
129		1237.5
136.5	765	1239
135	768	1231.5
132	762	1239
138	768	1240.5
132		1240.5
130.5	763.5	1239
129	766.5	1245
138	762	1242
132	771	1240.5
135	762	1245
130.5	763.5	1242
138	760.5	1246.5
135		1252.5
135	759	1248
147	763.5	1251
144	757.5	1249.5
138	760.5	1252.5
141	763.5	1242
135	765	1248
141	760.5	1245
