
LOGGING ERROR: The following message could not be logged
SoC: 71.96%%   VBat: 8.047V   Avg I: -106.091mA  Present Capacity: 11653mAHr  Capacity: 16191mAHr   TTE: 138.7Hrs   Charger Status: Charging

Command:
Command:
Command: IIS2MDC Calibrate
















IIS2MDC Calibrating: Rotate TDC slowly 3x times about its center axis, pausing at exactly NSEW


Mag X: 36.00
Mag Z: 553.50


Mag X: 33.00
Mag Z: 556.50


Mag X: 34.50
Mag Y: 736.50
Mag Z: 561.00


Mag X: 36.00
Mag Y: 744.00
Mag Z: 555.00


Mag X: 40.50
Mag Y: 738.00
Mag Z: 555.00


Mag X: 36.00
Mag Y: 738.00
Mag Z: 561.00


Mag X: 28.50
Mag Y: 736.50
Mag Z: 559.50


Mag X: 40.50
Mag Y: 741.00
Mag Z: 558.00


Mag X: 39.00
Mag Y: 745.50
Mag Z: 555.00


Mag X: 37.50
Mag Y: 747.00
Mag Z: 558.00


Mag X: 34.50
Mag Y: 747.00
Mag Z: 571.50


Mag X: 36.00
Mag Y: 745.50
Mag Z: 559.50


Mag X: 39.00
Mag Y: 739.50
Mag Z: 564.00


Mag X: 30.00
Mag Y: 750.00
Mag Z: 567.00


Mag X: 37.50
Mag Y: 750.00
Mag Z: 564.00


Mag X: 42.00
Mag Y: 747.00
Mag Z: 561.00


Mag X: 30.00
Mag Y: 741.00
Mag Z: 559.50


Mag X: 28.50
Mag Y: 744.00
Mag Z: 559.50


Mag X: 34.50
Mag Y: 748.50
Mag Z: 567.00


Mag X: 33.00
Mag Y: 748.50
Mag Z: 568.50


Mag X: 28.50
Mag Y: 747.00
Mag Z: 565.50


Mag X: 27.00
Mag Y: 748.50
Mag Z: 567.00


Mag X: 28.50
Mag Y: 750.00
Mag Z: 571.50


Mag X: 22.50
Mag Y: 747.00
Mag Z: 562.50


Mag X: 31.50
Mag Y: 747.00
Mag Z: 561.00


Mag X: 28.50
Mag Y: 750.00
Mag Z: 558.00


Mag X: 37.50
Mag Y: 750.00
Mag Z: 565.50


Mag X: 27.00
Mag Y: 753.00
Mag Z: 565.50


Mag X: 34.50
Mag Y: 751.50
Mag Z: 576.00


Mag X: 36.00
Mag Y: 754.50
Mag Z: 571.50


Mag X: 30.00
Mag Y: 750.00
Mag Z: 577.50


Mag X: 34.50
Mag Y: 756.00
Mag Z: 570.00


Mag X: 34.50
Mag Y: 753.00
Mag Z: 574.50


Mag X: 36.00
Mag Y: 750.00


Mag X: 28.50
Mag Y: 751.50
Mag Z: 573.00


Mag X: 33.00
Mag Y: 753.00
Mag Z: 574.50


Mag X: 36.00
Mag Y: 748.50
Mag Z: 570.00


Mag X: 36.00
Mag Y: 747.00
Mag Z: 562.50


Mag X: 36.00
Mag Y: 748.50
Mag Z: 556.50


Mag X: 34.50
Mag Y: 745.50
Mag Z: 553.50


Mag X: 30.00
Mag Y: 745.50
Mag Z: 553.50


Mag X: 33.00
Mag Y: 741.00
Mag Z: 555.00


Mag X: 30.00
Mag Y: 748.50
