Mag X,Mag Y,Mag Z
36.00,,553.50
33.00,,556.50
34.50,736.50,561.00
36.00,744.00,555.00
40.50,738.00,555.00
36.00,738.00,561.00
28.50,736.50,559.50
40.50,741.00,558.00
39.00,745.50,555.00
37.50,747.00,558.00
34.50,747.00,571.50
36.00,745.50,559.50
39.00,739.50,564.00
30.00,750.00,567.00
37.50,750.00,564.00
42.00,747.00,561.00
30.00,741.00,559.50
28.50,744.00,559.50
34.50,748.50,567.00
33.00,748.50,568.50
28.50,747.00,565.50
27.00,748.50,567.00
28.50,750.00,571.50
22.50,747.00,562.50
31.50,747.00,561.00
28.50,750.00,558.00
37.50,750.00,565.50
27.00,753.00,565.50
34.50,751.50,576.00
36.00,754.50,571.50
30.00,750.00,577.50
34.50,756.00,570.00
34.50,753.00,574.50
36.00,750.00,
28.50,751.50,573.00
33.00,753.00,574.50
36.00,748.50,570.00
36.00,747.00,562.50
36.00,748.50,556.50
34.50,745.50,553.50
30.00,745.50,553.50
33.00,741.00,555.00
30.00,748.50,556.50
37.50,745.50,553.50
34.50,747.00,552.00
30.00,,
28.50,748.50,553.50
34.50,744.00,553.50
37.50,739.50,552.00
31.50,739.50,556.50
36.00,744.00,552.00
31.50,745.50,552.00
39.00,744.00,550.50
37.50,744.00,556.50
34.50,744.00,555.00
31.50,742.50,552.00
36.00,,
36.00,,552.00
36.00,747.00,559.50
36.00,750.00,549.00
40.50,741.00,550.50
34.50,,550.50
39.00,748.50,547.50
37.50,741.00,550.50
33.00,741.00,550.50
34.50,742.50,556.50
31.50,744.00,550.50
36.00,738.00,555.00
33.00,744.00,552.00
34.50,741.00,549.00
39.00,745.50,550.50
36.00,742.50,555.00
39.00,739.50,555.00
34.50,739.50,550.50
37.50,733.50,544.50
33.00,747.00,552.00
34.50,747.00,550.50
34.50,745.50,553.50
34.50,748.50,552.00
33.00,742.50,553.50
6.00,750.00,547.50
10.50,750.00,546.00
0.00,742.50,549.00
-1.50,,
1.50,745.50,547.50
-1.50,747.00,546.00
-9.00,,
-19.50,747.00,549.00
-39.00,747.00,561.00
-46.50,750.00,577.50
-55.50,748.50,586.50
-60.00,756.00,613.50
-61.50,,643.50
-70.50,751.50,657.00
-69.00,751.50,672.00
-73.50,753.00,696.00
-67.50,747.00,717.00
-70.50,754.50,738.00
-67.50,750.00,759.00
-69.00,748.50,771.00
-63.00,754.50,807.00
-63.00,751.50,808.50
-54.00,747.00,831.00
-61.50,756.00,823.50
-58.50,750.00,825.00
-60.00,748.50,829.50
-57.00,754.50,828.00
-57.00,754.50,829.50
-54.00,747.00,825.00
-60.00,760.50,825.00
-57.00,750.00,834.00
-58.50,750.00,820.50
-63.00,750.00,831.00
-58.50,750.00,817.50
-55.50,751.50,825.00
-58.50,,822.00
-57.00,,825.00
-58.50,,819.00
-58.50,748.50,820.50
-51.00,754.50,825.00
-55.50,751.50,828.00
-57.00,751.50,819.00
-52.50,754.50,819.00
-67.50,753.00,828.00
-57.00,754.50,820.50
-54.00,750.00,823.50
-54.00,754.50,826.50
-61.50,750.00,819.00
-58.50,754.50,826.50
-60.00,757.50,823.50
-61.50,760.50,820.50
-55.50,750.00,822.00
-55.50,759.00,823.50
-55.50,748.50,819.00
-60.00,747.00,820.50
-55.50,750.00,817.50
-57.00,759.00,819.00
-61.50,757.50,816.00
-52.50,748.50,817.50
-55.50,,817.50
-55.50,756.00,819.00
-58.50,745.50,829.50
-51.00,753.00,820.50
-49.50,754.50,817.50
-57.00,754.50,816.00
-60.00,756.00,819.00
-55.50,753.00,832.50
-52.50,750.00,847.50
-58.50,754.50,865.50
-48.00,754.50,880.50
-39.00,751.50,900.00
-30.00,753.00,918.00
-30.00,751.50,939.00
-25.50,756.00,961.50
-10.50,745.50,982.50
-12.00,751.50,993.00
-7.50,744.00,1011.00
-3.00,748.50,1024.50
1.50,750.00,1041.00
21.00,742.50,1078.50
39.00,,1096.50
40.50,747.00,1123.50
52.50,735.00,1123.50
52.50,738.00,1128.00
63.00,741.00,1146.00
61.50,738.00,1143.00
64.50,738.00,1146.00
85.50,738.00,1162.50
94.50,739.50,1174.50
100.50,733.50,1185.00
120.00,735.00,1200.00
123.00,736.50,1195.50
135.00,727.50,1207.50
132.00,735.00,1207.50
141.00,729.00,1209.00
141.00,733.50,1225.50
135.00,730.50,1218.00
141.00,736.50,1209.00
130.50,,1212.00
139.50,,1209.00
144.00,727.50,1213.50
139.50,732.00,1210.50
138.00,732.00,1212.00
139.50,732.00,1215.00
139.50,727.50,1215.00
144.00,726.00,1215.00
135.00,738.00,1218.00
138.00,730.50,1216.50
142.50,732.00,1212.00
147.00,735.00,1213.50
135.00,736.50,1213.50
136.50,732.00,1210.50
132.00,730.50,1210.50
138.00,732.00,1209.00
141.00,735.00,1212.00
138.00,730.50,1216.50
138.00,730.50,1210.50
135.00,733.50,1216.50
135.00,,
136.50,735.00,1213.50
135.00,726.00,1213.50
133.50,733.50,1213.50
133.50,738.00,1209.00
139.50,733.50,1215.00
141.00,732.00,1213.50
138.00,730.50,1216.50
147.00,726.00,1212.00
136.50,730.50,1215.00
135.00,732.00,1216.50
139.50,730.50,1218.00
135.00,729.00,1216.50
139.50,,1219.50
138.00,732.00,
138.00,732.00,1212.00
139.50,735.00,1216.50
139.50,726.00,1212.00
135.00,729.00,1210.50
133.50,729.00,1212.00
142.50,729.00,1219.50
145.50,730.50,1216.50
136.50,732.00,1215.00
135.00,729.00,1212.00
138.00,736.50,1212.00
138.00,733.50,1210.50
138.00,,1213.50
136.50,726.00,1210.50
139.50,,1215.00
138.00,738.00,1216.50
142.50,732.00,1216.50
156.00,726.00,1224.00
160.50,733.50,1224.00
165.00,727.50,1224.00
175.50,733.50,1227.00
183.00,733.50,1231.50
195.00,726.00,1231.50
204.00,726.00,1222.50
214.50,726.00,1210.50
225.00,729.00,1212.00
232.50,727.50,1197.00
234.00,721.50,1186.50
241.50,,1173.00
247.50,724.50,1155.00
252.00,,1138.50
250.50,726.00,1126.50
262.50,726.00,1104.00
255.00,730.50,1068.00
268.50,,1042.50
259.50,726.00,1021.50
253.50,,1009.50
255.00,732.00,993.00
255.00,727.50,985.50
250.50,730.50,976.50
252.00,729.00,978.00
250.50,721.50,963.00
247.50,732.00,972.00
252.00,724.50,973.50
256.50,727.50,972.00
253.50,733.50,982.50
259.50,724.50,981.00
253.50,724.50,982.50
253.50,,
250.50,727.50,985.50
255.00,726.00,981.00
247.50,,982.50
250.50,732.00,981.00
249.00,724.50,987.00
243.00,730.50,990.00
247.50,732.00,991.50
246.00,732.00,988.50
246.00,736.50,993.00
255.00,,990.00
247.50,736.50,984.00
252.00,727.50,981.00
255.00,735.00,991.50
247.50,732.00,990.00
246.00,733.50,993.00
246.00,733.50,988.50
243.00,738.00,984.00
246.00,736.50,981.00
243.00,729.00,982.50
252.00,,
249.00,732.00,972.00
246.00,729.00,975.00
252.00,729.00,979.50
246.00,726.00,979.50
250.50,732.00,985.50
253.50,730.50,991.50
253.50,726.00,991.50
247.50,733.50,987.00
249.00,726.00,987.00
256.50,727.50,991.50
249.00,733.50,988.50
256.50,735.00,985.50
250.50,741.00,993.00
255.00,732.00,993.00
252.00,726.00,987.00
244.50,727.50,991.50
246.00,736.50,988.50
247.50,730.50,994.50
243.00,736.50,987.00
250.50,730.50,990.00
252.00,727.50,988.50
249.00,730.50,984.00
253.50,729.00,988.50
255.00,738.00,981.00
253.50,727.50,994.50
252.00,730.50,985.50
247.50,735.00,988.50
249.00,729.00,979.50
249.00,727.50,984.00
252.00,726.00,981.00
250.50,727.50,978.00
255.00,,
253.50,729.00,976.50
250.50,730.50,982.50
246.00,723.00,975.00
252.00,727.50,981.00
253.50,730.50,985.50
256.50,732.00,982.50
255.00,729.00,982.50
252.00,726.00,988.50
255.00,726.00,984.00
247.50,724.50,991.50
258.00,730.50,988.50
249.00,726.00,982.50
255.00,726.00,985.50
250.50,727.50,988.50
258.00,727.50,991.50
250.50,726.00,990.00
253.50,736.50,988.50
259.50,723.00,997.50
253.50,723.00,996.00
259.50,730.50,999.00
253.50,732.00,997.50
252.00,726.00,978.00
247.50,730.50,925.50
237.00,726.00,900.00
228.00,733.50,864.00
220.50,729.00,835.50
207.00,733.50,757.50
177.00,739.50,706.50
168.00,741.00,688.50
153.00,735.00,660.00
142.50,739.50,634.50
118.50,,591.00
99.00,744.00,579.00
84.00,750.00,559.50
64.50,750.00,549.00
58.50,745.50,544.50
51.00,750.00,540.00
57.00,750.00,541.50
52.50,,543.00
45.00,754.50,543.00
52.50,748.50,534.00
54.00,,532.50
51.00,748.50,537.00
46.50,748.50,541.50
48.00,748.50,535.50
48.00,753.00,538.50
55.50,756.00,537.00
46.50,751.50,541.50
51.00,750.00,540.00
51.00,,540.00
48.00,748.50,541.50
46.50,754.50,546.00
52.50,750.00,546.00
51.00,,550.50
