Mag X,Mag Y,Mag Z
37.50,217.50,349.50
37.50,217.50,357.00
42.00,217.50,361.50
39.00,216.00,352.50
43.50,219.00,348.00
37.50,211.50,346.50
43.50,216.00,346.50
39.00,,351.00
43.50,214.50,348.00
42.00,214.50,346.50
40.50,213.00,345.00
40.50,213.00,349.50
42.00,208.50,349.50
51.00,210.00,349.50
37.50,214.50,346.50
42.00,216.00,348.00
39.00,216.00,352.50
33.00,214.50,349.50
39.00,216.00,349.50
39.00,214.50,352.50
42.00,213.00,351.00
36.00,214.50,352.50
33.00,217.50,352.50
30.00,214.50,355.50
31.50,213.00,354.00
25.50,219.00,355.50
34.50,,
36.00,207.00,354.00
28.50,213.00,349.50
48.00,,
