Mag X,Mag Y,Mag Z,heading
22.5,301.5,307.5,85.8150838748816
21.0,298.5,307.5,86.09318361589658
21.0,304.5,309.0,86.11209043916692
22.5,300.0,309.0,85.83532734813407
24.0,307.5,310.5,85.5801288611453
22.5,295.5,309.0,85.83532734813407
24.0,301.5,306.0,85.51539399045538
30.0,297.0,312.0,84.50767544287257
21.0,301.5,309.0,86.11209043916692
22.5,297.0,310.5,85.85537625889572
19.5,303.0,313.5,86.4407331787168
24.0,297.0,307.5,85.53718152795948
22.5,303.0,310.5,85.85537625889572
184.5,,246.0,53.13010235415598
183.0,309.0,247.5,53.521003166779174
192.0,306.0,244.5,51.85830072377198
186.0,300.0,246.0,52.90716270295846
177.0,297.0,243.0,53.930590100418996
186.0,307.5,249.0,53.24071182970788
184.5,307.5,243.0,52.79207807821844
178.5,307.5,241.5,53.53076560994813
186.0,306.0,244.5,52.7384380871439
189.0,301.5,244.5,52.29575677860919
183.0,304.5,240.0,52.67447951689393
187.5,300.0,246.0,52.68552714838162
180.0,298.5,243.0,53.47114463301483
187.5,303.0,241.5,52.1743242364823
183.0,298.5,243.0,53.017093073655325
180.0,303.0,241.5,53.30130437306101
183.0,309.0,240.0,52.67447951689393
264.0,196.5,213.0,38.89722034634421
265.5,195.0,213.0,38.73867369569779
262.5,199.5,211.5,38.85888938312319
267.0,198.0,214.5,38.77737808807651
270.0,192.0,207.0,37.47617956136137
270.0,192.0,207.0,37.47617956136137
262.5,192.0,207.0,38.25830270645575
256.5,187.5,214.5,39.90430008044139
256.5,204.0,208.5,39.106470767934916
0.0,300.0,312.0,90.0
1.5,298.5,312.0,89.72454164386477
3.0,304.5,312.0,89.44909602078144
0.0,301.5,316.5,90.0
-3.0,,312.0,90.55090397921857
-1.5,298.5,315.0,90.2728349830681
1.5,,312.0,89.72454164386477
1.5,295.5,310.5,89.72321094782224
6.0,295.5,309.0,88.8876003837022
1.5,301.5,309.0,89.72186733270364
6.0,292.5,313.5,88.90356391600697
-1.5,295.5,310.5,90.27678905217776
-3.0,303.0,312.0,90.55090397921857
0.0,,315.0,90.0
-1.5,303.0,316.5,90.27154194568452
3.0,292.5,313.5,89.4517317636958
-3.0,298.5,307.5,90.55896548083217
4.5,298.5,304.5,89.1533259761385
