Mag X,Mag Y,Mag Z
22.50,301.50,307.50
21.00,298.50,307.50
21.00,304.50,309.00
22.50,300.00,309.00
24.00,307.50,310.50
22.50,295.50,309.00
24.00,301.50,306.00
30.00,297.00,312.00
21.00,301.50,309.00
22.50,297.00,310.50
19.50,303.00,313.50
24.00,297.00,307.50
22.50,303.00,310.50
184.50,,246.00
183.00,309.00,247.50
192.00,306.00,244.50
186.00,300.00,246.00
177.00,297.00,243.00
186.00,307.50,249.00
184.50,307.50,243.00
178.50,307.50,241.50
186.00,306.00,244.50
189.00,301.50,244.50
183.00,304.50,240.00
187.50,300.00,246.00
180.00,298.50,243.00
187.50,303.00,241.50
183.00,298.50,243.00
180.00,303.00,241.50
183.00,309.00,240.00
264.00,196.50,213.00
265.50,195.00,213.00
262.50,199.50,211.50
267.00,198.00,214.50
270.00,192.00,207.00
270.00,192.00,207.00
262.50,192.00,207.00
256.50,187.50,214.50
256.50,204.00,208.50
0.00,300.00,312.00
1.50,298.50,312.00
3.00,304.50,312.00
0.00,301.50,316.50
-3.00,,312.00
-1.50,298.50,315.00
1.50,,312.00
1.50,295.50,310.50
6.00,295.50,309.00
1.50,301.50,309.00
6.00,292.50,313.50
-1.50,295.50,310.50
-3.00,303.00,312.00
0.00,,315.00
-1.50,303.00,316.50
3.00,292.50,313.50
-3.00,298.50,307.50
4.50,298.50,304.50
