Mag X,Mag Y,Mag Z,heading
37.5,217.5,349.5,83.87581393953752
37.5,217.5,357.0,84.00352592758847
42.0,217.5,361.5,83.37294056712756
39.0,216.0,352.5,83.68656947564385
43.5,219.0,348.0,82.8749836510982
37.5,211.5,346.5,83.82319881739579
43.5,216.0,346.5,82.8444584651141
39.0,,351.0,83.6598082540901
43.5,214.5,348.0,82.8749836510982
42.0,214.5,346.5,83.08877288097531
40.5,213.0,345.0,83.30461722309515
40.5,213.0,349.5,83.39005610637003
42.0,208.5,349.5,83.14753022944622
51.0,210.0,349.5,81.69783876511613
37.5,214.5,346.5,83.82319881739579
42.0,216.0,348.0,83.11827636936306
39.0,216.0,352.5,83.68656947564385
33.0,214.5,349.5,84.60608949378772
39.0,216.0,349.5,83.63282013573132
39.0,214.5,352.5,83.68656947564385
42.0,213.0,351.0,83.17653760096648
36.0,214.5,352.5,84.16873353732245
33.0,217.5,352.5,84.65172778856865
30.0,214.5,355.5,85.17634180240483
31.5,213.0,354.0,84.91503939527819
25.5,219.0,355.5,85.89720307675798
34.5,,,
36.0,207.0,354.0,84.19327309446842
28.5,213.0,349.5,85.33812690476117
48.0,,,
163.5,201.0,345.0,64.64311656808022
154.5,207.0,336.0,65.30601487195574
159.0,195.0,337.5,64.7743543018758
156.0,201.0,328.5,64.59761868122919
159.0,195.0,333.0,64.476575498932
159.0,204.0,340.5,64.96929032262278
151.5,202.5,337.5,65.82521804236526
162.0,205.5,337.5,64.35899417569472
154.5,201.0,340.5,65.59409022030879
159.0,205.5,336.0,64.6758185980528
159.0,,,
160.5,208.5,337.5,64.56631625360448
162.0,199.5,333.0,64.05770451012833
165.0,205.5,336.0,63.84566422168708
159.0,190.5,333.0,64.476575498932
159.0,202.5,333.0,64.476575498932
156.0,202.5,336.0,65.09523119190482
159.0,207.0,334.5,64.57656144709452
165.0,198.0,339.0,64.0466242976358
157.5,201.0,337.5,64.98310652189998
160.5,205.5,339.0,64.6647230078007
163.5,201.0,339.0,64.25194556014654
159.0,,336.0,64.6758185980528
163.5,207.0,336.0,64.05211467799845
160.5,202.5,328.5,63.96058342937962
153.0,199.5,333.0,65.32313682966294
162.0,199.5,336.0,64.25929164376716
157.5,205.5,336.0,64.88516511385544
156.0,198.0,337.5,65.19257102685823
160.5,202.5,339.0,64.6647230078007
148.5,202.5,340.5,66.43686013522516
154.5,199.5,339.0,65.49876855137897
160.5,204.0,334.5,64.36734754777623
160.5,201.0,328.5,63.96058342937962
156.0,199.5,330.0,64.69862137458028
264.0,196.5,213.0,38.89722034634421
265.5,195.0,213.0,38.73867369569779
262.5,199.5,211.5,38.85888938312319
267.0,198.0,214.5,38.77737808807651
270.0,192.0,207.0,37.47617956136137
270.0,192.0,207.0,37.47617956136137
262.5,192.0,207.0,38.25830270645575
256.5,187.5,214.5,39.90430008044139
256.5,204.0,208.5,39.106470767934916
-1.5,217.5,339.0,90.25351949377202
0.0,223.5,345.0,90.0
-3.0,223.5,343.5,90.50038709879223
0.0,217.5,337.5,90.0
-1.5,220.5,339.0,90.25351949377202
0.0,220.5,339.0,90.0
-1.5,214.5,333.0,90.2580873513362
0.0,223.5,333.0,90.0
4.5,220.5,340.5,89.24283113494147
12.0,222.0,340.5,87.9816008332069
-3.0,222.0,337.5,90.50928240497753
-6.0,217.5,340.5,91.0095127826164
