Mag X,Mag Y,Mag Z
37.50,217.50,349.50
37.50,217.50,357.00
42.00,217.50,361.50
39.00,216.00,352.50
43.50,219.00,348.00
37.50,211.50,346.50
43.50,216.00,346.50
39.00,,351.00
43.50,214.50,348.00
42.00,214.50,346.50
40.50,213.00,345.00
40.50,213.00,349.50
42.00,208.50,349.50
51.00,210.00,349.50
37.50,214.50,346.50
42.00,216.00,348.00
39.00,216.00,352.50
33.00,214.50,349.50
39.00,216.00,349.50
39.00,214.50,352.50
42.00,213.00,351.00
36.00,214.50,352.50
33.00,217.50,352.50
30.00,214.50,355.50
31.50,213.00,354.00
25.50,219.00,355.50
34.50,,
36.00,207.00,354.00
28.50,213.00,349.50
48.00,,
163.50,201.00,345.00
154.50,207.00,336.00
159.00,195.00,337.50
156.00,201.00,328.50
159.00,195.00,333.00
159.00,204.00,340.50
151.50,202.50,337.50
162.00,205.50,337.50
154.50,201.00,340.50
159.00,205.50,336.00
159.00,,
160.50,208.50,337.50
162.00,199.50,333.00
165.00,205.50,336.00
159.00,190.50,333.00
159.00,202.50,333.00
156.00,202.50,336.00
159.00,207.00,334.50
165.00,198.00,339.00
157.50,201.00,337.50
160.50,205.50,339.00
163.50,201.00,339.00
159.00,,336.00
163.50,207.00,336.00
160.50,202.50,328.50
153.00,199.50,333.00
162.00,199.50,336.00
157.50,205.50,336.00
156.00,198.00,337.50
160.50,202.50,339.00
148.50,202.50,340.50
154.50,199.50,339.00
160.50,204.00,334.50
160.50,201.00,328.50
156.00,199.50,330.00
264.00,196.50,213.00
265.50,195.00,213.00
262.50,199.50,211.50
267.00,198.00,214.50
270.00,192.00,207.00
270.00,192.00,207.00
262.50,192.00,207.00
256.50,187.50,214.50
256.50,204.00,208.50
-1.50,217.50,339.00
0.00,223.50,345.00
-3.00,223.50,343.50
0.00,217.50,337.50
-1.50,220.50,339.00
0.00,220.50,339.00
-1.50,214.50,333.00
0.00,223.50,333.00
4.50,220.50,340.50
12.00,222.00,340.50
-3.00,222.00,337.50
-6.00,217.50,340.50
