Mag X,Mag Y,Mag Z
-108.00,205.50,-321.00
-106.50,211.50,-315.00
-114.00,217.50,-316.50
-109.50,211.50,-315.00
-111.00,213.00,-322.50
-99.00,208.50,-316.50
-106.50,214.50,-318.00
-111.00,216.00,-319.50
-109.50,208.50,-313.50
-88.50,220.50,-322.50
-90.00,210.00,-318.00
-93.00,214.50,-324.00
-88.50,205.50,-319.50
-90.00,210.00,-324.00
-93.00,213.00,-322.50
-87.00,210.00,-322.50
-93.00,207.00,-321.00
-96.00,213.00,-321.00
-94.50,210.00,-322.50
-99.00,208.50,-322.50
-105.00,210.00,-319.50
-108.00,216.00,-325.50
-105.00,214.50,-318.00
-105.00,211.50,-330.00
-100.50,210.00,-322.50
-108.00,211.50,-322.50
-99.00,204.00,-321.00
-106.50,211.50,-322.50
-103.50,211.50,-321.00
-103.50,213.00,-327.00
-103.50,205.50,-325.50
-108.00,208.50,-319.50
-118.50,210.00,-322.50
-135.00,210.00,-321.00
-166.50,210.00,-315.00
-177.00,205.50,-307.50
-208.50,213.00,-280.50
-228.00,211.50,-265.50
-247.50,216.00,-252.00
-258.00,217.50,-222.00
-262.50,213.00,-195.00
-270.00,216.00,-169.50
-280.50,214.50,-144.00
-282.00,216.00,-108.00
-277.50,213.00,-70.50
-279.00,222.00,-51.00
-273.00,225.00,-31.50
-276.00,211.50,-12.00
-271.50,219.00,-22.50
-270.00,214.50,-13.50
-267.00,220.50,-18.00
-270.00,220.50,-16.50
-267.00,219.00,-21.00
-267.00,223.50,-13.50
-273.00,217.50,-18.00
-273.00,208.50,-15.00
-276.00,219.00,-12.00
-268.50,217.50,-18.00
-271.50,216.00,-13.50
-271.50,213.00,-19.50
-273.00,222.00,-27.00
-274.50,225.00,-40.50
-273.00,223.50,-34.50
-276.00,226.50,-42.00
-279.00,222.00,-33.00
-276.00,223.50,-37.50
-282.00,216.00,-45.00
-282.00,219.00,-54.00
-288.00,217.50,-67.50
-277.50,225.00,-46.50
-280.50,216.00,-42.00
-273.00,211.50,-30.00
-274.50,223.50,-28.50
-271.50,216.00,-21.00
-276.00,216.00,-27.00
-270.00,211.50,-22.50
-274.50,214.50,-16.50
-276.00,217.50,-22.50
-268.50,220.50,-24.00
-270.00,211.50,-16.50
-268.50,216.00,-13.50
-265.50,216.00,-7.50
-258.00,219.00,4.50
-253.50,214.50,33.00
-238.50,216.00,60.00
-226.50,214.50,88.50
-202.50,217.50,112.50
-192.00,211.50,132.00
-168.00,208.50,156.00
-142.50,210.00,181.50
-99.00,205.50,
-63.00,202.50,219.00
-34.50,205.50,226.50
-7.50,201.00,223.50
13.50,204.00,232.50
19.50,210.00,223.50
24.00,198.00,229.50
27.00,202.50,226.50
45.00,196.50,226.50
45.00,201.00,232.50
45.00,201.00,229.50
48.00,204.00,237.00
48.00,201.00,223.50
48.00,207.00,225.00
40.50,195.00,228.00
43.50,207.00,229.50
43.50,204.00,217.50
51.00,201.00,223.50
48.00,205.50,228.00
46.50,202.50,222.00
54.00,195.00,229.50
49.50,193.50,234.00
51.00,205.50,228.00
40.50,196.50,229.50
46.50,204.00,232.50
52.50,196.50,225.00
49.50,202.50,229.50
54.00,195.00,226.50
49.50,202.50,229.50
45.00,205.50,228.00
43.50,204.00,226.50
54.00,199.50,228.00
52.50,199.50,226.50
46.50,199.50,234.00
57.00,198.00,226.50
45.00,198.00,234.00
52.50,196.50,231.00
52.50,204.00,228.00
52.50,201.00,235.50
46.50,198.00,226.50
54.00,201.00,226.50
51.00,201.00,229.50
46.50,199.50,225.00
45.00,201.00,234.00
48.00,189.00,231.00
54.00,205.50,232.50
49.50,205.50,229.50
52.50,198.00,225.00
49.50,198.00,228.00
46.50,199.50,234.00
60.00,199.50,226.50
73.50,195.00,222.00
79.50,196.50,225.00
72.00,198.00,220.50
90.00,196.50,216.00
102.00,198.00,211.50
102.00,193.50,213.00
106.50,198.00,210.00
133.50,201.00,193.50
145.50,196.50,184.50
165.00,207.00,159.00
178.50,201.00,135.00
189.00,196.50,123.00
198.00,196.50,100.50
204.00,198.00,85.50
205.50,192.00,66.00
213.00,196.50,45.00
210.00,195.00,12.00
208.50,199.50,-12.00
208.50,187.50,-33.00
214.50,193.50,-48.00
211.50,192.00,-42.00
210.00,193.50,-51.00
205.50,196.50,-61.50
196.50,199.50,-78.00
201.00,199.50,-82.50
198.00,201.00,-90.00
202.50,196.50,-84.00
196.50,198.00,-82.50
205.50,189.00,-21.00
205.50,201.00,-10.50
205.50,198.00,-33.00
201.00,199.50,-57.00
196.50,199.50,-87.00
190.50,205.50,-91.50
196.50,202.50,-90.00
196.50,199.50,-88.50
192.00,198.00,-94.50
187.50,202.50,-97.50
190.50,198.00,-103.50
196.50,192.00,-96.00
196.50,201.00,-99.00
193.50,198.00,-97.50
196.50,198.00,-99.00
196.50,193.50,-97.50
196.50,199.50,-99.00
195.00,193.50,-100.50
195.00,198.00,-96.00
198.00,195.00,-99.00
195.00,193.50,-99.00
192.00,202.50,-93.00
190.50,193.50,-99.00
201.00,199.50,-97.50
192.00,192.00,-99.00
195.00,198.00,-97.50
192.00,198.00,-100.50
193.50,193.50,-94.50
193.50,198.00,-100.50
195.00,,
195.00,195.00,-96.00
192.00,195.00,-102.00
195.00,199.50,-84.00
208.50,190.50,-57.00
201.00,195.00,-99.00
189.00,198.00,-121.50
175.50,193.50,-151.50
150.00,199.50,-166.50
118.50,199.50,-216.00
102.00,211.50,-247.50
84.00,205.50,-256.50
55.50,207.00,-276.00
28.50,202.50,-289.50
9.00,214.50,-304.50
-34.50,213.00,-310.50
-63.00,207.00,-319.50
-93.00,208.50,-309.00
-97.50,208.50,-319.50
-117.00,213.00,-324.00
-115.50,213.00,-316.50
-118.50,214.50,-319.50
-117.00,216.00,-313.50
-115.50,216.00,-316.50
-118.50,211.50,-312.00
-117.00,211.50,-319.50
-123.00,210.00,-310.50
-129.00,210.00,-309.00
-121.50,216.00,-309.00
-133.50,219.00,-304.50
-144.00,220.50,-304.50
-151.50,223.50,-301.50
-156.00,223.50,-304.50
-142.50,225.00,-304.50
-144.00,219.00,-304.50
-142.50,220.50,-306.00
-150.00,217.50,-313.50
-136.50,220.50,-306.00
-138.00,211.50,-307.50
-142.50,214.50,-310.50
-147.00,217.50,-309.00
-145.50,208.50,-312.00
-135.00,210.00,-316.50
-136.50,214.50,-318.00
-141.00,216.00,-313.50
-126.00,214.50,-316.50
-135.00,216.00,-315.00
-127.50,214.50,-313.50
-123.00,208.50,-312.00
-123.00,211.50,-316.50
-121.50,219.00,-324.00
-120.00,210.00,-312.00
-105.00,210.00,-309.00
-99.00,205.50,-322.50
-105.00,213.00,-318.00
-100.50,208.50,-322.50
-103.50,211.50,-319.50
-108.00,210.00,-319.50
-99.00,211.50,-324.00
-64.50,205.50,-324.00
-69.00,211.50,-318.00
-67.50,214.50,-315.00
-61.50,211.50,-315.00
-61.50,204.00,-325.50
-60.00,208.50,-319.50
-70.50,211.50,-324.00
-78.00,214.50,-321.00
-96.00,205.50,-324.00
-82.50,214.50,-315.00
-96.00,207.00,-321.00
-90.00,211.50,-318.00
-90.00,207.00,-319.50
