Mag X	Mag Y	Mag Z			
-183	690	-70.5		-51	165.5
-177	685.5	-69		-45	167
-178.5	696	-61.5		-46.5	174.5
-183	685.5	-67.5		-51	168.5
-183	694.5	-60		-51	176
-174	688.5	-72		-42	164
-168	697.5	-67.5		-36	168.5
-145.5	700.5	-69		-13.5	167
-142.5	705	-60		-10.5	176
-150	709.5			-18	236
-165	709.5	-27		-33	209
-169.5	705	-21		-37.5	215
-169.5	702	-28.5		-37.5	207.5
-165	696	-25.5		-33	210.5
-162	706.5	-24		-30	212
-166.5	706.5	-16.5		-34.5	219.5
-165	705	-22.5		-33	213.5
-168	699	-27		-36	209
-162	700.5	-22.5		-30	213.5
-169.5	703.5	-22.5		-37.5	213.5
-166.5	705	-22.5		-34.5	213.5
-165	699	-21		-33	215
-171	699	-24		-39	212
-177	699	-22.5		-45	213.5
-180	703.5	-31.5		-48	204.5
-174	702	-19.5		-42	216.5
-174	709.5	-19.5		-42	216.5
-172.5	708	-25.5		-40.5	210.5
-168	705	-24		-36	212
-168	703.5	-24		-36	212
-168	706.5	-19.5		-36	216.5
-163.5	714	-21		-31.5	215
-172.5	711	-25.5		-40.5	210.5
-174	711	-13.5		-42	222.5
-169.5	711	-25.5		-37.5	210.5
-165	709.5	-18		-33	218
-162	702	-16.5		-30	219.5
-150	699	-22.5		-18	213.5
-130.5	702	-16.5		1.5	219.5
-112.5	703.5	-25.5		19.5	210.5
-40.5	705	-52.5		91.5	183.5
-16.5	696	-42		115.5	194
-1.5	693	-36		130.5	200
31.5	685.5	-46.5		163.5	189.5
75	681	-66		207	170
75	679.5	-85.5		207	150.5
79.5	681	-118.5		211.5	117.5
121.5	679.5	-163.5		253.5	72.5
120	681	-205.5		252	30.5
103.5	688.5	-232.5		235.5	3.5
81	676.5	-232.5		213	3.5
28.5	690	-210		160.5	26
22.5	682.5	-208.5		154.5	27.5
16.5	682.5	-216		148.5	20
22.5	687	-220.5		154.5	15.5
18	685.5	-223.5		150	12.5
24	691.5	-219		156	17
18	679.5	-219		150	17
21	678	-223.5		153	12.5
22.5	684	-222		154.5	14
42	688.5	-234		174	2
46.5	685.5	-234		178.5	2
45	681	-235.5		177	0.5
46.5	682.5	-237		178.5	-1
49.5	681	-232.5		181.5	3.5
51	678	-234		183	2
48	685.5	-231		180	5
36	681	-234		168	2
45	681	-232.5		177	3.5
48	678	-231		180	5
52.5	682.5	-231		184.5	5
45	681	-231		177	5
54	690	-231		186	5
45	687	-235.5		177	0.5
51	687	-235.5		183	0.5
48	679.5	-237		180	-1
51	687	-237		183	-1
46.5	685.5	-234		178.5	2
45	682.5	-235.5		177	0.5
45	687	-231		177	5
55.5	685.5	-235.5		187.5	0.5
49.5	687	-234		181.5	2
52.5	688.5	-234		184.5	2
60	684	-226.5		192	9.5
63	684	-226.5		195	9.5
87	678	-232.5		219	3.5
90	682.5	-228		222	8
96	681	-226.5		228	9.5
102	679.5	-222		234	14
103.5	678	-213		235.5	23
130.5	676.5	-219		262.5	17
151.5	670.5	-228		283.5	8
177	670.5	-252		309	-16
183	655.5	-280.5		315	-44.5
168	664.5	-279		300	-43
157.5	666	-280.5		289.5	-44.5
166.5	657	-279		298.5	-43
150	667.5	-273		282	-37
148.5	669	-268.5		280.5	-32.5
136.5	684	-265.5		268.5	-29.5
141	675	-271.5		273	-35.5
144	684	-312		276	-76
156	682.5	-333		288	-97
145.5	679.5	-361.5		277.5	-125.5
135	679.5	-391.5		267	-155.5
108	678	-403.5		240	-167.5
84	678	-423		216	-187
54	678	-435		186	-199
18	684	-453		150	-217
-9	687	-468		123	-232
-42	688.5	-463.5		90	-227.5
-90	696	-499.5		42	-263.5
-136.5	697.5	-502.5		-4.5	-266.5
-180	696	-508.5		-48	-272.5
-222	699	-493.5		-90	-257.5
-223.5	699	-502.5		-91.5	-266.5
-223.5	691.5	-510		-91.5	-274
-217.5	694.5	-517.5		-85.5	-281.5
-211.5	699	-514.5		-79.5	-278.5
-210	694.5	-514.5		-78	-278.5
-213	697.5	-511.5		-81	-275.5
-207	696	-505.5		-75	-269.5
-211.5	703.5	-504		-79.5	-268
-207	703.5	-495		-75	-259
-213	697.5	-501		-81	-265
-214.5	697.5	-498		-82.5	-262
-216	700.5	-493.5		-84	-257.5
-208.5	705	-498		-76.5	-262
-207	702	-498		-75	-262
-205.5	711	-504		-73.5	-268
-208.5	699	-496.5		-76.5	-260.5
-210	703.5	-499.5		-78	-263.5
-211.5	705	-501		-79.5	-265
-207				-75	236
-208.5	702	-499.5		-76.5	-263.5
-211.5	693	-493.5		-79.5	-257.5
-216	703.5	-501		-84	-265
-208.5	699	-489		-76.5	-253
-211.5	699	-498		-79.5	-262
-210	694.5	-498		-78	-262
-207	700.5	-498		-75	-262
-210	702	-487.5		-78	-251.5
-211.5	700.5	-496.5		-79.5	-260.5
-213	703.5	-498		-81	-262
-208.5	702	-492		-76.5	-256
-217.5	702	-483		-85.5	-247
-208.5	705	-474		-76.5	-238
-207	708	-471		-75	-235
-210	717	-474		-78	-238
-208.5	712.5	-468		-76.5	-232
-207	715.5	-468		-75	-232
-210	718.5	-477		-78	-241
-210	715.5	-487.5		-78	-251.5
-235.5	712.5	-474		-103.5	-238
-247.5	711	-460.5		-115.5	-224.5
-256.5	709.5	-448.5		-124.5	-212.5
-271.5	714	-442.5		-139.5	-206.5
-267	726	-435		-135	-199
-312	712.5	-417		-180	-181
-348	715.5	-399		-216	-163
-373.5	708	-370.5		-241.5	-134.5
-397.5	726	-334.5		-265.5	-98.5
-405	720	-316.5		-273	-80.5
-442.5	705	-294		-310.5	-58
-447	714	-274.5		-315	-38.5
-442.5	718.5	-246		-310.5	-10
-447	723	-235.5		-315	0.5
-445.5	715.5	-244.5		-313.5	-8.5
-430.5	720	-255		-298.5	-19
-418.5	724.5	-265.5		-286.5	-29.5
-415.5	732	-261		-283.5	-25
-412.5	729	-259.5		-280.5	-23.5
-415.5	720	-258		-283.5	-22
-406.5	729	-261		-274.5	-25
-412.5	723	-262.5		-280.5	-26.5
-414	729	-256.5		-282	-20.5
-412.5	732	-259.5		-280.5	-23.5
-414	724.5	-262.5		-282	-26.5
-414	733.5	-259.5		-282	-23.5
-412.5	735	-259.5		-280.5	-23.5
-394.5	733.5	-265.5		-262.5	-29.5
-403.5	738	-262.5		-271.5	-26.5
-405	738	-259.5		-273	-23.5
-403.5	733.5	-264		-271.5	-28
-400.5	732	-259.5		-268.5	-23.5
-408	741	-261		-276	-25
-403.5	736.5	-262.5		-271.5	-26.5
-403.5	738	-259.5		-271.5	-23.5
-394.5	738	-264		-262.5	-28
-397.5	742.5	-274.5		-265.5	-38.5
-394.5	736.5	-273		-262.5	-37
-394.5	744	-276		-262.5	-40
-387	741	-270		-255	-34
-394.5	741	-270		-262.5	-34
-397.5	742.5	-262.5		-265.5	-26.5
-390	735	-268.5		-258	-32.5
-397.5	741	-271.5		-265.5	-35.5
-399	733.5	-270		-267	-34
-399	736.5	-265.5		-267	-29.5
-396	742.5	-262.5		-264	-26.5
-393	735	-268.5		-261	-32.5
-399	739.5	-270		-267	-34
-399	729	-277.5		-267	-41.5
-403.5	735	-289.5		-271.5	-53.5
-393	736.5	-289.5		-261	-53.5
-397.5	736.5	-285		-265.5	-49
-396	738	-286.5		-264	-50.5
-403.5	739.5	-280.5		-271.5	-44.5
-394.5	735	-280.5		-262.5	-44.5
-396	735	-277.5		-264	-41.5
-403.5	735	-276		-271.5	-40
-393	738	-282		-261	-46
-400.5	733.5	-285		-268.5	-49
-397.5	730.5	-285		-265.5	-49
-400.5	738	-286.5		-268.5	-50.5
-402	732	-280.5		-270	-44.5
-400.5	732	-291		-268.5	-55
-396	733.5	-291		-264	-55
-402	729	-291		-270	-55
-399	741	-286.5		-267	-50.5
-402	732	-288		-270	-52
-402	736.5	-289.5		-270	-53.5
-393	727.5	-289.5		-261	-53.5
-396	729	-294		-264	-58
-399	733.5	-286.5		-267	-50.5
-406.5	727.5	-288		-274.5	-52
-402	735	-289.5		-270	-53.5
-394.5	730.5	-291		-262.5	-55
-396	733.5	-285		-264	-49
-397.5	732	-291		-265.5	-55
-391.5	729	-285		-259.5	-49
-384	732	-285		-252	-49
-376.5	720	-273		-244.5	-37
-373.5	720	-261		-241.5	-25
-373.5	724.5	-240		-241.5	-4
-375	724.5	-220.5		-243	15.5
-358.5	721.5	-207		-226.5	29
-330	726	-187.5		-198	48.5
-318	727.5	-174		-186	62
-294	730.5	-148.5		-162	87.5
-300	729	-136.5		-168	99.5
-286.5	729	-118.5		-154.5	117.5
-265.5	732	-94.5		-133.5	141.5
-247.5	727.5	-67.5		-115.5	168.5
-241.5	726	-37.5		-109.5	198.5
-234	724.5	-16.5		-102	219.5
-202.5	718.5	1.5		-70.5	237.5
-190.5	720	15		-58.5	251
-169.5	712.5	15		-37.5	251
-169.5	723	21		-37.5	257
-165	714	27		-33	263
-165	717	13.5		-33	249.5
-172.5	712.5	12		-40.5	248
-172.5	708	-1.5		-40.5	234.5
-165	717	0		-33	236
-160.5	705	-1.5		-28.5	234.5
-163.5	711	1.5		-31.5	237.5
-162	700.5	-3		-30	233
-165	718.5	3		-33	239
-169.5	708	-4.5		-37.5	231.5
-162	712.5	7.5		-30	243.5
-172.5	714	6		-40.5	242
-159	709.5	1.5		-27	237.5
-159	712.5	4.5		-27	240.5
-165	706.5	4.5		-33	240.5
-166.5	711	6		-34.5	242
-166.5	712.5	4.5		-34.5	240.5
-160.5	714	4.5		-28.5	240.5
-163.5	714	-1.5		-31.5	234.5
-157.5	709.5	3		-25.5	239
-156	714	-1.5		-24	234.5
-156	712.5	-1.5		-24	234.5
-163.5	715.5	1.5		-31.5	237.5
-153	709.5	1.5		-21	237.5
-157.5	714	1.5		-25.5	237.5
-159	714	0		-27	236
-154.5	715.5	-1.5		-22.5	234.5
-154.5	711	-1.5		-22.5	234.5
-159	714	-1.5		-27	234.5
-159	717	4.5		-27	240.5
-166.5	711	0		-34.5	236
-157.5	712.5	-1.5		-25.5	234.5
-159	708	3		-27	239
-157.5	717	0		-25.5	236
-156	709.5	9		-24	245
-156	715.5	3		-24	239
-156	714	6		-24	242
-157.5	711	3		-25.5	239
-159	715.5	4.5		-27	240.5
-160.5	711	3		-28.5	239
-156	711	0		-24	236
-157.5	715.5	-1.5		-25.5	234.5
-160.5	715.5	0		-28.5	236
-156	721.5	1.5		-24	237.5
-163.5	708	-1.5		-31.5	234.5
-154.5	717	3		-22.5	239
-153	714	6		-21	242
-157.5	709.5	0		-25.5	236
-145.5	720	3		-13.5	239
-156	712.5	6		-24	242
-153	715.5	0		-21	236
-151.5	714	-4.5		-19.5	231.5
-145.5	717	4.5		-13.5	240.5
-151.5	715.5	-1.5		-19.5	234.5
-150	715.5	0		-18	236
-150	714	4.5		-18	240.5
-150	708	-6		-18	230
-144	712.5	-10.5		-12	225.5
-130.5	712.5	-7.5		1.5	228.5
-129	717	-1.5		3	234.5
-127.5	714	-12		4.5	224
-135	711	-18		-3	218
-133.5	717	-10.5		-1.5	225.5
-130.5	718.5	-6		1.5	230
-136.5	715.5	-6		-4.5	230
-132	709.5	-1.5		0	234.5
-133.5	712.5	12		-1.5	248
-118.5	720	15		13.5	251
-109.5	712.5	22.5		22.5	258.5
-106.5	720	45		25.5	281
-144	706.5	24		-12	260
-102	715.5	36		30	272
-94.5	705	24		37.5	260
-99	706.5	33		33	269
-88.5	709.5	36		43.5	272
-106.5	703.5	34.5		25.5	270.5
-102	699	30		30	266
-111	699	6		21	242
