Mag X	Mag Y	Mag Z
-178.5		-1155
-184.5		-1153.5
-181.5		-1152
-180		-1152
-186	393	-1149
-181.5		-1156.5
-180		-1155
-183		-1153.5
-189	403.5	-1158
-187.5		-1155
-175.5		-1153.5
-172.5		-1159.5
-175.5		-1150.5
-178.5	397.5	-1155
-183		-1171.5
-189		-1164
-174		-1174.5
-178.5	400.5	-1161
-181.5	400.5	-1161
-174		-1155
-177	402	-1152
-175.5	399	-1156.5
-168	408	-1159.5
-183	400.5	-1152
-181.5	406.5	-1155
-187.5	403.5	-1158
-190.5	393	-1153.5
-187.5	406.5	-1158
-195	402	-1161
-187.5	409.5	-1162.5
-181.5	405	-1159.5
-175.5	409.5	-1158
-183	403.5	-1158
-180	400.5	-1152
-186	408	-1158
-181.5	400.5	-1159.5
-180	402	-1155
-181.5	403.5	-1165.5
-168	411	-1167
-180	403.5	-1170
-175.5	403.5	-1182
-160.5	400.5	-1191
-169.5	403.5	-1194
-168	400.5	-1215
-154.5	400.5	-1216.5
-156	405	-1233
-138	400.5	-1246.5
-138	397.5	-1252.5
-130.5	402	-1257
-126	403.5	-1267.5
-121.5	399	-1273.5
-111	390	-1282.5
-96	396	-1297.5
-96	396	-1302
-90	405	-1306.5
-85.5	397.5	-1309.5
-85.5	415.5	-1330.5
-85.5	408	-1327.5
-87	414	-1341
-78	409.5	-1351.5
-79.5	414	-1350
-64.5	412.5	-1357.5
-66	402	-1368
-66	411	-1368
-63	400.5	-1353
-66	397.5	-1350
-75	403.5	-1330.5
-63	409.5	-1335
-61.5	405	-1344
-58.5	408	-1357.5
-57	406.5	-1368
-57	411	-1372.5
-60	403.5	-1375.5
-61.5	409.5	-1390.5
-49.5	400.5	-1378.5
-48	406.5	-1401
-37.5	424.5	-1395
-36	423	-1413
-34.5	420	-1395
-36	420	-1395
-27	417	-1410
-12	423	-1404
-15	403.5	-1402.5
-7.5	406.5	-1395
-4.5	412.5	-1387.5
-1.5	396	-1393.5
-1.5	411	-1393.5
-3	403.5	-1387.5
-1.5	405	-1390.5
1.5	400.5	-1393.5
-3	411	-1384.5
-1.5	411	-1395
-3	405	-1404
-4.5	409.5	-1411.5
-9	406.5	-1446
-24	414	-1473
-37.5	412.5	-1519.5
-39	405	-1560
-51	403.5	-1588.5
-61.5	411	-1612.5
-79.5	409.5	-1629
-96	409.5	-1639.5
-115.5	420	-1675.5
-133.5	417	-1693.5
-145.5	415.5	-1710
-160.5	415.5	-1720.5
-163.5	426	-1734
-169.5	421.5	-1726.5
-181.5	429	-1725
-204	433.5	-1738.5
-214.5	427.5	-1732.5
-223.5	435	-1734
-220.5	432	-1746
-220.5	429	-1755
-226.5	426	-1753.5
-222	420	-1752
-220.5		
-222	433.5	-1750.5
-216	435	-1755
-217.5	430.5	-1756.5
-225	430.5	-1759.5
-226.5	435	-1764
-225	432	-1767
-223.5	427.5	-1764
-228	427.5	-1761
-220.5	427.5	-1765.5
-222	429	-1750.5
-232.5	427.5	-1762.5
-220.5	424.5	-1758
-223.5	426	-1768.5
-226.5	432	-1759.5
-228	430.5	-1755
-226.5	435	-1770
-234	415.5	-1782
-237	409.5	-1782
-235.5	414	-1795.5
-235.5	418.5	-1789.5
-231	421.5	-1795.5
-229.5	423	-1785
-234	423	-1786.5
-235.5		-1791
-225	423	-1785
-234	426	-1783.5
-231	418.5	-1786.5
-228	411	-1789.5
-232.5	417	-1786.5
-228	427.5	-1795.5
-228	424.5	-1792.5
-219	427.5	-1798.5
-223.5	424.5	-1792.5
-231	423	-1810.5
-235.5	423	-1834.5
-249	436.5	-1858.5
-268.5	438	-1885.5
-283.5	451.5	
-288	451.5	-1902
-297	456	-1896
-319.5	459	-1888.5
-321	457.5	-1864.5
-327	454.5	-1842
-345	460.5	-1831.5
-352.5	468	-1803
-361.5	477	-1771.5
-358.5	484.5	-1711.5
-348	475.5	-1663.5
-346.5	471	-1654.5
-343.5	480	-1650
-343.5	478.5	-1650
-343.5	477	-1648.5
-349.5	474	-1656
-340.5	486	-1651.5
-343.5	478.5	-1647
-340.5	486	-1645.5
-334.5	474	-1647
-343.5	478.5	-1653
-331.5	477	-1653
-343.5	486	-1647
-336	477	-1653
-336		
-336	481.5	-1647
-334.5	480	-1641
-337.5	486	-1651.5
-331.5	481.5	-1647
-331.5	478.5	-1648.5
-339	486	-1650
-336	478.5	-1645.5
-340.5	475.5	-1641
-340.5	480	-1645.5
-333	480	-1645.5
-328.5	478.5	-1642.5
-340.5	486	-1645.5
-334.5	481.5	-1645.5
-331.5	483	-1639.5
-333	483	-1644
-336	477	-1644
-333	493.5	-1647
-336	478.5	-1648.5
-333	480	-1641
-331.5	483	-1641
-325.5	481.5	-1638
-331.5	477	-1636.5
-330	472.5	-1629
-334.5	478.5	-1627.5
-328.5	471	-1635
-334.5	466.5	-1624.5
-336	474	-1636.5
-334.5	475.5	-1638
-327	471	-1624.5
-327	465	-1621.5
-331.5	472.5	-1620
-325.5	477	-1618.5
-324	471	-1624.5
-327	480	-1624.5
-330	486	-1617
-334.5	471	-1600.5
-334.5	465	-1599
-334.5	472.5	-1600.5
-328.5	471	-1611
-340.5	477	-1627.5
-370.5	472.5	-1671
-372	477	-1681.5
-364.5	474	-1678.5
-355.5	474	-1677
-342	478.5	-1672.5
-333	480	-1645.5
-340.5	477	-1612.5
-322.5	468	-1561.5
-303	456	-1531.5
-274.5	465	-1512
-249	448.5	-1476
-237	463.5	-1429.5
-226.5	444	-1393.5
-207	451.5	-1369.5
-193.5	441	-1330.5
-172.5	442.5	-1288.5
-162	442.5	-1245
-165	445.5	-1245
-157.5	453	-1245
-154.5	442.5	-1245
-168	444	-1237.5
-166.5	448.5	-1231.5
-174	444	-1228.5
-169.5	450	-1225.5
-168	438	-1225.5
-171	441	-1227
-169.5	442.5	-1227
-166.5	448.5	-1222.5
-162	444	-1233
-166.5	444	-1222.5
-168	444	-1234.5
-163.5	438	-1219.5
-165	450	-1225.5
-163.5	442.5	-1231.5
-162	439.5	-1219.5
-160.5	448.5	-1233
-163.5	438	-1228.5
-166.5		
-162	439.5	-1225.5
-163.5	450	-1233
-166.5	445.5	-1224
-165	448.5	-1225.5
-165	450	-1224
-160.5	441	-1231.5
-163.5	439.5	-1224
-168	441	-1225.5
-168	450	-1224
-171	442.5	-1245
-201	435	-1401
-279	423	-1563
-342	384	-1680
-328.5	402	-1768.5
-328.5	402	-1774.5
-346.5	382.5	-1797
-376.5	331.5	-1830
-418.5	289.5	-1803
-475.5	228	-1729.5
-471	232.5	-1629
