Mag X	Mag Y	Mag Z
-69	-138	-1260
-66	-138	-1261.5
-69	-142.5	-1263
-70.5		-1264.5
-69	-136.5	-1266
-69	-138	-1264.5
-75	-133.5	-1266
-66	-141	-1257
-66		-1266
-72	-133.5	-1267.5
-63	-141	-1269
-69	-138	
-69	-133.5	-1266
-64.5	-141	-1269
-76.5	-136.5	-1263
-63		-1269
-78	-139.5	-1272
-81	-142.5	-1278
-84	-153	-1264.5
-96	-157.5	-1269
-99		-1270.5
-124.5	-148.5	-1275
-132	-148.5	-1278
-138	-148.5	-1273.5
-154.5	-154.5	-1267.5
-162		-1261.5
-198	-145.5	-1264.5
-205.5	-141	-1257
-217.5	-142.5	
-240	-142.5	-1227
-244.5	-132	-1216.5
-249	-138	-1209
-262.5	-129	-1183.5
-270	-132	-1159.5
-270	-130.5	-1144.5
-277.5	-124.5	-1114.5
-273	-129	-1102.5
-286.5	-126	-1093.5
-282	-123	-1071
-276	-118.5	-1062
-280.5	-124.5	-1059
-271.5	-124.5	-1074
-276	-139.5	-1075.5
-276	-138	-1080
-279	-144	-1081.5
-277.5	-129	-1071
-283.5	-138	-1080
-280.5	-135	-1084.5
-280.5	-114	-1069.5
-283.5		-1068
-285	-112.5	-1065
-277.5		-1068
-274.5	-105	-1071
-288	-103.5	-1069.5
-279	-102	-1071
-280.5	-94.5	-1084.5
-285	-94.5	-1084.5
-282	-85.5	-1086
-283.5	-81	-1092
-282	-81	-1093.5
-279	-75	-1093.5
-280.5		-1086
-282	-75	-1093.5
-274.5	-79.5	-1092
-285	-75	-1090.5
-282	-78	-1095
-282	-75	-1095
-279	-72	-1096.5
-276	-75	-1102.5
-277.5	-79.5	-1090.5
-268.5	-82.5	-1087.5
-276	-85.5	-1081.5
-277.5	-84	-1051.5
-262.5	-85.5	-1009.5
-255		-964.5
-235.5	-84	-930
-223.5	-90	-907.5
-207		-880.5
-184.5	-93	-832.5
-163.5		-807
-144	-96	-789
-114	-105	-765
-103.5	-105	-745.5
-67.5	-105	-732
-57	-114	-721.5
-57		-723
-48	-118.5	-721.5
-33	-120	-709.5
-27	-123	-711
-33	-127.5	-718.5
-40.5	-124.5	-702
-36	-132	-715.5
-30		-712.5
-40.5	-124.5	-708
-37.5		-708
-45	-129	-705
-36	-127.5	-706.5
-31.5	-127.5	-711
-40.5	-126	
-34.5	-124.5	-709.5
-31.5	-127.5	-712.5
-33	-126	-706.5
-28.5	-126	-703.5
-36	-127.5	-700.5
-31.5	-135	-682.5
-25.5	-142.5	-702
-4.5	-144	-694.5
10.5	-136.5	-700.5
36	-144	-703.5
52.5	-145.5	-714
66	-147	-717
73.5	-148.5	-736.5
88.5		-751.5
100.5	-144	-771
106.5	-142.5	-789
106.5	-148.5	-801
118.5	-141	-838.5
121.5	-138	-850.5
127.5	-139.5	-864
121.5	-141	-865.5
132	-142.5	-870
120	-138	-882
126	-141	-880.5
120	-135	-879
129	-138	-880.5
118.5	-135	-874.5
120		-885
121.5	-136.5	-879
123	-136.5	-877.5
127.5	-132	-877.5
127.5		-876
123		-873
124.5	-129	-874.5
124.5	-133.5	-874.5
123	-133.5	-880.5
123	-135	-874.5
123		-876
123	-135	-877.5
126	-141	-873
124.5	-141	-897
124.5	-132	-943.5
123	-135	-988.5
109.5	-130.5	-1029
93	-120	-1077
90	-124.5	-1107
72	-117	-1146
63		-1165.5
48	-115.5	-1186.5
19.5	-114	-1225.5
-1.5	-111	-1255.5
-24	-100.5	-1273.5
-42	-106.5	-1290
-48	-102	-1296
-60	-93	-1309.5
-81	-93	-1321.5
-91.5		-1315.5
-79.5	-97.5	-1314
-67.5	-126	-1291.5
-61.5	-171	-1267.5
-63	-165	-1266
-69	-154.5	-1260
-63	-136.5	-1266
-64.5	-142.5	-1263
-69	-132	-1263
-64.5	-138	-1267.5
-67.5		-1266
-66	-136.5	-1267.5
-70.5	-135	-1266
-61.5	-135	-1257
-67.5	-141	-1257
-72	-139.5	-1261.5
-66	-145.5	-1255.5
-72	-145.5	-1252.5
-64.5		-1251
-61.5	-145.5	-1252.5
-67.5	-144	-1255.5
-64.5	-145.5	-1255.5
