Mag X,Mag Y,Mag Z
-39.00,,342.00
-34.50,291.00,337.50
-34.50,292.50,336.00
-31.50,289.50,333.00
-33.00,291.00,337.50
-36.00,289.50,337.50
-40.50,292.50,342.00
-39.00,291.00,337.50
-43.50,288.00,342.00
-43.50,289.50,342.00
-33.00,286.50,337.50
-28.50,289.50,339.00
-31.50,292.50,343.50
-33.00,292.50,342.00
-34.50,292.50,343.50
-30.00,288.00,339.00
-27.00,298.50,342.00
-25.50,288.00,342.00
-28.50,289.50,337.50
-22.50,288.00,342.00
-28.50,298.50,339.00
-34.50,291.00,342.00
-28.50,291.00,336.00
-27.00,288.00,343.50
-27.00,292.50,337.50
-30.00,286.50,337.50
-28.50,291.00,336.00
-34.50,292.50,339.00
-30.00,289.50,343.50
-25.50,,343.50
-25.50,291.00,
-30.00,294.00,339.00
-21.00,295.50,342.00
-34.50,,340.50
-25.50,294.00,343.50
-30.00,292.50,340.50
-30.00,288.00,340.50
-27.00,294.00,337.50
-27.00,288.00,342.00
-22.50,288.00,339.00
-24.00,294.00,342.00
-30.00,294.00,339.00
-22.50,295.50,336.00
-34.50,,340.50
-28.50,283.50,342.00
-25.50,292.50,336.00
-27.00,,340.50
-28.50,295.50,340.50
-24.00,289.50,340.50
-27.00,289.50,337.50
-31.50,291.00,343.50
-28.50,289.50,339.00
-25.50,289.50,337.50
-30.00,289.50,342.00
-27.00,,336.00
-33.00,300.00,340.50
-30.00,294.00,345.00
-28.50,298.50,336.00
-22.50,298.50,333.00
-25.50,292.50,330.00
-30.00,,334.50
-22.50,,327.00
-19.50,291.00,334.50
-19.50,297.00,330.00
-21.00,292.50,331.50
-18.00,295.50,333.00
