-39	342	
-34.5	337.5	291
-34.5	336	292.5
-31.5	333	289.5
-33	337.5	291
-36	337.5	289.5
-40.5	342	292.5
-39	337.5	291
-43.5	342	288
-43.5	342	289.5
-33	337.5	286.5
-28.5	339	289.5
-31.5	343.5	292.5
-33	342	292.5
-34.5	343.5	292.5
-30	339	288
-27	342	298.5
-25.5	342	288
-28.5	337.5	289.5
-22.5	342	288
-28.5	339	298.5
-34.5	342	291
-28.5	336	291
-27	343.5	288
-27	337.5	292.5
-30	337.5	286.5
-28.5	336	291
-34.5	339	292.5
-30	343.5	289.5
-25.5	343.5	
-25.5		291
-30	339	294
-21	342	295.5
-34.5	340.5	
-25.5	343.5	294
-30	340.5	292.5
-30	340.5	288
-27	337.5	294
-27	342	288
-22.5	339	288
-24	342	294
-30	339	294
-22.5	336	295.5
-34.5	340.5	
-28.5	342	283.5
-25.5	336	292.5
-27	340.5	
-28.5	340.5	295.5
-24	340.5	289.5
-27	337.5	289.5
-31.5	343.5	291
-28.5	339	289.5
-25.5	337.5	289.5
-30	342	289.5
-27	336	
-33	340.5	300
-30	345	294
-28.5	336	298.5
-22.5	333	298.5
-25.5	330	292.5
-30	334.5	
-22.5	327	
-19.5	334.5	291
-19.5	330	297
-21	331.5	292.5
-18	333	295.5
