Mag X,Mag Y,Mag Z
-30.00,289.50,337.50
-21.00,291.00,333.00
-27.00,291.00,336.00
-18.00,291.00,328.50
-25.50,291.00,339.00
-24.00,294.00,333.00
-19.50,289.50,330.00
-24.00,286.50,331.50
-16.50,292.50,334.50
-15.00,298.50,336.00
-13.50,289.50,328.50
-13.50,288.00,334.50
-18.00,292.50,328.50
-10.50,291.00,327.00
-7.50,289.50,333.00
-3.00,289.50,339.00
-4.50,,336.00
-3.00,,339.00
30.00,,331.50
42.00,289.50,328.50
36.00,289.50,333.00
27.00,294.00,336.00
13.50,289.50,333.00
10.50,295.50,340.50
0.00,291.00,333.00
4.50,298.50,333.00
-3.00,289.50,330.00
7.50,288.00,333.00
22.50,294.00,334.50
45.00,286.50,336.00
63.00,292.50,328.50
85.50,297.00,327.00
97.50,288.00,316.50
103.50,286.50,316.50
103.50,295.50,319.50
112.50,283.50,315.00
112.50,291.00,313.50
115.50,288.00,312.00
117.00,292.50,318.00
109.50,292.50,310.50
112.50,291.00,318.00
108.00,289.50,316.50
126.00,294.00,304.50
157.50,291.00,292.50
183.00,294.00,279.00
193.50,286.50,268.50
228.00,291.00,238.50
252.00,295.50,198.00
262.50,306.00,175.50
270.00,297.00,151.50
280.50,298.50,124.50
286.50,306.00,91.50
280.50,301.50,91.50
294.00,301.50,93.00
285.00,303.00,94.50
291.00,306.00,99.00
288.00,301.50,84.00
283.50,304.50,54.00
288.00,301.50,34.50
280.50,307.50,12.00
280.50,310.50,-10.50
276.00,307.50,-39.00
264.00,310.50,-48.00
258.00,307.50,-63.00
249.00,321.00,-78.00
249.00,321.00,-87.00
235.50,316.50,-102.00
225.00,325.50,-112.50
226.50,315.00,-114.00
223.50,313.50,-120.00
210.00,313.50,-118.50
196.50,310.50,-144.00
189.00,328.50,-144.00
193.50,319.50,-141.00
189.00,321.00,-157.50
195.00,319.50,-153.00
192.00,322.50,-151.50
181.50,325.50,-154.50
142.50,324.00,-175.50
121.50,319.50,-187.50
96.00,330.00,-199.50
72.00,330.00,-210.00
49.50,330.00,-210.00
36.00,331.50,-220.50
16.50,324.00,-214.50
-4.50,330.00,-219.00
-27.00,336.00,-216.00
-43.50,333.00,-213.00
-48.00,339.00,-217.50
-76.50,336.00,-211.50
-91.50,339.00,-205.50
-108.00,333.00,-199.50
-111.00,334.50,-199.50
-109.50,343.50,-201.00
-114.00,337.50,-196.50
-102.00,343.50,-201.00
-111.00,339.00,-205.50
-108.00,333.00,-198.00
-142.50,,-187.50
-151.50,328.50,-178.50
-162.00,331.50,-166.50
-177.00,342.00,-160.50
-178.50,331.50,-162.00
-178.50,334.50,-156.00
-186.00,333.00,-157.50
-186.00,333.00,-157.50
-187.50,331.50,-159.00
-184.50,336.00,-159.00
-205.50,334.50,-144.00
-228.00,336.00,-114.00
-243.00,333.00,-96.00
-259.50,333.00,-75.00
-265.50,327.00,-51.00
-267.00,330.00,-45.00
-273.00,328.50,-25.50
-282.00,322.50,-6.00
-282.00,324.00,-10.50
-279.00,322.50,-15.00
-288.00,327.00,-15.00
-286.50,324.00,-6.00
-279.00,327.00,-3.00
-286.50,324.00,-3.00
-286.50,324.00,3.00
-285.00,328.50,-1.50
-283.50,321.00,3.00
-286.50,321.00,0.00
-286.50,327.00,3.00
-282.00,316.50,84.00
-285.00,313.50,102.00
-289.50,316.50,103.50
-292.50,,93.00
-291.00,313.50,102.00
-291.00,318.00,109.50
-289.50,316.50,117.00
-289.50,310.50,117.00
-288.00,313.50,117.00
-273.00,318.00,141.00
-267.00,306.00,180.00
-256.50,309.00,199.50
-243.00,310.50,211.50
-225.00,309.00,235.50
-213.00,304.50,249.00
-201.00,298.50,259.50
-192.00,301.50,271.50
-184.50,301.50,277.50
-169.50,300.00,285.00
-154.50,301.50,294.00
-139.50,300.00,292.50
-123.00,300.00,301.50
-118.50,298.50,312.00
-111.00,,315.00
-106.50,294.00,321.00
-96.00,292.50,322.50
-85.50,291.00,324.00
-78.00,292.50,324.00
-70.50,291.00,325.50
-60.00,300.00,331.50
-52.50,295.50,334.50
-37.50,286.50,333.00
-30.00,289.50,337.50
-31.50,298.50,333.00
-30.00,286.50,333.00
-33.00,286.50,331.50
-33.00,292.50,337.50
-34.50,294.00,331.50
-15.00,294.00,331.50
-3.00,289.50,
-1.50,294.00,331.50
-3.00,294.00,336.00
0.00,,327.00
9.00,297.00,333.00
9.00,291.00,334.50
19.50,289.50,330.00
33.00,295.50,328.50
48.00,,331.50
69.00,289.50,322.50
79.50,286.50,327.00
94.50,286.50,322.50
105.00,291.00,313.50
126.00,289.50,309.00
130.50,288.00,300.00
153.00,289.50,292.50
168.00,283.50,291.00
177.00,297.00,279.00
189.00,298.50,267.00
202.50,291.00,253.50
216.00,291.00,237.00
231.00,292.50,232.50
241.50,291.00,210.00
250.50,,199.50
252.00,295.50,204.00
