Mag X,Mag Y,Mag Z,heading
12.0,306.0,337.5,87.96367454520173
13.5,301.5,346.5,87.76882539196876
19.5,298.5,340.5,86.72232404780974
7.5,298.5,343.5,88.74919918523459
15.0,304.5,339.0,87.46644111160542
10.5,301.5,342.0,88.2414714395609
7.5,307.5,343.5,88.74919918523459
12.0,303.0,334.5,87.94542711907431
6.0,307.5,343.5,88.99930212214117
6.0,304.5,339.0,88.9860212772147
13.5,294.0,340.5,87.72955032933491
15.0,303.0,343.5,87.49958943562312
7.5,298.5,339.0,88.73260101476674
16.5,306.0,345.0,87.26185348064485
6.0,300.0,339.0,88.9860212772147
12.0,298.5,343.5,87.99921438333142
3.0,301.5,346.5,89.50394503960476
10.5,307.5,340.5,88.23372951399095
9.0,304.5,348.0,88.51854282911292
9.0,301.5,343.5,88.49914391270657
3.0,300.0,342.0,89.49741833327897
7.5,303.0,337.5,88.72696997994329
15.0,306.0,343.5,87.49958943562312
12.0,307.5,340.5,87.9816008332069
10.5,304.5,340.5,88.23372951399095
10.5,304.5,334.5,88.20206814309948
15.0,298.5,342.0,87.48863673283692
13.5,310.5,336.0,87.69917498519068
16.5,,339.0,87.21346643050676
16.5,306.0,340.5,87.22572268869922
10.5,,345.0,88.25675351569421
13.5,297.0,346.5,87.76882539196876
13.5,304.5,348.0,87.77843286706396
6.0,300.0,345.0,89.00365210349509
7.5,,348.0,88.76536829459589
3.0,,345.0,89.50178838738636
3.0,309.0,348.0,89.50608310138125
10.5,300.0,336.0,88.21008939175394
9.0,300.0,339.0,88.47923033885624
9.0,303.0,342.0,88.49256424122504
10.5,300.0,343.5,88.24914581345716
10.5,303.0,342.0,88.2414714395609
10.5,,345.0,88.25675351569421
6.0,303.0,339.0,88.9860212772147
6.0,295.5,345.0,89.00365210349509
0.0,297.0,349.5,90.0
4.5,,343.5,89.24944320363574
7.5,297.0,343.5,88.74919918523459
7.5,294.0,345.0,88.75463573323165
7.5,297.0,345.0,88.75463573323165
9.0,,343.5,88.49914391270657
10.5,306.0,336.0,88.21008939175394
9.0,300.0,342.0,88.49256424122504
4.5,300.0,339.0,89.23948122286914
9.0,301.5,340.5,88.48592663936489
6.0,303.0,342.0,88.99491399474583
4.5,,343.5,89.24944320363574
4.5,304.5,342.0,89.24615166692924
15.0,301.5,340.5,87.47758771656054
18.0,303.0,337.5,86.94711748520757
15.0,300.0,337.5,87.4551956201869
19.5,303.0,336.0,86.67852423665396
16.5,304.5,337.5,87.20110148642367
9.0,301.5,343.5,88.49914391270657
7.5,306.0,342.0,88.74371497104367
7.5,297.0,339.0,88.73260101476674
7.5,309.0,337.5,88.72696997994329
1.5,289.5,354.0,89.75722272623318
-22.5,282.0,343.5,93.74764497476605
-21.0,280.5,334.5,93.59232984624934
-19.5,283.5,334.5,93.33633670221333
-18.0,279.0,337.5,93.05288251479243
-16.5,,331.5,92.84947456067724
-9.0,,337.5,91.52752544221293
-12.0,279.0,331.5,92.07315014884644
-13.5,285.0,331.5,92.33202368162306
-19.5,282.0,342.0,93.26333131823539
-18.0,282.0,330.0,93.1221304621157
-22.5,279.0,339.0,93.79724788043843
-19.5,279.0,340.5,93.27767595219028
-16.5,282.0,337.5,92.79889851357635
-24.0,274.5,340.5,94.03180109807373
-16.5,280.5,337.5,92.79889851357635
-12.0,279.0,337.5,92.03632545479827
-18.0,277.5,339.0,93.03939956892692
-16.5,279.0,336.0,92.81137359452653
-16.5,282.0,334.5,92.82396028924236
-7.5,,336.0,91.2787113070498
21.0,283.5,327.0,86.32550047917034
49.5,,327.0,81.39213762629389
82.5,280.5,313.5,75.25643716352927
96.0,292.5,310.5,72.81950279975952
124.5,295.5,295.5,67.153344737778
135.0,294.0,291.0,65.11258828907549
126.0,,286.5,66.26055916197181
133.5,291.0,285.0,64.9006191335786
133.5,292.5,291.0,65.35609953429524
142.5,286.5,289.5,63.79229832348605
133.5,288.0,291.0,65.35609953429524
135.0,288.0,292.5,65.22485943116808
130.5,291.0,285.0,65.397205841715
127.5,289.5,291.0,66.33964320801321
133.5,288.0,286.5,65.01595960288267
127.5,291.0,285.0,65.89776549883887
130.5,295.5,297.0,66.2796044276954
135.0,294.0,289.5,64.99936064331163
129.0,292.5,288.0,65.87159706973213
132.0,,292.5,65.71119782161873
135.0,,285.0,64.6538240580533
126.0,288.0,282.0,65.92450174492117
133.5,292.5,288.0,65.13031202604127
138.0,289.5,286.5,64.28102752266113
135.0,295.5,,
132.0,298.5,298.5,66.14445589331562
126.0,295.5,291.0,66.58788583069732
135.0,292.5,292.5,65.22485943116808
129.0,289.5,292.5,66.20129079709892
132.0,291.0,291.0,65.60056407582488
127.5,295.5,288.0,66.12062863565514
124.5,295.5,288.0,66.62157398301923
129.0,282.0,286.5,65.75978281034185
130.5,289.5,285.0,65.397205841715
136.5,291.0,289.5,64.75600099746458
130.5,291.0,286.5,65.51085928296315
123.0,294.0,294.0,67.29715787678718
135.0,,291.0,65.11258828907549
135.0,292.5,280.5,64.29925924041711
147.0,289.5,282.0,62.468023251277714
156.0,297.0,267.0,59.70355182376156
184.5,298.5,253.5,53.95247333415416
198.0,298.5,231.0,49.398705354995535
219.0,,213.0,44.20427644726073
229.5,306.0,199.5,40.999814239486895
241.5,307.5,183.0,37.15353780160184
241.5,306.0,175.5,36.00620760124444
241.5,304.5,169.5,35.063610056571676
244.5,303.0,171.0,34.968422267638815
247.5,307.5,174.0,35.108380273177815
243.0,310.5,177.0,36.069409899581004
243.0,312.0,172.5,35.370048722235666
249.0,,171.0,34.47921568612564
244.5,309.0,165.0,34.01331249991065
250.5,309.0,163.5,33.13226810243392
249.0,304.5,168.0,34.00749241973228
250.5,,168.0,33.84812444783821
249.0,,163.5,33.2899638375361
247.5,306.0,171.0,34.64094751191629
249.0,309.0,168.0,34.00749241973228
246.0,307.5,171.0,34.80401175271321
244.5,301.5,166.5,34.25414277042215
247.5,310.5,165.0,33.690067525979785
244.5,,169.5,34.73169420198976
243.0,312.0,168.0,34.658354705521106
244.5,315.0,163.5,33.77110817846126
250.5,310.5,163.5,33.13226810243392
249.0,303.0,165.0,33.5304696671331
252.0,309.0,169.5,33.92552830802987
246.0,312.0,174.0,35.272421448598394
243.0,309.0,171.0,35.134193056915635
244.5,310.5,172.5,35.20379008252548
244.5,313.5,174.0,35.43780146167938
247.5,310.5,166.5,33.929797422060645
244.5,304.5,166.5,34.25414277042215
249.0,,174.0,34.945664400005654
246.0,,168.0,34.33021719550332
249.0,309.0,160.5,32.804950338101314
246.0,307.5,,
243.0,312.0,166.5,34.41836447905621
250.5,306.0,168.0,33.84812444783821
249.0,310.5,171.0,34.47921568612564
243.0,309.0,174.0,35.60453398043311
249.0,316.5,168.0,34.00749241973228
244.5,306.0,174.0,35.43780146167938
244.5,313.5,165.0,34.01331249991065
241.5,309.0,171.0,35.30133826228992
255.0,312.0,168.0,33.377832036430426
243.0,312.0,171.0,35.134193056915635
243.0,304.5,166.5,34.41836447905621
241.5,309.0,171.0,35.30133826228992
243.0,303.0,166.5,34.41836447905621
