Mag X,Mag Y,Mag Z,heading
40.5,228.0,334.5,83.09644608027497
40.5,229.5,322.5,82.84218698638419
40.5,232.5,330.0,83.00323364286567
45.0,222.0,331.5,82.26954466766331
48.0,226.5,328.5,81.68684466000055
49.5,234.0,333.0,81.54497232282256
46.5,232.5,328.5,81.94316586615345
46.5,231.0,328.5,81.94316586615345
52.5,231.0,327.0,80.87897400546801
46.5,228.0,330.0,81.97931020447162
42.0,232.5,325.5,82.64762064010765
48.0,226.5,328.5,81.68684466000055
42.0,228.0,333.0,82.81146285726335
40.5,226.5,327.0,82.93968806121235
49.5,229.5,330.0,81.46923439005187
48.0,226.5,327.0,81.64924746766859
46.5,,325.5,81.86989764584403
43.5,231.0,336.0,82.62327399305472
46.5,232.5,328.5,81.94316586615345
45.0,234.0,327.0,82.16447489351145
40.5,232.5,327.0,82.93968806121235
43.5,231.0,330.0,82.49066892618268
48.0,223.5,330.0,81.7241071729248
46.5,231.0,327.0,81.9066964715569
45.0,231.0,327.0,82.16447489351145
52.5,229.5,328.5,80.91992713597328
51.0,228.0,321.0,80.9723870492849
48.0,225.0,333.0,81.79764575537442
49.5,225.0,330.0,81.46923439005187
42.0,228.0,327.0,82.68098062440957
42.0,237.0,327.0,82.68098062440957
45.0,228.0,334.5,82.33804884502779
46.5,229.5,328.5,81.94316586615345
52.5,231.0,328.5,80.91992713597328
43.5,229.5,328.5,82.45677370960111
42.0,231.0,330.0,82.74680538727468
43.5,234.0,333.0,82.55755875734572
46.5,228.0,327.0,81.9066964715569
49.5,223.5,331.5,81.50727097188151
46.5,231.0,331.5,82.01513378474341
51.0,229.5,327.0,81.13537661158921
46.5,228.0,328.5,81.94316586615345
49.5,228.0,331.5,81.50727097188151
49.5,229.5,328.5,81.43085812016236
46.5,229.5,327.0,81.9066964715569
49.5,237.0,325.5,81.35306829204694
40.5,232.5,330.0,83.00323364286567
186.0,222.0,294.0,57.68038349181982
186.0,214.5,297.0,57.94262426579457
184.5,216.0,300.0,58.40848429895932
186.0,223.5,303.0,58.4558429789237
196.5,222.0,298.5,56.643431498761686
180.0,217.5,301.5,59.162168055312755
192.0,223.5,306.0,57.89374404488216
192.0,220.5,300.0,57.38075692880717
186.0,222.0,303.0,58.4558429789237
186.0,225.0,301.5,58.32892409938223
180.0,217.5,300.0,59.03624346792648
189.0,219.0,306.0,58.29857033049428
186.0,223.5,294.0,57.68038349181982
183.0,222.0,297.0,58.360218444764485
186.0,225.0,303.0,58.4558429789237
186.0,,300.0,58.20108717570559
184.5,,298.5,58.2801846921758
189.0,229.5,298.5,57.65940678501996
183.0,219.0,298.5,58.48898227581785
180.0,222.0,300.0,59.03624346792648
184.5,222.0,298.5,58.2801846921758
184.5,222.0,298.5,58.2801846921758
186.0,222.0,303.0,58.4558429789237
189.0,225.0,298.5,57.65940678501996
186.0,219.0,298.5,58.07232349768073
181.5,225.0,298.5,58.69871700708446
186.0,223.5,297.0,57.94262426579457
178.5,223.5,304.5,59.62087398863166
190.5,223.5,300.0,57.584452670141324
184.5,217.5,298.5,58.2801846921758
190.5,217.5,304.5,57.96925345602871
184.5,216.0,295.5,58.02076730562467
184.5,225.0,297.0,58.150948680944715
187.5,220.5,298.5,57.86539784205021
183.0,219.0,300.0,58.616808943640976
186.0,223.5,295.5,57.811980590554946
183.0,214.5,298.5,58.48898227581785
183.0,219.0,300.0,58.616808943640976
186.0,223.5,300.0,58.20108717570559
192.0,222.0,298.5,57.25022426667312
181.5,214.5,303.0,59.07797381707572
186.0,214.5,306.0,58.70696100407981
184.5,229.5,304.5,58.787852916326784
193.5,223.5,298.5,57.04703049120517
187.5,,297.0,57.73524427888936
184.5,220.5,303.0,58.662309679456804
181.5,216.0,295.5,58.441204837098624
186.0,220.5,301.5,58.32892409938223
274.5,211.5,193.5,35.180699361242105
274.5,220.5,196.5,35.59686762578731
276.0,217.5,201.0,36.06438615741825
