Mag X,Mag Y,Mag Z
40.50,228.00,334.50
40.50,229.50,322.50
40.50,232.50,330.00
45.00,222.00,331.50
48.00,226.50,328.50
49.50,234.00,333.00
46.50,232.50,328.50
46.50,231.00,328.50
52.50,231.00,327.00
46.50,228.00,330.00
42.00,232.50,325.50
48.00,226.50,328.50
42.00,228.00,333.00
40.50,226.50,327.00
49.50,229.50,330.00
48.00,226.50,327.00
46.50,,325.50
43.50,231.00,336.00
46.50,232.50,328.50
45.00,234.00,327.00
40.50,232.50,327.00
43.50,231.00,330.00
48.00,223.50,330.00
46.50,231.00,327.00
45.00,231.00,327.00
52.50,229.50,328.50
51.00,228.00,321.00
48.00,225.00,333.00
49.50,225.00,330.00
42.00,228.00,327.00
42.00,237.00,327.00
45.00,228.00,334.50
46.50,229.50,328.50
52.50,231.00,328.50
43.50,229.50,328.50
42.00,231.00,330.00
43.50,234.00,333.00
46.50,228.00,327.00
49.50,223.50,331.50
46.50,231.00,331.50
51.00,229.50,327.00
46.50,228.00,328.50
49.50,228.00,331.50
49.50,229.50,328.50
46.50,229.50,327.00
49.50,237.00,325.50
40.50,232.50,330.00
186.00,222.00,294.00
186.00,214.50,297.00
184.50,216.00,300.00
186.00,223.50,303.00
196.50,222.00,298.50
180.00,217.50,301.50
192.00,223.50,306.00
192.00,220.50,300.00
186.00,222.00,303.00
186.00,225.00,301.50
180.00,217.50,300.00
189.00,219.00,306.00
186.00,223.50,294.00
183.00,222.00,297.00
186.00,225.00,303.00
186.00,,300.00
184.50,,298.50
189.00,229.50,298.50
183.00,219.00,298.50
180.00,222.00,300.00
184.50,222.00,298.50
184.50,222.00,298.50
186.00,222.00,303.00
189.00,225.00,298.50
186.00,219.00,298.50
181.50,225.00,298.50
186.00,223.50,297.00
178.50,223.50,304.50
190.50,223.50,300.00
184.50,217.50,298.50
190.50,217.50,304.50
184.50,216.00,295.50
184.50,225.00,297.00
187.50,220.50,298.50
183.00,219.00,300.00
186.00,223.50,295.50
183.00,214.50,298.50
183.00,219.00,300.00
186.00,223.50,300.00
192.00,222.00,298.50
181.50,214.50,303.00
186.00,214.50,306.00
184.50,229.50,304.50
193.50,223.50,298.50
187.50,,297.00
184.50,220.50,303.00
181.50,216.00,295.50
186.00,220.50,301.50
274.50,211.50,193.50
274.50,220.50,196.50
276.00,217.50,201.00
