Mag X,Mag Y,Mag Z
27.00,219.00,324.00
27.00,217.50,331.50
24.00,223.50,330.00
28.50,223.50,328.50
31.50,217.50,333.00
28.50,220.50,333.00
31.50,219.00,327.00
37.50,216.00,327.00
31.50,220.50,334.50
21.00,220.50,336.00
25.50,214.50,334.50
31.50,222.00,331.50
27.00,219.00,333.00
30.00,220.50,330.00
78.00,,342.00
115.50,217.50,337.50
127.50,216.00,331.50
153.00,,321.00
172.50,201.00,313.50
202.50,205.50,298.50
222.00,207.00,288.00
243.00,207.00,279.00
244.50,205.50,274.50
244.50,205.50,270.00
243.00,211.50,274.50
241.50,,274.50
241.50,205.50,276.00
261.00,199.50,258.00
273.00,,234.00
286.50,198.00,219.00
291.00,199.50,202.50
303.00,192.00,
306.00,196.50,165.00
304.50,193.50,145.50
312.00,195.00,129.00
315.00,190.50,135.00
310.50,190.50,124.50
307.50,195.00,130.50
312.00,190.50,97.50
309.00,187.50,79.50
301.50,190.50,30.00
294.00,190.50,-1.50
286.50,190.50,-16.50
289.50,189.00,-15.00
268.50,195.00,-63.00
261.00,,-90.00
258.00,189.00,-97.50
241.50,195.00,-111.00
237.00,193.50,-126.00
228.00,193.50,-139.50
225.00,183.00,-139.50
225.00,,-133.50
225.00,192.00,-132.00
223.50,189.00,-133.50
223.50,192.00,-141.00
228.00,190.50,-142.50
193.50,193.50,-180.00
171.00,192.00,-198.00
139.50,192.00,-219.00
103.50,,-237.00
90.00,201.00,-243.00
60.00,196.50,-249.00
54.00,195.00,-253.50
34.50,202.50,-265.50
18.00,201.00,-259.50
0.00,,-268.50
-12.00,210.00,-265.50
-33.00,208.50,-267.00
-48.00,211.50,-262.50
-45.00,,-267.00
-72.00,207.00,-261.00
-88.50,217.50,-258.00
-112.50,211.50,-247.50
-132.00,210.00,-243.00
-142.50,214.50,-235.50
-151.50,220.50,-226.50
-174.00,223.50,-216.00
-186.00,,-208.50
-202.50,222.00,-180.00
-207.00,226.50,-177.00
-219.00,225.00,-157.50
-235.50,228.00,-135.00
-235.50,231.00,-118.50
-253.50,229.50,-96.00
-247.50,232.50,-84.00
-246.00,228.00,-52.50
-247.50,231.00,-28.50
-249.00,231.00,-3.00
-246.00,234.00,15.00
-244.50,232.50,24.00
-244.50,237.00,43.50
-237.00,235.50,61.50
-237.00,234.00,84.00
-234.00,231.00,91.50
-231.00,234.00,88.50
-241.50,232.50,91.50
-235.50,235.50,
-229.50,237.00,108.00
-213.00,241.50,139.50
-189.00,238.50,184.50
-160.50,238.50,213.00
-138.00,237.00,229.50
-108.00,234.00,262.50
-87.00,231.00,276.00
-52.50,,304.50
-22.50,222.00,310.50
-9.00,226.50,322.50
24.00,225.00,334.50
42.00,229.50,337.50
61.50,222.00,339.00
78.00,220.50,340.50
94.50,219.00,340.50
106.50,211.50,342.00
127.50,220.50,337.50
121.50,216.00,339.00
124.50,214.50,334.50
133.50,211.50,337.50
124.50,217.50,337.50
126.00,216.00,337.50
