30	334.5	214.5
28.5	334.5	
31.5	334.5	216
28.5	336	219
24	339	219
31.5	333	217.5
31.5	331.5	213
30	336	211.5
33	331.5	216
31.5	334.5	216
22.5	333	219
27	334.5	217.5
27	337.5	214.5
30	337.5	217.5
31.5	328.5	213
172.5	321	213
160.5	325.5	219
166.5	319.5	213
166.5	319.5	210
169.5	312	213
162	318	
168	321	210
171	322.5	210
168	316.5	210
162	327	
166.5	322.5	217.5
165	318	213
171	318	213
163.5	322.5	208.5
160.5	315	213
175.5	318	210
268.5	223.5	208.5
274.5	222	
270	223.5	204
276	225	207
276	220.5	210
270	217.5	205.5
267	223.5	207
271.5	225	204
274.5	220.5	210
277.5	223.5	216
265.5	223.5	205.5
265.5	223.5	
273	228	202.5
273	228	207
273	222	198
265.5	229.5	
271.5	220.5	207
301.5	75	198
304.5	75	
304.5	70.5	202.5
297	76.5	196.5
306	70.5	202.5
306	73.5	202.5
301.5	75	202.5
300	79.5	202.5
301.5	76.5	198
301.5	76.5	198
309	72	
300	75	201
309	73.5	196.5
304.5	72	201
297	69	201
306	75	
303	73.5	201
303	75	195
303	78	199.5
306	78	
301.5	73.5	201
301.5	72	199.5
303	75	193.5
256.5	-72	195
265.5	-75	193.5
256.5	-75	192
258	-76.5	190.5
262.5	-73.5	193.5
256.5	-75	199.5
252	-78	201
258	-84	193.5
253.5	-84	196.5
255	-84	196.5
258	-85.5	195
261	-75	192
256.5	-79.5	193.5
264	-81	193.5
148.5	-204	193.5
138	-211.5	
145.5	-211.5	190.5
142.5	-205.5	199.5
145.5	-213	196.5
147	-214.5	201
144	-208.5	
145.5	-210	202.5
147	-207	196.5
139.5	-210	202.5
144	-210	198
147	-213	198
0	-267	198
3	-265.5	201
4.5	-262.5	205.5
1.5	-267	202.5
3	-270	201
3	-265.5	204
6	-268.5	199.5
4.5	-264	207
1.5	-268.5	205.5
-1.5	-264	207
-6	-270	
4.5	-264	208.5
4.5	-265.5	
3	-262.5	204
1.5	-271.5	
13.5	-264	201
7.5	-268.5	204
1.5	-265.5	
-1.5	-268.5	199.5
-132	-247.5	207
-130.5	-246	211.5
-135	-243	211.5
-139.5	-243	
-133.5	-246	213
-124.5	-247.5	217.5
-136.5	-249	210
-138	-249	220.5
-127.5	-253.5	211.5
-127.5	-249	
-129	-249	208.5
-135		211.5
-136.5	-246	211.5
-141	-244.5	208.5
-136.5	-240	211.5
-135	-243	211.5
-229.5	-145.5	217.5
-228	-153	225
-223.5	-151.5	216
-231	-148.5	219
-223.5	-159	216
-223.5	-151.5	217.5
-223.5	-156	220.5
-229.5	-160.5	226.5
-228	-157.5	223.5
-222	-156	225
-226.5	-150	220.5
-222	-150	223.5
-231	-151.5	219
-225	-153	223.5
-228	-151.5	222
-232.5	-153	223.5
-225	-162	
-252	-9	
-252	-18	223.5
-256.5	-13.5	225
-252	-12	225
-250.5	-16.5	220.5
-255	-9	223.5
-252	-13.5	223.5
-256.5	-6	226.5
-250.5	-15	226.5
-247.5	-16.5	229.5
-252	-13.5	222
-255	-12	226.5
-259.5	-10.5	
-253.5	-6	231
-253.5	-7.5	226.5
-253.5	-7.5	225
-244.5	-9	
-256.5	-15	226.5
-256.5	-7.5	223.5
-253.5	-12	226.5
-253.5	-13.5	225
-256.5	-10.5	228
-253.5	-13.5	225
-256.5	-10.5	225
-253.5	-7.5	229.5
-258	-10.5	229.5
-253.5	-9	232.5
-220.5	136.5	232.5
-219	133.5	226.5
-223.5	129	231
-220.5	130.5	231
-216	132	229.5
-219	132	229.5
-208.5	130.5	231
-217.5	136.5	229.5
-216	133.5	228
-219	139.5	225
-217.5	136.5	228
-213	136.5	226.5
-222	127.5	225
-219	126	235.5
-223.5	127.5	228
-114	256.5	235.5
-112.5	252	231
-121.5	258	225
-123	258	231
-126	264	220.5
-118.5	253.5	229.5
-120	259.5	228
-123	253.5	
-120	256.5	225
-124.5	255	226.5
-121.5	258	223.5
-118.5	261	225
-118.5	256.5	225
-126	259.5	232.5
-126	255	226.5
28.5	330	223.5
25.5	331.5	225
33		214.5
36	333	219
24	322.5	225
31.5	330	220.5
27	325.5	222
