Mag X,Mag Z,Mag Y
-27.23884874,461.6155241,112.6541382
-24.76022174,461.3994611,116.0887977
-29.96601974,464.1675686,122.9905977
-37.85515124,469.5006656,123.0117222
-24.55551524,459.0505346,119.5348137
-24.31573874,456.7119641,109.2071217
-27.43478774,463.9670396,105.7646952
-21.84587924,456.4933121,116.0852082
-24.76022174,461.3994611,116.0887977
-39.48864974,460.3287896,123.0308457
-32.23117274,462.0372941,119.5585272
-32.64058574,466.7351471,112.6664952
-27.68333174,466.3030211,119.5358142
-23.88879074,452.0192891,109.2122997
210.9936623,420.2210456,108.4010997
190.4190143,428.9574941,122.2371807
201.2575583,418.7286041,108.4387587
201.2750933,418.7337821,101.5519047
207.2997173,406.5699686,108.4341687
203.5490138,420.8666456,101.5405482
208.3103288,422.7860351,101.5204242
204.1894358,413.8276331,101.5483152
200.8043078,423.4135121,118.7638617
198.9836378,416.5957406,108.4501152
208.9332158,415.7418446,108.4150452
195.8821238,423.8559941,98.1208347
191.9484023,412.5434876,108.4815957
216.4129343,415.1066006,101.5018887
384.0890228,254.0545391,97.6779837
386.6027198,253.8488321,87.3389352
396.3212888,255.3360956,94.1881302
396.9441758,248.2919051,101.0827512
387.4478483,244.4608931,90.7927182
381.6103958,254.2706021,94.2433242
388.8766403,255.9816956,87.3275787
394.4567813,248.5053791,101.0915187
398.9695523,252.7607501,114.8425137
379.1317688,254.4866651,90.8086647
390.9458543,260.4634856,83.8702062
390.9195518,260.4557186,94.2004872
391.8260528,251.0859026,73.5502812
389.4995273,248.9375051,94.2221997
460.0070003,17.0888216,73.6374207
465.5959088,9.615094105,83.9579337
452.3401103,20.0781701,70.2177072
468.0833033,9.401620105,83.9491662
467.6563553,14.0942951,83.9439882
459.9806978,17.0810546,83.9677017
456.8528813,24.3335411,83.9687022
459.7935263,19.4351591,73.6348317
459.7935263,19.4351591,73.6348317
457.5020708,17.2971176,80.5330422
472.6662143,13.6777031,70.1527452
465.3912023,11.9640206,80.5119177
453.3811778,8.338715605,80.5609332
462.6903338,14.5238321,80.5180962
462.5119298,16.8805256,66.7417992
462.0586793,21.5654336,77.0669022
460.2029393,14.7373061,80.5268637
460.4251808,12.3935576,77.0860257
462.5206973,16.8831146,63.2983722
406.3231523,-206.4428554,67.2673137
421.6832348,-212.4137854,63.7764597
406.7676353,-211.1303524,60.3856377
409.4772713,-213.6875749,56.9360322
416.4949718,-209.6404999,63.7914057
406.7237978,-211.1432974,77.6027727
399.6797948,-215.1981394,81.0776802
410.5271063,-225.4244404,63.8358312
403.0473878,-224.7891964,70.7489877
405.5347823,-225.0026704,70.7402202
410.7318128,-227.7733669,67.2818472
414.2298188,-211.7707744,60.3593352
407.3992898,-218.1719539,63.8368317
420.0497363,-221.5856614,63.7955832
246.0252278,-397.5478384,64.6829787
242.1353438,-408.8473999,57.8266047
236.2540538,-399.0506359,78.4943457
242.3137478,-411.2040934,71.6029017
244.9883138,-413.7716719,81.9270042
241.8517298,-406.5217744,85.3714317
243.9472463,-402.0322174,71.5837782
231.9021518,-405.6678784,85.4065017
239.3906378,-406.3005334,75.0499182
244.7923748,-411.4201564,75.0375612
8.712777764,-474.9678544,75.9899802
13.45655776,-473.0536429,82.8567102
15.49070176,-468.5822089,93.1730457
11.17386976,-475.1890954,86.3114937
14.09697976,-480.0926554,82.8644772
13.43902276,-473.0588209,89.7435642
18.86706226,-478.1706769,79.4009262
15.69540826,-470.9311354,96.6190617
11.36980876,-477.5406109,93.2009367
5.745830264,-470.0772394,96.6541317
15.68664076,-470.9337244,100.0624887
