Mag X,Mag Y,Mag Z
-10.5,301.5,298.5
-4.5,292.5,303
-1.5,294,303
-7.5,,303
-7.5,291,297
3,,307.5
1.5,300,304.5
-1.5,291,298.5
9,297,304.5
7.5,298.5,297
34.5,295.5,297
72,301.5,295.5
88.5,288,288
114,295.5,282
138,292.5,270
162,,258
177,288,240
202.5,288,216
214.5,288,
226.5,282,186
229.5,285,181.5
243,286.5,177
241.5,282,163.5
249,286.5,153
253.5,289.5,126
270,282,87
277.5,289.5,60
280.5,288,19.5
274.5,286.5,-13.5
265.5,285,-39
259.5,283.5,-63
247.5,286.5,-94.5
208.5,286.5,-144
205.5,288,-141
214.5,286.5,-144
210,295.5,-144
205.5,286.5,-148.5
205.5,292.5,-150
183,289.5,-168
133.5,,-196.5
82.5,,-219
45,,-232.5
18,298.5,-240
-9,294,-232.5
-31.5,295.5,-237
-70.5,304.5,-231
-109.5,304.5,-216
-148.5,300,-190.5
-136.5,306,
-153,300,-186
-153,,-184.5
-172.5,301.5,-174
-220.5,301.5,-130.5
-261,307.5,
-282,300,0
-283.5,307.5,31.5
-277.5,306,63
-274.5,,
-271.5,304.5,106.5
-270,,96
-271.5,307.5,99
-274.5,295.5,102
-261,303,109.5
-255,312,148.5
-244.5,303,159
-234,300,190.5
-219,300,213
-189,294,
-174,300,252
-145.5,306,273
-111,297,289.5
-87,301.5,297
-58.5,297,295.5
-22.5,300,309
-1.5,,307.5
15,,301.5
36,295.5,297
51,292.5,297
63,295.5,291
75,297,298.5
84,291,294
